Impacting-Impacted,NK1-COH,NK2-CHI,NK3-FOR,ZF1-ICT,ZC1-EUP,ZC2-AMP,ZC3-DEC,ZC4-CLG,ZC5-CSM,ZS1-JEL,ZS2-CTH,ZS3-CHA,ZS4-LAR,PZ1-CIL
NK1-COH,-0.26,-0.07,-0.63,-0.15,-0.03,0.07,0.42,0.08,0.03,0.11,0.35,0.08,0.03,-0.03
NK2-CHI,-0.01,0,-0.02,-0.01,0,0,0.01,0,0,0,0.01,0,0,0
NK3-FOR,0.27,0.07,-0.35,0.11,0.02,-0.08,-0.46,-0.08,-0.03,-0.12,-0.36,-0.09,-0.03,0.03
ZF1-ICT,0.01,0.04,-0.02,-0.02,-0.02,0,-0.01,-0.03,-0.01,0.02,0.01,0.01,0,0.01
ZC1-EUP,0.11,0.09,-0.09,0.03,-0.06,0.05,0.05,-0.06,-0.16,0.08,0.08,-0.05,0.09,-0.05
ZC2-AMP,0,0.1,-0.03,0.21,-0.35,-0.45,0.07,-0.19,0.01,-0.11,-0.24,-0.34,-0.1,0.07
ZC3-DEC,0.09,0.24,-0.03,-0.01,0,0,0.01,0,-0.03,0.05,0.03,0,-0.01,0
ZC4-CLG,0.03,0.02,0.07,0.17,-0.07,0.04,-0.07,-0.07,-0.16,0.06,-0.02,0.01,0.08,-0.07
ZC5-CSM,0.1,0.08,0.15,0.22,-0.02,0.08,-0.02,-0.02,-0.13,0.18,-0.02,0.14,-0.37,-0.25
ZS1-JEL,0,0,0,-0.01,0,0,0,0,0,-0.01,-0.04,0,0,0
ZS2-CTH,-0.02,-0.04,0.04,-0.24,-0.08,-0.01,-0.11,-0.04,-0.01,0.15,-0.05,-0.12,-0.01,0.01
ZS3-CHA,0.02,-0.02,-0.04,-0.66,-0.03,0,-0.07,-0.11,-0.1,0.04,0.04,-0.05,-0.07,0.04
ZS4-LAR,0.04,0.02,0.07,-0.03,-0.03,0.03,-0.01,-0.03,0.02,0.05,-0.01,0.07,-0.02,-0.05
PZ1-CIL,-0.03,-0.05,-0.03,-0.05,0.04,-0.05,-0.12,-0.02,0,-0.03,0.07,-0.02,-0.21,-0.25
PZ2-DIN,0.01,0,0,-0.04,0.04,-0.02,0,-0.05,0.08,0.02,0.1,0.03,-0.06,-0.14
PZ3-HNF,0.01,0.02,0.02,0.02,-0.01,0.02,0.02,-0.01,0.07,0.03,0,0.03,-0.02,-0.03
PP1-DIA,0.09,0.1,0.03,0.15,0.26,0.04,0.21,0.42,0.04,0.11,0.07,0.03,0.09,-0.01
PP2-NAN,0.02,0.03,0.02,-0.01,0,0,0.08,-0.02,0.07,0.03,0.02,0.03,0.22,0.1
PP3-PIC,0.01,0.01,0.01,0,0,0,0.02,-0.01,0.02,0.01,0.01,0.01,0.03,0.04
BA1-BAC,-0.02,-0.02,-0.02,0,-0.01,-0.04,-0.02,0.01,-0.02,-0.04,-0.02,-0.03,0,-0.05
Detritus_Closure,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detritus_Real,0.09,0.11,0.08,-0.01,0.03,0.18,0.11,-0.05,0.14,0.17,0.11,0.15,0.14,0.29
Fleet1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
