group,NK1-COH,NK2-CHI,NK3-FOR,ZF1-ICT,ZC1-EUP,ZC2-AMP,ZC3-DEC,ZC4-CLG,ZC5-CSM,ZS1-JEL,ZS2-CTH,ZS3-CHA,ZS4-LAR,PZ1-CIL,PZ2-DIN,PZ3-HNF,PP1-DIA,PP2-NAN,PP3-PIC,BA1-BAC,Detritus_Closure,Detritus_Real
NK1-COH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.130025,0.05947501
NK2-CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43092,0.02268
NK3-FOR,1.14375,0.3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.21275,1.912528
ZF1-ICT,0.0571875,0.0504,0,0,0,0,0,0,0,0.536,2.613333,0.9444444,0,0,0,0,0,0,0,0,0,3.815301
ZC1-EUP,0.343125,0.1008,2.142857,1.603333,0,12.48,0,0,0,2.68,26.13334,1.888889,0,0,0,0,0,0,0,0,44.90213,11.22553
ZC2-AMP,0.343125,0.252,4.285715,1.603333,0,18.72,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,28.68466,7.171166
ZC3-DEC,0.22875,0.252,4.285715,0.1603333,0,0,0,0,0,1.34,5.226667,0.9444444,0,0,0,0,0,0,0,0,20.14567,5.036417
ZC4-CLG,0,0,6.428572,1.603333,0,12.48,0,0,0,2.68,26.13334,9.444445,0,0,0,0,0,0,0,0,53.90122,23.10052
ZC5-CSM,0,0,12.85714,1.603333,22.5,37.44,5.7,12.57143,0,5.36,52.26667,28.33333,0,0,0,0,0,0,0,0,134.5027,57.644
ZS1-JEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.76,8.04
ZS2-CTH,0,0,2.142857,0,0,6.24,0,0,0,5.36,0,0,0,0,0,0,0,0,0,0,0,247.5905
ZS3-CHA,0.1715625,0.0504,2.142857,0,0,4.992,0,0,0,2.68,13.06667,0,0,0,0,0,0,0,0,0,0,28.84095
ZS4-LAR,0,0,4.285715,0,0,4.992,2.28,0,35.65179,1.34,13.06667,9.444445,0,0,0,0,0,0,0,0,0,300.1894
PZ1-CIL,0,0,0,0.8016667,33.75,0,5.7,37.71429,178.2589,0,39.2,7.083333,37.125,0,0,0,0,0,0,0,210.5591,842.2363
PZ2-DIN,0,0,0,0.8016667,33.75,0,8.55,37.71429,178.2589,0,39.2,7.083333,37.125,0,0,0,0,0,0,0,132.7534,531.0134
PZ3-HNF,0,0,0,0,0,0,2.85,0,71.30357,0,0,0.9444444,37.125,183.2143,89.84375,0,0,0,0,0,16.01735,144.1561
PP1-DIA,0,0,0,0,90,0,14.25,125.7143,106.9554,0,0,0,55.6875,977.1429,1078.125,36.36364,0,0,0,0,1971.033,844.7285
PP2-NAN,0,0,0,0,0,0,5.7,0,35.65179,0,0,0,111.375,488.5714,179.6875,109.0909,0,0,0,0,5.992335,53.93102
PP3-PIC,0,0,0,0,0,0,0.5699999,0,0,0,0,0,9.28125,61.07143,17.96875,145.4545,0,0,0,0,1.865402,16.78862
BA1-BAC,0,0,0,0,0,0,0,0,0,0,0,0,9.28125,122.1429,0,290.9091,0,0,0,0,153.3,357.7001
Detritus_Closure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detritus_Real,0,0,4.28571,7.856333,45,27.456,11.39999,37.71429,106.9553,3.484,44.42667,28.33333,74.25,610.7143,431.2498,145.4545,0,0,0,1866.667,0,0
