group,NK1-COH,NK2-CHI,NK3-FOR,ZF1-ICT,ZC1-EUP,ZC2-AMP,ZC3-DEC,ZC4-CLG,ZC5-CSM,ZS1-JEL,ZS2-CTH,ZS3-CHA,ZS4-LAR,PZ1-CIL,PZ2-DIN,PZ3-HNF,PP1-DIA,PP2-NAN,PP3-PIC,BA1-BAC,Detritus_Closure,Detritus_Real
NK1-COH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK2-CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK3-FOR,0.5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1-ICT,0.025,0.05,0,0,0,0,0,0,0,0.02,0.01,0.01,0,0,0,0,0,0,0,0,0,0
ZC1-EUP,0.1,0.1,0.05,0.1,0,0.1,0,0,0,0.1,0.1,0.02,0,0,0,0,0,0,0,0,0,0
ZC2-AMP,0.15,0.25,0.1,0.1,0,0.15,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0
ZC3-DEC,0.1,0.25,0.1,0.01,0,0,0,0,0,0.05,0.02,0.01,0,0,0,0,0,0,0,0,0,0
ZC4-CLG,0,0,0.15,0.1,0,0.1,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0
ZC5-CSM,0,0,0.3,0.1,0.1,0.3,0.1,0.05,0,0.2,0.2,0.3,0,0,0,0,0,0,0,0,0,0
ZS1-JEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZS2-CTH,0,0,0.05,0,0,0.05,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
ZS3-CHA,0.075,0.05,0.05,0,0,0.04,0,0,0,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0
ZS4-LAR,0,0,0.1,0,0,0.04,0.04,0,0.05,0.05,0.05,0.1,0,0,0,0,0,0,0,0,0,0
PZ1-CIL,0,0,0,0.05,0.15,0,0.1,0.15,0.25,0,0.15,0.075,0.075,0,0,0,0,0,0,0,0,0
PZ2-DIN,0,0,0,0.05,0.15,0,0.15,0.15,0.25,0,0.15,0.075,0.075,0,0,0,0,0,0,0,0,0
PZ3-HNF,0,0,0,0,0,0,0.05,0,0.1,0,0,0.01,0.1,0.075,0.05,0,0,0,0,0,0,0
PP1-DIA,0,0,0,0,0.4,0,0.25,0.5,0.15,0,0,0,0.15,0.4,0.6,0.05,0,0,0,0,0,0
PP2-NAN,0,0,0,0,0,0,0.1,0,0.05,0,0,0,0.3,0.2,0.1,0.15,0,0,0,0,0,0
PP3-PIC,0,0,0,0,0,0,0.01,0,0,0,0,0,0.025,0.025,0.01,0.2,0,0,0,0,0,0
BA1-BAC,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.05,0,0.4,0,0,0,0,0,0
Detritus_Closure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detritus_Real,0.05000001,0,0.0999999,0.49,0.2,0.22,0.1999999,0.15,0.1499999,0.13,0.17,0.3,0.25,0.25,0.2399999,0.2,0,0,0,1,0,0
