id,sdomain_na,Lat,Lon
3,SGN,49.4825,-124.2489
6,SGN,49.6859,-124.3763
8,SGN,50.3115,-124.6319
9,SGN,50.0544,-125.3424
1,SGN,49.5854,-124.9242
7,SGN,49.7967,-124.3780
10,SGS,49.4768,-123.6048
13,SGS,49.2866,-122.9621
14,SGS,49.1016,-122.8200
15,SGS,48.7962,-122.5810
16,SGS,48.8577,-123.0231
19,SGS,48.6793,-123.4435
20,SGS,48.4693,-123.3611
21,SGS,48.4767,-123.6339
22,SGS,49.1896,-124.0258
7,SGS,50.2552,-123.9965
8,SGS,50.0900,-123.6174
11,SGS,49.7126,-123.1857
12,SGS,49.6657,-123.1478
1,SGI,48.4693,-123.3611
2,SGI,48.6793,-123.4435
5,SGI,48.8577,-123.0231
6,SGI,48.7962,-122.5810
7,SGI,48.7719,-122.4999
4,SGN,49.4546,-124.1777
5,SGN,49.5021,-124.1405
3,SGI,48.7763,-123.4205
4,SGI,48.8823,-123.3312
9,SGS,49.7125,-123.4847
2,SGN,49.4189,-124.7670
1,SGS,49.4189,-124.7670
2,SGS,49.4825,-124.2489
3,SGS,49.4546,-124.1777
4,SGS,49.5021,-124.1405
5,SGS,49.6859,-124.3763
6,SGS,49.7967,-124.3780
18,SGS,48.7763,-123.4205
17,SGS,48.8823,-123.3312
