id,mcewan_sd,pt_order,lat,lon
1,south,1,49.3612,-124.2656
2,south,2,49.5636,-124.0329
3,south,3,49.4672,-123.9252
4,south,4,49.4251,-123.7350
5,south,5,49.3174,-123.4204
6,south,6,49.3345,-123.3293
7,south,7,49.2984,-123.2560
8,south,8,49.2506,-123.3003
9,south,9,49.1326,-123.3485
10,south,10,49.0319,-123.2952
11,south,11,48.9583,-123.1325
12,south,12,48.8712,-123.2272
13,south,13,48.9651,-123.4555
14,south,14,49.1224,-123.6265
15,south,15,49.1790,-123.6614
16,south,16,49.2195,-123.7938
17,south,17,49.2777,-124.0298
1,north,1,49.3612,-124.2656
3,north,3,49.6167,-124.0883
4,north,4,49.6630,-124.1940
5,north,5,49.7212,-124.2764
6,north,6,49.7558,-124.3842
7,north,7,49.7895,-124.5251
8,north,8,49.8871,-124.6195
9,north,9,49.9341,-124.7331
10,north,10,49.9174,-124.8715
11,north,11,50.0347,-125.0637
12,north,12,50.0594,-125.0966
13,north,13,49.9544,-125.1642
14,north,14,49.8301,-124.9716
15,north,15,49.7232,-124.8120
16,north,16,49.5742,-124.7186
17,north,17,49.5376,-124.5363
18,north,18,49.4521,-124.6319
19,north,19,49.3851,-124.4025
2,north,2,49.5636,-124.0329
