lon,lat,cnt
-122.975,48.231,1
-123.299,48.233,1
-123.3,48.233,4
-123.301,48.233,5
-123.303,48.233,1
-123.299,48.234,2
-123.301,48.234,2
-123.302,48.234,1
-122.973,48.237,1
-122.976,48.242,1
-122.98,48.242,1
-122.974,48.243,1
-122.975,48.243,4
-122.976,48.243,3
-122.975,48.244,1
-122.976,48.244,1
-122.977,48.244,1
-123.718,48.259,1
-123.723,48.259,1
-123.72,48.261,3
-123.721,48.261,1
-123.722,48.261,1
-123.723,48.261,1
-123.719,48.26,1
-123.72,48.26,5
-123.721,48.26,2
-123.163,48.263,1
-123.719,48.263,1
-123.162,48.265,1
-123.163,48.265,4
-123.164,48.265,9
-123.16,48.266,1
-124.006,48.298,1
-124.001,48.299,1
-124.002,48.299,1
-124.004,48.299,1
-124.006,48.302,1
-124.064,48.308,1
-124.067,48.308,1
-124.067,48.309,1
-124.067,48.311,3
-124.068,48.311,2
-124.069,48.311,1
-124.066,48.31,1
-124.067,48.31,4
-124.068,48.31,1
-124.07,48.31,1
-124.064,48.315,1
-123.235,48.322,1
-123.043,48.379,1
-123.044,48.379,1
-123.043,48.381,1
-123.044,48.381,1
-123.042,48.38,1
-123.043,48.38,4
-123.044,48.38,4
-123.045,48.38,2
-124.541,48.469,1
-124.549,48.469,1
-124.545,48.471,1
-124.547,48.471,1
-124.548,48.471,1
-124.546,48.47,3
-124.547,48.47,3
-124.548,48.47,2
-124.547,48.472,1
-124.549,48.472,1
-124.543,48.473,1
-124.734,48.499,1
-124.733,48.501,2
-124.734,48.501,1
-124.735,48.501,1
-124.736,48.501,1
-124.733,48.5,5
-124.734,48.5,1
-124.735,48.5,3
-124.736,48.5,1
-124.741,48.5,1
-123.245,48.585,1
-123.246,48.613,1
-123.247,48.614,2
-123.248,48.614,1
-123.245,48.615,1
-123.244,48.616,1
-123.245,48.616,2
-123.249,48.616,2
-123.251,48.616,1
-123.25,48.617,1
-123.242,48.628,3
-123.234,48.629,1
-123.243,48.629,1
-123.244,48.631,2
-123.242,48.63,2
-123.243,48.63,8
-123.245,48.63,1
-123.247,48.63,1
-123.24,48.632,1
-123.498,48.651,1
-123.5,48.651,1
-123.499,48.65,2
-123.5,48.652,3
-123.502,48.652,1
-123.51,48.652,5
-123.511,48.653,2
-123.513,48.655,1
-123.415,48.725,2
-123.416,48.725,1
-123.417,48.725,4
-123.43,48.725,1
-123.432,48.725,1
-123.433,48.725,1
-123.03,48.771,1
-123.031,48.771,1
-123.03,48.77,2
-123.03,48.772,1
-123.025,48.773,2
-123.026,48.773,2
-123.027,48.773,6
-123.029,48.773,1
-123.026,48.774,2
-123.027,48.774,4
-123.029,48.774,1
-123.025,48.775,1
-123.026,48.775,2
-123.171,48.853,1
-123.177,48.854,1
-123.179,48.855,1
-123.179,48.856,1
-123.18,48.856,6
-123.179,48.857,1
-123.18,48.857,10
-123.181,48.857,3
-123.179,48.858,1
-123.438,49.028,1
-123.436,49.029,2
-123.437,49.029,1
-123.437,49.031,2
-123.442,49.031,1
-123.435,49.03,2
-123.436,49.03,7
-123.437,49.03,12
-123.438,49.03,1
-123.439,49.03,1
-123.434,49.032,1
-123.372,49.054,3
-123.373,49.054,1
-123.377,49.054,1
-123.373,49.055,1
-123.318,49.073,1
-123.614,49.142,1
-123.55,49.157,1
-123.548,49.163,2
-123.55,49.163,8
-123.551,49.163,1
-123.552,49.163,2
-123.536,49.164,1
-123.549,49.164,1
-123.55,49.164,8
-123.55,49.165,1
-123.551,49.166,1
-123.436,49.199,1
-123.438,49.199,1
-123.439,49.199,1
-123.44,49.199,1
-123.439,49.201,2
-123.44,49.201,1
-123.441,49.201,1
-123.44,49.2,1
-123.441,49.2,1
-123.751,49.249,1
-123.749,49.251,3
-123.75,49.251,2
-123.751,49.251,2
-123.752,49.251,1
-123.748,49.25,9
-123.749,49.25,5
-123.75,49.25,6
-123.756,49.25,2
-123.757,49.25,1
-123.749,49.254,1
-122.892,49.295,1
-123.055,49.295,1
-123.056,49.295,1
-123.343,49.295,1
-122.981,49.298,1
-123.097,49.298,1
-123.098,49.298,1
-122.982,49.299,1
-123.097,49.299,1
-122.939,49.305,1
-122.941,49.305,1
-123.09,49.3,1
-123.265,49.315,3
-123.796,49.318,1
-123.799,49.318,3
-123.8,49.318,7
-123.801,49.318,5
-123.802,49.318,1
-123.799,49.319,2
-123.8,49.319,6
-123.801,49.319,1
-122.902,49.35,2
-122.903,49.35,1
-124.083,49.364,1
-124.084,49.364,1
-124.083,49.366,6
-124.084,49.366,3
-124.085,49.366,2
-124.083,49.367,1
-124.085,49.367,4
-124.081,49.368,1
-124.083,49.368,1
-124.083,49.369,1
-122.875,49.388,2
-122.875,49.389,1
-122.878,49.396,1
-123.754,49.401,5
-124.155,49.401,4
-124.156,49.401,2
-123.753,49.402,1
-123.755,49.402,1
-123.756,49.402,4
-123.757,49.402,1
-124.152,49.402,1
-124.154,49.402,6
-124.155,49.402,9
-124.156,49.402,2
-124.157,49.402,1
-123.758,49.403,1
-124.156,49.403,1
-123.756,49.404,1
-123.755,49.4,1
-124.338,49.442,1
-124.335,49.443,1
-124.336,49.443,4
-124.337,49.443,5
-124.338,49.443,4
-124.34,49.443,1
-124.336,49.444,1
-124.337,49.444,2
-124.338,49.444,4
-124.339,49.444,1
-124.34,49.444,1
-122.877,49.457,1
-122.878,49.457,1
-124.499,49.465,1
-124.5,49.465,1
-124.501,49.465,1
-124.5,49.466,2
-124.501,49.466,1
-124.499,49.467,2
-124.5,49.467,3
-124.501,49.467,1
-124.5,49.468,1
-124.767,49.481,1
-124.765,49.483,1
-124.766,49.483,4
-124.767,49.483,7
-124.767,49.484,6
-124.767,49.485,1
-124.099,49.503,1
-124.094,49.504,1
-124.098,49.504,1
-124.101,49.504,1
-124.098,49.505,1
-124.099,49.505,2
-124.1,49.505,3
-124.1,49.506,1
-124.101,49.506,1
-124.102,49.506,1
-124.101,49.507,1
-124.101,49.509,1
-124.461,49.509,1
-124.463,49.509,1
-124.464,49.509,1
-124.469,49.509,1
-124.463,49.511,1
-124.464,49.511,3
-124.463,49.51,10
-124.464,49.51,6
-124.465,49.51,1
-124.103,49.512,1
-124.638,49.591,1
-124.639,49.591,4
-124.637,49.592,1
-124.638,49.592,10
-124.639,49.592,6
-124.643,49.592,1
-124.638,49.593,1
-124.639,49.593,1
-124.263,49.666,1
-124.27,49.669,1
-124.271,49.669,1
-124.272,49.669,3
-124.273,49.669,4
-124.269,49.671,1
-124.272,49.671,5
-124.275,49.671,1
-124.267,49.67,1
-124.27,49.67,1
-124.271,49.67,1
-124.272,49.67,10
-124.273,49.67,1
-124.274,49.67,1
-124.271,49.673,1
-124.723,49.705,1
-124.724,49.705,1
-124.722,49.706,1
-124.723,49.706,1
-124.724,49.707,2
-124.724,49.708,1
-124.679,49.725,1
-124.678,49.726,1
-124.679,49.726,1
-124.68,49.726,4
-124.681,49.726,2
-124.679,49.727,3
-124.68,49.727,8
-124.681,49.727,7
-124.683,49.727,1
-124.68,49.728,1
-124.681,49.728,1
-124.685,49.73,1
-124.538,49.787,1
-124.994,49.875,1
-124.987,49.877,1
-124.99,49.882,1
-124.993,49.882,1
-124.995,49.882,2
-124.993,49.883,4
-124.994,49.883,4
-124.992,49.884,3
-124.993,49.884,5
-124.994,49.884,4
-124.99,49.885,1
-124.995,49.885,1
-124.997,49.886,1
-125.146,49.961,1
-125.147,49.961,2
-125.144,49.962,1
-125.145,49.962,1
-125.146,49.962,3
-125.147,49.962,5
-125.148,49.962,1
-125.149,49.962,1
-125.147,49.963,2
-125.148,49.963,1
-125.14,49.965,1
-124.733,50.029,1
-125.092,50.031,2
-125.099,50.031,1
-125.1,50.031,1
-125.089,50.03,1
-125.092,50.03,1
-124.752,50.206,1
-124.752,50.207,1
-124.734,50.246,1
-124.71,50.284,1
-124.712,50.284,1
