region,Block3Day,Diatoms,Nemcek-NAN,N
Southern Gulf Islands,2015-001,,,
Southern Gulf Islands,2015-002,,,
Southern Gulf Islands,2015-003,,,
Southern Gulf Islands,2015-004,,,
Southern Gulf Islands,2015-005,,,
Southern Gulf Islands,2015-006,,,
Southern Gulf Islands,2015-007,,,
Southern Gulf Islands,2015-008,,,
Southern Gulf Islands,2015-009,,,
Southern Gulf Islands,2015-010,,,
Southern Gulf Islands,2015-011,,,
Southern Gulf Islands,2015-012,,,
Southern Gulf Islands,2015-013,,,
Southern Gulf Islands,2015-014,,,
Southern Gulf Islands,2015-015,,,
Southern Gulf Islands,2015-016,,,
Southern Gulf Islands,2015-017,,,
Southern Gulf Islands,2015-018,,,
Southern Gulf Islands,2015-019,,,
Southern Gulf Islands,2015-020,,,
Southern Gulf Islands,2015-021,,,
Southern Gulf Islands,2015-022,,,
Southern Gulf Islands,2015-023,,,
Southern Gulf Islands,2015-024,,,
Southern Gulf Islands,2015-025,,,
Southern Gulf Islands,2015-026,,,
Southern Gulf Islands,2015-027,,,
Southern Gulf Islands,2015-028,,,
Southern Gulf Islands,2015-029,,,
Southern Gulf Islands,2015-030,,,
Southern Gulf Islands,2015-031,0.695,0.18,2
Southern Gulf Islands,2015-032,1.2,0.21,1
Southern Gulf Islands,2015-033,,,
Southern Gulf Islands,2015-034,,,
Southern Gulf Islands,2015-035,,,
Southern Gulf Islands,2015-036,,,
Southern Gulf Islands,2015-037,,,
Southern Gulf Islands,2015-038,,,
Southern Gulf Islands,2015-039,,,
Southern Gulf Islands,2015-040,,,
Southern Gulf Islands,2015-041,,,
Southern Gulf Islands,2015-042,,,
Southern Gulf Islands,2015-043,,,
Southern Gulf Islands,2015-044,,,
Southern Gulf Islands,2015-045,,,
Southern Gulf Islands,2015-046,,,
Southern Gulf Islands,2015-047,,,
Southern Gulf Islands,2015-048,,,
Southern Gulf Islands,2015-049,,,
Southern Gulf Islands,2015-050,,,
Southern Gulf Islands,2015-051,,,
Southern Gulf Islands,2015-052,,,
Southern Gulf Islands,2015-053,,,
Southern Gulf Islands,2015-054,,,
Southern Gulf Islands,2015-055,,,
Southern Gulf Islands,2015-056,,,
Southern Gulf Islands,2015-057,,,
Southern Gulf Islands,2015-058,,,
Southern Gulf Islands,2015-059,5.933,0.777,3
Southern Gulf Islands,2015-060,,,
Southern Gulf Islands,2015-061,,,
Southern Gulf Islands,2015-062,,,
Southern Gulf Islands,2015-063,,,
Southern Gulf Islands,2015-064,,,
Southern Gulf Islands,2015-065,,,
Southern Gulf Islands,2015-066,,,
Southern Gulf Islands,2015-067,,,
Southern Gulf Islands,2015-068,,,
Southern Gulf Islands,2015-069,,,
Southern Gulf Islands,2015-070,,,
Southern Gulf Islands,2015-071,,,
Southern Gulf Islands,2015-072,,,
Southern Gulf Islands,2015-073,,,
Southern Gulf Islands,2015-074,,,
Southern Gulf Islands,2015-075,,,
Southern Gulf Islands,2015-076,,,
Southern Gulf Islands,2015-077,,,
Southern Gulf Islands,2015-078,,,
Southern Gulf Islands,2015-079,,,
Southern Gulf Islands,2015-080,,,
Southern Gulf Islands,2015-081,,,
Southern Gulf Islands,2015-082,,,
Southern Gulf Islands,2015-083,,,
Southern Gulf Islands,2015-084,,,
Southern Gulf Islands,2015-085,,,
Southern Gulf Islands,2015-086,,,
Southern Gulf Islands,2015-087,,,
Southern Gulf Islands,2015-088,,,
Southern Gulf Islands,2015-089,,,
Southern Gulf Islands,2015-090,,,
Southern Gulf Islands,2015-091,0.92,0.48,1
Southern Gulf Islands,2015-092,1.27,1.235,2
Southern Gulf Islands,2015-093,,,
Southern Gulf Islands,2015-094,,,
Southern Gulf Islands,2015-095,,,
Southern Gulf Islands,2015-096,,,
Southern Gulf Islands,2015-097,,,
Southern Gulf Islands,2015-098,,,
Southern Gulf Islands,2015-099,,,
Southern Gulf Islands,2015-100,,,
Southern Gulf Islands,2015-101,,,
Southern Gulf Islands,2015-102,,,
Southern Gulf Islands,2015-103,,,
Southern Gulf Islands,2015-104,,,
Southern Gulf Islands,2015-105,,,
Southern Gulf Islands,2015-106,,,
Southern Gulf Islands,2015-107,,,
Southern Gulf Islands,2015-108,,,
Southern Gulf Islands,2015-109,,,
Southern Gulf Islands,2015-110,,,
Southern Gulf Islands,2015-111,,,
Southern Gulf Islands,2015-112,,,
Southern Gulf Islands,2015-113,,,
Southern Gulf Islands,2015-114,,,
Southern Gulf Islands,2015-115,,,
Southern Gulf Islands,2015-116,,,
Southern Gulf Islands,2015-117,,,
Southern Gulf Islands,2015-118,,,
Southern Gulf Islands,2015-119,,,
Southern Gulf Islands,2015-120,,,
Southern Gulf Islands,2015-121,,,
Southern Gulf Islands,2015-122,,,
Southern Gulf Islands,2016-001,,,
Southern Gulf Islands,2016-002,,,
Southern Gulf Islands,2016-003,,,
Southern Gulf Islands,2016-004,,,
Southern Gulf Islands,2016-005,,,
Southern Gulf Islands,2016-006,,,
Southern Gulf Islands,2016-007,,,
Southern Gulf Islands,2016-008,,,
Southern Gulf Islands,2016-009,,,
Southern Gulf Islands,2016-010,,,
Southern Gulf Islands,2016-011,,,
Southern Gulf Islands,2016-012,,,
Southern Gulf Islands,2016-013,,,
Southern Gulf Islands,2016-014,,,
Southern Gulf Islands,2016-015,,,
Southern Gulf Islands,2016-016,,,
Southern Gulf Islands,2016-017,,,
Southern Gulf Islands,2016-018,,,
Southern Gulf Islands,2016-019,,,
Southern Gulf Islands,2016-020,,,
Southern Gulf Islands,2016-021,,,
Southern Gulf Islands,2016-022,,,
Southern Gulf Islands,2016-023,,,
Southern Gulf Islands,2016-024,,,
Southern Gulf Islands,2016-025,,,
Southern Gulf Islands,2016-026,,,
Southern Gulf Islands,2016-027,,,
Southern Gulf Islands,2016-028,,,
Southern Gulf Islands,2016-029,,,
Southern Gulf Islands,2016-030,,,
Southern Gulf Islands,2016-031,,,
Southern Gulf Islands,2016-032,,,
Southern Gulf Islands,2016-033,,,
Southern Gulf Islands,2016-034,,,
Southern Gulf Islands,2016-035,,,
Southern Gulf Islands,2016-036,,,
Southern Gulf Islands,2016-037,,,
Southern Gulf Islands,2016-038,7.127,0.413,3
Southern Gulf Islands,2016-039,7.7,0.39,1
Southern Gulf Islands,2016-040,,,
Southern Gulf Islands,2016-041,,,
Southern Gulf Islands,2016-042,,,
Southern Gulf Islands,2016-043,,,
Southern Gulf Islands,2016-044,,,
Southern Gulf Islands,2016-045,,,
Southern Gulf Islands,2016-046,,,
Southern Gulf Islands,2016-047,,,
Southern Gulf Islands,2016-048,,,
Southern Gulf Islands,2016-049,,,
Southern Gulf Islands,2016-050,,,
Southern Gulf Islands,2016-051,,,
Southern Gulf Islands,2016-052,,,
Southern Gulf Islands,2016-053,,,
Southern Gulf Islands,2016-054,,,
Southern Gulf Islands,2016-055,,,
Southern Gulf Islands,2016-056,3.87,0.66,1
Southern Gulf Islands,2016-057,3.005,0.4,2
Southern Gulf Islands,2016-058,,,
Southern Gulf Islands,2016-059,,,
Southern Gulf Islands,2016-060,,,
Southern Gulf Islands,2016-061,,,
Southern Gulf Islands,2016-062,,,
Southern Gulf Islands,2016-063,,,
Southern Gulf Islands,2016-064,,,
Southern Gulf Islands,2016-065,,,
Southern Gulf Islands,2016-066,,,
Southern Gulf Islands,2016-067,,,
Southern Gulf Islands,2016-068,,,
Southern Gulf Islands,2016-069,,,
Southern Gulf Islands,2016-070,,,
Southern Gulf Islands,2016-071,,,
Southern Gulf Islands,2016-072,,,
Southern Gulf Islands,2016-073,,,
Southern Gulf Islands,2016-074,,,
Southern Gulf Islands,2016-075,,,
Southern Gulf Islands,2016-076,,,
Southern Gulf Islands,2016-077,,,
Southern Gulf Islands,2016-078,,,
Southern Gulf Islands,2016-079,,,
Southern Gulf Islands,2016-080,,,
Southern Gulf Islands,2016-081,,,
Southern Gulf Islands,2016-082,,,
Southern Gulf Islands,2016-083,,,
Southern Gulf Islands,2016-084,,,
Southern Gulf Islands,2016-085,,,
Southern Gulf Islands,2016-086,,,
Southern Gulf Islands,2016-087,,,
Southern Gulf Islands,2016-088,,,
Southern Gulf Islands,2016-089,0.49,1.13,1
Southern Gulf Islands,2016-090,0.91,2.04,1
Southern Gulf Islands,2016-091,1.11,0.73,1
Southern Gulf Islands,2016-092,,,
Southern Gulf Islands,2016-093,,,
Southern Gulf Islands,2016-094,,,
Southern Gulf Islands,2016-095,,,
Southern Gulf Islands,2016-096,,,
Southern Gulf Islands,2016-097,,,
Southern Gulf Islands,2016-098,,,
Southern Gulf Islands,2016-099,,,
Southern Gulf Islands,2016-100,,,
Southern Gulf Islands,2016-101,,,
Southern Gulf Islands,2016-102,0.1,0.473,3
Southern Gulf Islands,2016-103,,,
Southern Gulf Islands,2016-104,,,
Southern Gulf Islands,2016-105,,,
Southern Gulf Islands,2016-106,,,
Southern Gulf Islands,2016-107,,,
Southern Gulf Islands,2016-108,,,
Southern Gulf Islands,2016-109,,,
Southern Gulf Islands,2016-110,,,
Southern Gulf Islands,2016-111,,,
Southern Gulf Islands,2016-112,,,
Southern Gulf Islands,2016-113,,,
Southern Gulf Islands,2016-114,,,
Southern Gulf Islands,2016-115,,,
Southern Gulf Islands,2016-116,,,
Southern Gulf Islands,2016-117,,,
Southern Gulf Islands,2016-118,,,
Southern Gulf Islands,2016-119,,,
Southern Gulf Islands,2016-120,,,
Southern Gulf Islands,2016-121,,,
Southern Gulf Islands,2016-122,,,
Southern Gulf Islands,2017-001,,,
Southern Gulf Islands,2017-002,,,
Southern Gulf Islands,2017-003,,,
Southern Gulf Islands,2017-004,,,
Southern Gulf Islands,2017-005,,,
Southern Gulf Islands,2017-006,,,
Southern Gulf Islands,2017-007,,,
Southern Gulf Islands,2017-008,,,
Southern Gulf Islands,2017-009,,,
Southern Gulf Islands,2017-010,,,
Southern Gulf Islands,2017-011,,,
Southern Gulf Islands,2017-012,,,
Southern Gulf Islands,2017-013,,,
Southern Gulf Islands,2017-014,,,
Southern Gulf Islands,2017-015,,,
Southern Gulf Islands,2017-016,,,
Southern Gulf Islands,2017-017,0.47,0.513,3
Southern Gulf Islands,2017-018,,,
Southern Gulf Islands,2017-019,,,
Southern Gulf Islands,2017-020,,,
Southern Gulf Islands,2017-021,,,
Southern Gulf Islands,2017-022,,,
Southern Gulf Islands,2017-023,,,
Southern Gulf Islands,2017-024,,,
Southern Gulf Islands,2017-025,,,
Southern Gulf Islands,2017-026,,,
Southern Gulf Islands,2017-027,,,
Southern Gulf Islands,2017-028,,,
Southern Gulf Islands,2017-029,,,
Southern Gulf Islands,2017-030,,,
Southern Gulf Islands,2017-031,,,
Southern Gulf Islands,2017-032,,,
Southern Gulf Islands,2017-033,,,
Southern Gulf Islands,2017-034,0.285,0.21,2
Southern Gulf Islands,2017-035,8.605,0.39,2
Southern Gulf Islands,2017-036,,,
Southern Gulf Islands,2017-037,,,
Southern Gulf Islands,2017-038,,,
Southern Gulf Islands,2017-039,,,
Southern Gulf Islands,2017-040,,,
Southern Gulf Islands,2017-041,,,
Southern Gulf Islands,2017-042,,,
Southern Gulf Islands,2017-043,,,
Southern Gulf Islands,2017-044,,,
Southern Gulf Islands,2017-045,,,
Southern Gulf Islands,2017-046,,,
Southern Gulf Islands,2017-047,,,
Southern Gulf Islands,2017-048,1.9,0.22,1
Southern Gulf Islands,2017-049,,,
Southern Gulf Islands,2017-050,,,
Southern Gulf Islands,2017-051,,,
Southern Gulf Islands,2017-052,,,
Southern Gulf Islands,2017-053,,,
Southern Gulf Islands,2017-054,,,
Southern Gulf Islands,2017-055,,,
Southern Gulf Islands,2017-056,,,
Southern Gulf Islands,2017-057,,,
Southern Gulf Islands,2017-058,0.58,0.635,2
Southern Gulf Islands,2017-059,1.39,1.38,1
Southern Gulf Islands,2017-060,,,
Southern Gulf Islands,2017-061,,,
Southern Gulf Islands,2017-062,,,
Southern Gulf Islands,2017-063,,,
Southern Gulf Islands,2017-064,,,
Southern Gulf Islands,2017-065,,,
Southern Gulf Islands,2017-066,,,
Southern Gulf Islands,2017-067,,,
Southern Gulf Islands,2017-068,,,
Southern Gulf Islands,2017-069,,,
Southern Gulf Islands,2017-070,,,
Southern Gulf Islands,2017-071,,,
Southern Gulf Islands,2017-072,,,
Southern Gulf Islands,2017-073,,,
Southern Gulf Islands,2017-074,,,
Southern Gulf Islands,2017-075,,,
Southern Gulf Islands,2017-076,,,
Southern Gulf Islands,2017-077,,,
Southern Gulf Islands,2017-078,,,
Southern Gulf Islands,2017-079,,,
Southern Gulf Islands,2017-080,,,
