run_tag,region,vars,avg_method,log_transform,mean_or_median,exclude_dec_jan,status
bt_SGC2_PP123_ann_lin_med_exdj0,SGC2,"PP1-DIA;PP2-NAN;PP3-PIC",annual,0,median,0,ok
bt_SGC2_PP123_ann_lin_med_exdj1,SGC2,"PP1-DIA;PP2-NAN;PP3-PIC",annual,0,median,1,ok
bt_SGC2_PP123_ann_lin_mean_exdj0,SGC2,"PP1-DIA;PP2-NAN;PP3-PIC",annual,0,mean,0,ok
bt_SGC2_PP123_ann_lin_mean_exdj1,SGC2,"PP1-DIA;PP2-NAN;PP3-PIC",annual,0,mean,1,ok
bt_SGC2_PP123_ann_log_med_exdj0,SGC2,"PP1-DIA;PP2-NAN;PP3-PIC",annual,1,median,0,ok
bt_SGC2_PP123_ann_log_med_exdj1,SGC2,"PP1-DIA;PP2-NAN;PP3-PIC",annual,1,median,1,ok
bt_SGC2_PP123_ann_log_mean_exdj0,SGC2,"PP1-DIA;PP2-NAN;PP3-PIC",annual,1,mean,0,ok
bt_SGC2_PP123_ann_log_mean_exdj1,SGC2,"PP1-DIA;PP2-NAN;PP3-PIC",annual,1,mean,1,ok
bt_SGC2_PP123_all_lin_med_exdj0,SGC2,"PP1-DIA;PP2-NAN;PP3-PIC",all,0,median,0,ok
bt_SGC2_PP123_all_lin_med_exdj1,SGC2,"PP1-DIA;PP2-NAN;PP3-PIC",all,0,median,1,ok
bt_SGC2_PP123_all_lin_mean_exdj0,SGC2,"PP1-DIA;PP2-NAN;PP3-PIC",all,0,mean,0,ok
bt_SGC2_PP123_all_lin_mean_exdj1,SGC2,"PP1-DIA;PP2-NAN;PP3-PIC",all,0,mean,1,ok
bt_SGC2_PP123_all_log_med_exdj0,SGC2,"PP1-DIA;PP2-NAN;PP3-PIC",all,1,median,0,ok
bt_SGC2_PP123_all_log_med_exdj1,SGC2,"PP1-DIA;PP2-NAN;PP3-PIC",all,1,median,1,ok
bt_SGC2_PP123_all_log_mean_exdj0,SGC2,"PP1-DIA;PP2-NAN;PP3-PIC",all,1,mean,0,ok
bt_SGC2_PP123_all_log_mean_exdj1,SGC2,"PP1-DIA;PP2-NAN;PP3-PIC",all,1,mean,1,ok
bt_SGC2_PP1_ann_lin_med_exdj0,SGC2,"PP1-DIA",annual,0,median,0,ok
bt_SGC2_PP1_ann_lin_med_exdj1,SGC2,"PP1-DIA",annual,0,median,1,ok
bt_SGC2_PP1_ann_lin_mean_exdj0,SGC2,"PP1-DIA",annual,0,mean,0,ok
bt_SGC2_PP1_ann_lin_mean_exdj1,SGC2,"PP1-DIA",annual,0,mean,1,ok
bt_SGC2_PP1_ann_log_med_exdj0,SGC2,"PP1-DIA",annual,1,median,0,ok
bt_SGC2_PP1_ann_log_med_exdj1,SGC2,"PP1-DIA",annual,1,median,1,ok
bt_SGC2_PP1_ann_log_mean_exdj0,SGC2,"PP1-DIA",annual,1,mean,0,ok
bt_SGC2_PP1_ann_log_mean_exdj1,SGC2,"PP1-DIA",annual,1,mean,1,ok
bt_SGC2_PP1_all_lin_med_exdj0,SGC2,"PP1-DIA",all,0,median,0,ok
bt_SGC2_PP1_all_lin_med_exdj1,SGC2,"PP1-DIA",all,0,median,1,ok
