rank,run_tag,scenario,C09_Bias,sat_Bias,C09_MAE,sat_MAE,C09_MSE,sat_MSE,C09_Model StdDev,sat_Model StdDev,C09_Obs StdDev,sat_Obs StdDev,C09_R,sat_R,C09_RMSE,sat_RMSE,C09_Willmott Skill,sat_Willmott Skill,C09_Categorical Agreement_Count,C09_Timing Window Overlap_Count,sat_Categorical Agreement_Count,sat_Timing Window Overlap_Count,C09_Categorical Agreement_Proportion,C09_Timing Window Overlap_Proportion,sat_Categorical Agreement_Proportion,sat_Timing Window Overlap_Proportion,C09_Categorical Agreement_Total,C09_Timing Window Overlap_Total,sat_Categorical Agreement_Total,sat_Timing Window Overlap_Total,region,vars,avg_method,log_transform,mean_or_median,exclude_dec_jan,status,score
1,bt_SGC2_PP123_ann_log_med_exdj0,SC207,-4.051282051282051,-1.6428571428571428,11.487179487179487,11.357142857142858,235.64102564102564,175.78571428571428,13.617774670710649,12.62650273941963,11.695905879096149,18.926954108802995,0.3233767566710053,0.7209173230375505,15.350603429214946,13.25842050493626,0.5538194999723254,0.8127962195669082,19,13,11,4,0.4871794871794871,0.3333333333333333,0.7857142857142857,0.2857142857142857,39,39,14,14,SGC2,PP1-DIA;PP2-NAN;PP3-PIC,annual,1,median,0,ok,14.304511967075602
2,bt_SGC2_PP123_all_log_med_exdj0,SC207,-4.051282051282051,-4.214285714285714,11.487179487179487,11.357142857142858,235.64102564102564,186.07142857142856,13.617774670710649,15.036689822441858,11.695905879096149,18.926954108802995,0.3233767566710053,0.730889410769438,15.350603429214946,13.640800144105498,0.5538194999723254,0.8336148890852827,19,13,10,3,0.4871794871794871,0.3333333333333333,0.7142857142857143,0.2142857142857142,39,39,14,14,SGC2,PP1-DIA;PP2-NAN;PP3-PIC,all,1,median,0,ok,14.495701786660222
3,bt_SGC3_PP123_ann_log_med_exdj0,SC207,-4.051282051282051,-2.7142857142857144,11.487179487179487,11.571428571428571,235.64102564102564,190.57142857142856,13.617774670710649,12.808837829038676,11.695905879096149,18.926954108802995,0.3233767566710053,0.6993537095264724,15.350603429214946,13.804761083460612,0.5538194999723254,0.800551362616272,19,13,11,4,0.4871794871794871,0.3333333333333333,0.7857142857142857,0.2857142857142857,39,39,14,14,SGC3,PP1-DIA;PP2-NAN;PP3-PIC,annual,1,median,0,ok,14.577682256337779
4,bt_SGC4_PP123_ann_log_med_exdj0,SC207,-4.051282051282051,-3.571428571428572,11.487179487179487,10.714285714285714,235.64102564102564,190.57142857142856,13.617774670710649,18.409874236065686,11.695905879096149,18.926954108802995,0.3233767566710053,0.7452251386735099,15.350603429214946,13.804761083460612,0.5538194999723254,0.8588510676431307,19,13,10,5,0.4871794871794871,0.3333333333333333,0.7142857142857143,0.3571428571428571,39,39,14,14,SGC4,PP1-DIA;PP2-NAN;PP3-PIC,annual,1,median,0,ok,14.577682256337779
5,bt_SGC2_PP123_all_log_med_exdj1,SC207,-4.051282051282051,-5.714285714285714,11.487179487179487,11.142857142857142,235.64102564102564,200.8571428571429,13.617774670710649,14.940186868760025,11.695905879096149,18.926954108802995,0.3233767566710053,0.7306847140940708,15.350603429214946,14.172407800269609,0.5538194999723254,0.822861587313831,19,13,10,3,0.4871794871794871,0.3333333333333333,0.7142857142857143,0.2142857142857142,39,39,14,14,SGC2,PP1-DIA;PP2-NAN;PP3-PIC,all,1,median,1,ok,14.761505614742276
6,bt_SGC2_PP123_all_lin_med_exdj0,SC207,-4.051282051282051,-5.5,11.487179487179487,11.357142857142858,235.64102564102564,201.92857142857144,13.617774670710649,14.584028166148764,11.695905879096149,18.926954108802995,0.3233767566710053,0.7231879076212047,15.350603429214946,14.210157332998511,0.5538194999723254,0.8175879251405064,19,13,10,3,0.4871794871794871,0.3333333333333333,0.7142857142857143,0.2142857142857142,39,39,14,14,SGC2,PP1-DIA;PP2-NAN;PP3-PIC,all,0,median,0,ok,14.780380381106728
7,bt_SGC3_PP123_ann_lin_med_exdj0,SC207,-4.051282051282051,-3.571428571428572,11.487179487179487,12.0,235.64102564102564,211.14285714285717,13.617774670710649,13.155467552717854,11.695905879096149,18.926954108802995,0.3233767566710053,0.6685092673034128,15.350603429214946,14.53075555994447,0.5538194999723254,0.7856154357359904,19,13,10,4,0.4871794871794871,0.3333333333333333,0.7142857142857143,0.2857142857142857,39,39,14,14,SGC3,PP1-DIA;PP2-NAN;PP3-PIC,annual,0,median,0,ok,14.940679494579708
8,bt_SGC4_PP1_ann_lin_med_exdj0,SC207,-4.051282051282051,-8.285714285714286,11.487179487179487,11.714285714285714,235.64102564102564,212.8571428571429,13.617774670710649,15.388340404610345,11.695905879096149,18.926954108802995,0.3233767566710053,0.7739393997714573,15.350603429214946,14.589624493356329,0.5538194999723254,0.828440645068814,19,13,9,4,0.4871794871794871,0.3333333333333333,0.6428571428571429,0.2857142857142857,39,39,14,14,SGC4,PP1-DIA,annual,0,median,0,ok,14.970113961285637
9,bt_SGC3_PP123_all_log_med_exdj0,SC207,-4.051282051282051,-3.142857142857143,11.487179487179487,12.0,235.64102564102564,213.7142857142857,13.617774670710649,13.40442357688578,11.695905879096149,18.926954108802995,0.3233767566710053,0.6583858166365772,15.350603429214946,14.618970063389751,0.5538194999723254,0.782382235284513,19,13,10,4,0.4871794871794871,0.3333333333333333,0.7142857142857143,0.2857142857142857,39,39,14,14,SGC3,PP1-DIA;PP2-NAN;PP3-PIC,all,1,median,0,ok,14.984786746302348
10,bt_SGC3_PP123_all_lin_med_exdj0,SC207,-4.051282051282051,-4.0,11.487179487179487,12.0,235.64102564102564,213.7142857142857,13.617774670710649,13.662289825110069,11.695905879096149,18.926954108802995,0.3233767566710053,0.6712932969919273,15.350603429214946,14.618970063389751,0.5538194999723254,0.7888201799683967,19,13,9,4,0.4871794871794871,0.3333333333333333,0.6428571428571429,0.2857142857142857,39,39,14,14,SGC3,PP1-DIA;PP2-NAN;PP3-PIC,all,0,median,0,ok,14.984786746302348
11,bt_SGC3_PP1_ann_lin_mean_exdj0,SC207,-4.051282051282051,-4.857142857142857,11.487179487179487,12.428571428571429,235.64102564102564,220.14285714285717,13.617774670710649,13.14848481997924,11.695905879096149,18.926954108802995,0.3233767566710053,0.6721855480056579,15.350603429214946,14.837211905976714,0.5538194999723254,0.7791814897185412,19,13,10,3,0.4871794871794871,0.3333333333333333,0.7142857142857143,0.2142857142857142,39,39,14,14,SGC3,PP1-DIA,annual,0,mean,0,ok,15.093907667595829
12,bt_SGC2_PP123_ann_lin_med_exdj0,SC207,-4.051282051282051,-4.428571428571429,11.487179487179487,12.285714285714286,235.64102564102564,223.14285714285717,13.617774670710649,12.23682131594506,11.695905879096149,18.926954108802995,0.3233767566710053,0.6572349095412686,15.350603429214946,14.93796696819407,0.5538194999723254,0.7635804261470696,19,13,10,4,0.4871794871794871,0.3333333333333333,0.7142857142857143,0.2857142857142857,39,39,14,14,SGC2,PP1-DIA;PP2-NAN;PP3-PIC,annual,0,median,0,ok,15.144285198704509
13,bt_SGC2_PP1_ann_lin_mean_exdj0,SC207,-4.051282051282051,-5.5,11.487179487179487,12.214285714285714,235.64102564102564,228.5,13.617774670710649,12.287375302998386,11.695905879096149,18.926954108802995,0.3233767566710053,0.6685494552438898,15.350603429214946,15.116216457830976,0.5538194999723254,0.7641132369627309,19,13,10,4,0.4871794871794871,0.3333333333333333,0.7142857142857143,0.2857142857142857,39,39,14,14,SGC2,PP1-DIA,annual,0,mean,0,ok,15.233409943522961
14,bt_SGC3_PP1_ann_lin_med_exdj0,SC207,-4.051282051282051,-8.5,11.487179487179487,12.5,235.64102564102564,234.07142857142856,13.617774670710649,12.076288117376032,11.695905879096149,18.926954108802995,0.3233767566710053,0.7486740701558049,15.350603429214946,15.29939307853186,0.5538194999723254,0.7746881445830468,19,13,8,4,0.4871794871794871,0.3333333333333333,0.5714285714285714,0.2857142857142857,39,39,14,14,SGC3,PP1-DIA,annual,0,median,0,ok,15.324998253873403
15,bt_SGC2_PP1_ann_lin_med_exdj0,SC207,-4.051282051282051,-7.642857142857143,11.487179487179487,12.5,235.64102564102564,243.07142857142856,13.617774670710649,12.212405870378577,11.695905879096149,18.926954108802995,0.3233767566710053,0.6980816735468804,15.350603429214946,15.590748172279245,0.5538194999723254,0.762926934686084,19,13,9,5,0.4871794871794871,0.3333333333333333,0.6428571428571429,0.3571428571428571,39,39,14,14,SGC2,PP1-DIA,annual,0,median,0,ok,15.470675800747095
16,bt_SGC3_PP123_all_log_med_exdj1,SC207,-4.051282051282051,-7.214285714285714,11.487179487179487,12.214285714285714,235.64102564102564,258.5,13.617774670710649,15.206738570751575,11.695905879096149,18.926954108802995,0.3233767566710053,0.6653882235712328,15.350603429214946,16.077935190813527,0.5538194999723254,0.7836212997535202,19,13,9,4,0.4871794871794871,0.3333333333333333,0.6428571428571429,0.2857142857142857,39,39,14,14,SGC3,PP1-DIA;PP2-NAN;PP3-PIC,all,1,median,1,ok,15.714269310014236
17,bt_SGC4_PP1_ann_log_med_exdj0,SC207,-4.051282051282051,-9.785714285714286,11.487179487179487,12.785714285714286,235.64102564102564,271.35714285714283,13.617774670710649,15.315058615890546,11.695905879096149,18.926954108802995,0.3233767566710053,0.7196112028798652,15.350603429214946,16.47292150339893,0.5538194999723254,0.7905363209081099,19,13,8,4,0.4871794871794871,0.3333333333333333,0.5714285714285714,0.2857142857142857,39,39,14,14,SGC4,PP1-DIA,annual,1,median,0,ok,15.911762466306937
18,bt_SGC3_PP1_all_lin_mean_exdj0,SC207,-4.051282051282051,-6.357142857142857,11.487179487179487,13.071428571428571,235.64102564102564,284.6428571428572,13.617774670710649,13.35465981504247,11.695905879096149,18.926954108802995,0.3233767566710053,0.5783024020086895,15.350603429214946,16.871362041721977,0.5538194999723254,0.7261629293056783,19,13,9,4,0.4871794871794871,0.3333333333333333,0.6428571428571429,0.2857142857142857,39,39,14,14,SGC3,PP1-DIA,all,0,mean,0,ok,16.11098273546846
19,bt_SGC2_PP1_all_lin_mean_exdj1,SC207,-4.051282051282051,-6.357142857142857,11.487179487179487,13.071428571428571,235.64102564102564,289.35714285714283,13.617774670710649,13.160702170957787,11.695905879096149,18.926954108802995,0.3233767566710053,0.5670390640418449,15.350603429214946,17.010500958441607,0.5538194999723254,0.7165182843057447,19,13,9,4,0.4871794871794871,0.3333333333333333,0.6428571428571429,0.2857142857142857,39,39,14,14,SGC2,PP1-DIA,all,0,mean,1,ok,16.180552193828277
20,bt_SGC3_PP1_ann_log_med_exdj0,SC207,-4.051282051282051,-9.785714285714286,11.487179487179487,13.785714285714286,235.64102564102564,293.2142857142857,13.617774670710649,12.2349449345316,11.695905879096149,18.926954108802995,0.3233767566710053,0.6703568343080168,15.350603429214946,17.123500977145,0.5538194999723254,0.7329609873055405,19,13,7,4,0.4871794871794871,0.3333333333333333,0.5,0.2857142857142857,39,39,14,14,SGC3,PP1-DIA,annual,1,median,0,ok,16.23705220317997
