timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,date,season
1,0.004600231,0.00018001,0.2799895,0.02999621,0.5995187,0.5199475,0.08987355,0.6385351,0.4984481,0.002999937,0.0299706,0.2599439,0.0386986,1.072299,0.8240656,0.4095086,2.17385,1.202767,0.2194941,0.1840092,4.28251,10.02369,1978-01-02,Winter
2,0.004600059,0.0001799982,0.2798852,0.02998217,0.5981612,0.5195954,0.08954821,0.6356977,0.4938172,0.00299868,0.0298478,0.2596831,0.03632276,1.02373,0.7790982,0.3627811,2.131622,1.040595,0.1659589,0.1941021,4.242725,9.851086,1978-01-05,Winter
3,0.00459954,0.0001799655,0.2796566,0.02995707,0.5961167,0.5188269,0.089087,0.6320508,0.4868684,0.002995819,0.02962751,0.2591762,0.03395903,0.9776599,0.7396242,0.3256559,2.125465,0.9542053,0.1445589,0.2014586,4.191435,9.638709,1978-01-08,Winter
4,0.004598535,0.0001799044,0.279294,0.02992083,0.5935529,0.5176158,0.0885344,0.6279374,0.4784127,0.002991132,0.02932461,0.2584311,0.03197389,0.940061,0.7065803,0.2977396,2.133977,0.9100065,0.1365999,0.2065781,4.134736,9.41818,1978-01-11,Winter
5,0.004596909,0.0001798085,0.2787999,0.02987386,0.5906074,0.5159838,0.08792157,0.6235742,0.4691154,0.002984567,0.0289587,0.2574749,0.03042789,0.9109473,0.6795386,0.2771204,2.147606,0.8890694,0.1342217,0.2097797,4.076401,9.206171,1978-01-14,Winter
6,0.004594554,0.0001796726,0.2781821,0.02981691,0.5873879,0.513974,0.08727039,0.6191016,0.4594674,0.002976165,0.02854833,0.2563397,0.02927102,0.8887014,0.6576419,0.26188,2.162189,0.8807548,0.1340907,0.2113697,4.018991,9.010656,1978-01-17,Winter
7,0.004591382,0.0001794932,0.2774506,0.02975079,0.5839778,0.5116372,0.08659639,0.6146126,0.4498101,0.002966021,0.02810912,0.2550563,0.0284255,0.8715911,0.6399883,0.2504798,2.176018,0.8791051,0.1347916,0.2116781,3.964265,8.834701,1978-01-20,Winter
8,0.004587326,0.0001792675,0.2766157,0.02967639,0.5804415,0.5090245,0.08591069,0.6101699,0.4403709,0.002954252,0.02765355,0.2536527,0.02781724,0.85821,0.6257716,0.2417854,2.188488,0.8808087,0.1357332,0.2110389,3.913353,8.678693,1978-01-23,Winter
9,0.004582336,0.000178994,0.2756878,0.0295946,0.576829,0.506184,0.08522141,0.6058167,0.4312951,0.002940991,0.02719131,0.2521531,0.02738531,0.8475302,0.6143183,0.2349953,2.199479,0.884049,0.1366795,0.2097591,3.866876,8.541651,1978-01-26,Winter
10,0.004576377,0.0001786716,0.2746763,0.02950627,0.5731795,0.5031594,0.08453454,0.6015825,0.4226705,0.002926372,0.02672978,0.2505786,0.02708291,0.8388361,0.6050832,0.2295566,2.20907,0.8878504,0.1375468,0.2080964,3.825069,8.421968,1978-01-29,Winter
11,0.004569426,0.0001783001,0.2735903,0.0294122,0.5695239,0.4999897,0.08385456,0.5974879,0.4145457,0.00291053,0.02627452,0.2489469,0.02687537,0.8316399,0.597631,0.2250941,2.217406,0.8917068,0.1383139,0.206251,3.787882,8.317824,1978-02-01,Winter
12,0.004561471,0.0001778796,0.272438,0.02931315,0.5658869,0.4967093,0.08318488,0.5935469,0.4069426,0.002893596,0.02582966,0.2472735,0.02673746,0.8256083,0.5916159,0.221355,2.224643,0.8953705,0.138984,0.2043674,3.755081,8.227408,1978-02-04,Winter
13,0.004552424,0.0001774059,0.2711645,0.02919409,0.5600418,0.4931884,0.08222611,0.584771,0.3876927,0.002863933,0.02535072,0.2454545,0.0245451,0.7895184,0.5093459,0.1989792,1.304853,0.7933637,0.07939728,0.2177909,3.749188,8.0157,1978-02-07,Winter
14,0.004541913,0.0001768584,0.2696591,0.02904347,0.5515298,0.4890538,0.08091263,0.5703311,0.3665112,0.002831845,0.02475134,0.243289,0.02192092,0.7281644,0.4574373,0.1767546,1.058026,0.736281,0.0627583,0.2277995,3.672076,7.668653,1978-02-10,Winter
15,0.004529653,0.0001762228,0.267905,0.02886835,0.5420009,0.4842269,0.07946447,0.5545369,0.345417,0.002797633,0.02404837,0.2407784,0.019671,0.6749101,0.4102216,0.1596735,1.017865,0.7118049,0.05665961,0.2341443,3.580549,7.307785,1978-02-13,Winter
