Season,Group,ModelMean,ObsMean,Bias
Winter,Diatoms,0.6178692400000001,0.7,-0.08213075999999986
Winter,Nano,0.835786693548387,1.51,-0.674213306451613
Winter,Other,0.06902213587096774,0.11,-0.04097786412903226
Spring,Diatoms,1.9059593181818182,6.0,-4.094040681818182
Spring,Nano,1.0643289123966941,1.74,-0.6756710876033059
Spring,Other,0.1264538412396694,0.19,-0.0635461587603306
Summer,Diatoms,2.177719504065041,1.24,0.937719504065041
Summer,Nano,1.176567731707317,1.69,-0.5134322682926828
Summer,Other,0.28272443983739837,0.55,-0.2672755601626017
Overall,Diatoms,1.5753239549999998,2.646666666666667,-1.0713427116666672
Overall,Nano,1.0162850927083333,1.6466666666666665,-0.6303815739583332
Overall,Other,0.1688876171875,0.2833333333333334,-0.11444571614583338
