timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,date,season,Total_Biomass_C,N_Bound_gm2,N_Free_gm2
1,0.004600191,0.0001800082,0.2799913,0.02999718,0.5996322,0.5199341,0.08990412,0.6391362,0.4989201,0.002999952,0.02998782,0.2599649,0.03903678,1.077945,0.8611764,0.428454,1.478885,1.07626,0.3001475,0.1769908,2.986301,2.960999,1978-01-02,Winter,2.8552925,8.488707432432433,20.511292567567565
2,0.004600051,0.0001799988,0.2799016,0.02998614,0.5985799,0.5195219,0.08966105,0.6370591,0.4957418,0.002998807,0.02991059,0.2597637,0.03730652,1.03522,0.8423708,0.40025,1.450038,0.9844304,0.2821568,0.179016,2.951812,2.894616,1978-01-05,Winter,2.7166252,8.076453297297297,20.9235467027027
3,0.004599632,0.0001799726,0.279714,0.02996674,0.597003,0.5187153,0.08932491,0.6343338,0.4909575,0.00299636,0.02975859,0.2593658,0.03565726,0.9925655,0.8216266,0.3792144,1.448997,0.9471086,0.2772875,0.1789109,2.906257,2.832407,1978-01-08,Winter,2.6733931,7.947925432432433,21.052074567567566
4,0.004598828,0.0001799243,0.2794294,0.02993953,0.5950573,0.5175641,0.08893355,0.6313079,0.4851633,0.00299257,0.02954368,0.2587917,0.03435396,0.9571044,0.8025917,0.3648984,1.459233,0.9355196,0.2775152,0.1780797,2.856987,2.782276,1978-01-11,Winter,2.6722677999999997,7.944579945945945,21.055420054054053
5,0.004597555,0.0001798499,0.2790567,0.02990535,0.5928721,0.5161409,0.08851244,0.6281921,0.4788705,0.002987505,0.02928357,0.2580758,0.03342138,0.9301031,0.7866055,0.3557648,1.472836,0.9353491,0.2794152,0.1770802,2.808793,2.744018,1978-01-14,Winter,2.6876002999999997,7.990163054054053,21.00983694594595
6,0.00459575,0.0001797468,0.2786067,0.02986507,0.5905454,0.5145128,0.08807824,0.6251095,0.4724587,0.002981271,0.02899505,0.2572522,0.03280095,0.9105828,0.7738575,0.3502634,1.486193,0.9395969,0.2815761,0.1760986,2.764395,2.715327,1978-01-17,Winter,2.707366,8.048925945945946,20.951074054054054
7,0.004593372,0.0001796137,0.2780902,0.02981954,0.5881478,0.5127353,0.08764158,0.6221282,0.4661846,0.002973986,0.0286918,0.2563502,0.03241657,0.896945,0.7640297,0.347143,1.497848,0.9449702,0.2834761,0.1751869,2.725055,2.693807,1978-01-20,Winter,2.7262943,8.10519927027027,20.89480072972973
8,0.004590398,0.00017945,0.2775164,0.02976951,0.5857281,0.5108515,0.08720908,0.6192824,0.4602077,0.002965767,0.02838409,0.2553928,0.03219944,0.8876387,0.7566323,0.3454939,1.507412,0.9500462,0.28498,0.1743574,2.691106,2.677514,1978-01-23,Winter,2.7424382,8.153194648648649,20.84680535135135
9,0.004586815,0.0001792557,0.2768937,0.02971566,0.5833197,0.5088947,0.08678475,0.6165869,0.4546174,0.002956724,0.02807922,0.254398,0.03209523,0.8813875,0.7511654,0.3446996,1.514988,0.9543219,0.2861089,0.1736129,2.66234,2.665005,1978-01-26,Winter,2.7554187999999997,8.191785621621621,20.80821437837838
10,0.004582621,0.0001790314,0.2762291,0.02965856,0.5809448,0.5068906,0.08637102,0.6140451,0.4494551,0.00294696,0.02778216,0.2533797,0.03206414,0.8772265,0.7471877,0.3443669,1.520868,0.9577209,0.2869342,0.1729537,2.638274,2.655256,1978-01-29,Winter,2.7655231000000002,8.221825432432432,20.778174567567568
11,0.004577819,0.0001787778,0.2755287,0.02959876,0.5786182,0.504859,0.08596928,0.6116551,0.4447314,0.002936566,0.02749616,0.2523484,0.03207847,0.8744648,0.7443371,0.3442603,1.525388,0.9603418,0.2875327,0.1723782,2.618317,2.647545,1978-02-01,Winter,2.7732625,8.244834459459458,20.755165540540542
12,0.004572419,0.0001784959,0.2747978,0.0295367,0.5763493,0.5028154,0.08558033,0.6094117,0.4404379,0.002925631,0.02722317,0.251312,0.03211972,0.8726269,0.7423291,0.3442476,1.528855,0.9623343,0.2879693,0.1718822,2.601866,2.641369,1978-02-04,Winter,2.7791586,8.262363405405406,20.737636594594594
13,0.004566432,0.0001781868,0.274041,0.02947281,0.5741444,0.5007722,0.08520457,0.6073088,0.4365556,0.002914233,0.02696432,0.250277,0.03217596,0.871395,0.7409465,0.3442613,1.531523,0.9638445,0.2882929,0.1714595,2.58836,2.636371,1978-02-07,Winter,2.7836604,8.275747135135134,20.724252864864866
14,0.004559876,0.0001778518,0.2732624,0.02940745,0.5720072,0.4987393,0.08484218,0.6053399,0.4330597,0.002902442,0.02672009,0.2492482,0.03223969,0.8705614,0.7400256,0.3442707,1.533593,0.9649947,0.2885387,0.1711026,2.5773,2.632295,1978-02-10,Winter,2.7871264,8.28605145945946,20.713948540540542
15,0.004552769,0.0001774922,0.2724658,0.02934095,0.5699402,0.4967247,0.0844932,0.6034986,0.429923,0.002890327,0.02649059,0.2482295,0.03230635,0.869992,0.7394449,0.3442658,1.535213,0.9658796,0.2887304,0.1708032,2.568258,2.628953,1978-02-13,Winter,2.7898229999999997,8.294068378378377,20.705931621621623
16,0.004545129,0.0001771093,0.2716544,0.02927359,0.5679444,0.4947349,0.08415755,0.6017784,0.4271178,0.002877945,0.02627563,0.247224,0.03237326,0.8696012,0.7391137,0.3442457,1.536497,0.9665692,0.2888838,0.1705535,2.560872,2.6262,1978-02-16,Winter,2.79195,8.300391891891891,20.69960810810811
17,0.004536979,0.0001767045,0.2708311,0.02920563,0.5660202,0.4927754,0.0838351,0.6001734,0.4246171,0.002865353,0.02607487,0.2462344,0.03243887,0.8693342,0.7389649,0.3442139,1.537524,0.9671143,0.2890095,0.1703457,2.554842,2.623929,1978-02-19,Winter,2.7936478,8.305439405405405,20.694560594594595
18,0.004528341,0.0001762792,0.2699987,0.02913732,0.5641673,0.4908505,0.08352565,0.5986776,0.422395,0.0028526,0.02588783,0.2452624,0.03250232,0.8691552,0.7389485,0.3441745,1.538355,0.9675511,0.2891144,0.1701732,2.54992,2.622051,1978-02-22,Winter,2.7950204999999997,8.309520405405404,20.690479594594596
19,0.004519238,0.0001758348,0.2691596,0.02906884,0.562385,0.4889636,0.08322898,0.5972854,0.4204274,0.002839732,0.02571395,0.2443099,0.03256318,0.8690402,0.739027,0.3441312,1.539034,0.9679052,0.2892034,0.17003,2.545904,2.620497,1978-02-25,Winter,2.7961426,8.312856378378378,20.687143621621622
