Index,Region,Station,Latitude.W.,Longitude.N.,Tow_start_depth.m.,Tow_end_depth.m.,Bottom_depth.m.,Year,Month,Day,Time,Twilight,Season,ZC1-EUP,ZC2-AMP,ZC3-DEC,ZC4-CLG,ZC5-CSM,ZS2-CTH,ZS3-CHA,ZS4-LAR,misc,ZF1-ICT,ZS1-JEL,date,EWE-ZF1-ICT,EWE-ZC1-EUP,EWE-ZC2-AMP,EWE-ZC3-DEC,EWE-ZC4-CLG,EWE-ZC5-CSM,EWE-ZS1-JEL,EWE-ZS2-CTH,EWE-ZS3-CHA,EWE-ZS4-LAR
PBS1996051000101,Central Strait of Georgia,GEO1,49.25,-123.748,400,0,400,1996,2,12,12:00,Daylight,Winter,0.216570359992712,0.475371879973644,0.0253123200008222,1.78160479947003,0.718263877490666,0.0408963599601048,0.236343280147376,0.0024768000011988,0.0557951998810112,0.0057775200048451,,1996-02-12,0.03075453,0.5772813,0.5010878,0.08065958,0.5957533,0.3528437,0.003008771,0.02441643,0.2431126,0.8143719
PBS1996051000201,Central Strait of Georgia,GEO1,49.25,-123.748,400,0,400,1996,2,12,13:47,Daylight,Winter,0.132625760002683,0.351621319985093,0.0102484800001498,4.60534879930211,0.997159199164428,0.0355388400015566,0.166848880130305,,0.0039455998509168,0.00058128000168,,1996-02-12,0.03075453,0.5772813,0.5010878,0.08065958,0.5957533,0.3528437,0.003008771,0.02441643,0.2431126,0.8143719
PBS1996053000201A,Central Strait of Georgia,GEO1,49.25,-123.748,400,0,400,1996,4,8,12:00,Daylight,Spring,0.0383491199850291,1.32859507995862,0.193756320008199,1.32867519854843,1.79235311887147,0.0486633599976028,0.626887519767323,,0.0041327990749536,0.0735083999853924,,1996-04-08,0.02909457,0.5707678,0.4723963,0.08028482,0.6240132,0.4217858,0.002698024,0.02543455,0.2310468,0.766367
PBS1996053000201B,Central Strait of Georgia,GEO1,49.25,-123.748,400,0,400,1996,4,8,12:00,Daylight,Spring,0.0221897193940956,0.88822004005155,0.231559200144053,1.59453280890605,2.00364828385141,0.0224409599976402,0.5191514397986,,0.0158783996209552,0.114675119891462,,1996-04-08,0.02909457,0.5707678,0.4723963,0.08028482,0.6240132,0.4217858,0.002698024,0.02543455,0.2310468,0.766367
PBS1997051000101,Central Strait of Georgia,GEO1,49.25,-123.75,400,0,400,1997,1,21,12:00,Daylight,Winter,0.187117079992754,0.993344720087366,0.0102484800001498,1.03264959978829,1.3479977238357,0.0090280799989894,0.744049119978156,,0.0039743986761408,0.0003611999955816,,1997-01-21,0.02554491,0.3207892,0.3514451,0.04703684,0.2175319,0.08310714,0.002257593,0.00750858,0.1750243,0.0921775
PBS1997054000201,Central Strait of Georgia,GEO1,49.25,-123.75,400,0,400,1997,3,25,12:00,Night,Spring,0.063032839794749,1.44568924003737,0.489657599961245,0.341230400008037,2.01380988726944,0.0188089199953387,0.679167920095102,,0.01239999962472,0.17782968010538,,1997-03-25,0.01836535,0.1855556,0.2230493,0.03511342,0.1105661,0.07416876,0.001177098,0.002566122,0.120551,0.522059
PBS1997055000101,Central Strait of Georgia,GEO1,49.25,-123.75,400,0,400,1997,4,8,12:00,Daylight,Spring,0.273875594529903,0.246907719974026,0.0179668799505533,0.0414447993557264,0.346335400584153,0.0033361199992695,0.124839119817868,,0.0006720001032576,0.0446980799892245,,1997-04-08,0.01730112,0.1794851,0.213147,0.03560559,0.115761,0.09966817,0.001029229,0.002512145,0.1168519,0.5357644
PBS1997059000201,Central Strait of Georgia,GEO1,49.25,-123.75,400,0,400,1997,6,10,12:00,Daylight,Summer,0.421673479901635,1.79504015988338,1.65287520003213,1.83895839838752,1.77207052077936,0.0307807199918525,0.110070800304959,,0.0106560001140832,,,1997-06-10,0.01938502,0.4781549,0.3308063,0.0799984,0.6834129,0.6986762,0.001052849,0.02530919,0.1799299,1.340742
PBS1997060000201,Central Strait of Georgia,GEO1,49.25,-123.75,400,0,400,1997,7,9,12:00,Daylight,Summer,0.0435280399351698,3.30533776002753,1.18890287997837,2.63972959912976,1.61590435527509,0.0259318799962128,0.12771343989992,,,,,1997-07-09,0.02201426,0.5550402,0.41145,0.09116545,0.737462,0.6591337,0.001405529,0.0345914,0.2158519,1.43078
PBS1997060000101,Central Strait of Georgia,GEO1,49.25,-123.75,400,0,400,1997,7,9,12:00,Daylight,Summer,0.0843522398960879,2.25792311985801,0.520248960011095,2.22653119610188,1.23866076375729,0.0537721199846903,0.416756639925693,,0.000292799785408,0.0469459199957328,,1997-07-09,0.02201426,0.5550402,0.41145,0.09116545,0.737462,0.6591337,0.001405529,0.0345914,0.2158519,1.43078
