date,group,obs_biomass,model_biomass
1996-02-12,ZF1-ICT,0.0057775200048451,0.03075453
1996-02-12,ZF1-ICT,0.00058128000168,0.03075453
1996-04-08,ZF1-ICT,0.0735083999853924,0.02909457
1996-04-08,ZF1-ICT,0.114675119891462,0.02909457
1997-01-21,ZF1-ICT,0.0003611999955816,0.02554491
1997-03-25,ZF1-ICT,0.17782968010538,0.01836535
1997-04-08,ZF1-ICT,0.0446980799892245,0.01730112
1997-06-10,ZF1-ICT,,0.01938502
1997-07-09,ZF1-ICT,,0.02201426
1997-07-09,ZF1-ICT,0.0469459199957328,0.02201426
1997-08-06,ZF1-ICT,,0.02366002
1997-09-03,ZF1-ICT,,0.02499188
1997-09-03,ZF1-ICT,,0.02499188
1997-10-28,ZF1-ICT,,0.02725118
1997-10-28,ZF1-ICT,,0.02725118
1997-12-18,ZF1-ICT,,0.02465415
1997-12-18,ZF1-ICT,,0.02465415
1998-01-20,ZF1-ICT,0.0002200800004216,0.02187931
1998-02-03,ZF1-ICT,0.0003410400017236,0.02030166
1998-02-03,ZF1-ICT,0.0031886400038001,0.02030166
1998-02-26,ZF1-ICT,0.0197013599947164,0.0183175
1998-02-26,ZF1-ICT,0.109984350157334,0.0183175
1998-02-26,ZF1-ICT,0.140131437548783,0.0183175
1998-02-26,ZF1-ICT,0.0192410400175157,0.0183175
1998-03-17,ZF1-ICT,0.0019454400001461,0.01675746
1998-03-25,ZF1-ICT,0.10159464024992,0.01644686
1998-03-25,ZF1-ICT,0.0631948801367167,0.01644686
1998-03-31,ZF1-ICT,1.98227807408071,0.01618787
1998-03-31,ZF1-ICT,0.0371145598954452,0.01618787
1998-04-22,ZF1-ICT,0.0907015199974951,0.01588681
1998-04-22,ZF1-ICT,0.258580560001574,0.01588681
1998-06-04,ZF1-ICT,,0.01939229
1998-06-04,ZF1-ICT,0.198937305002535,0.01939229
1998-06-04,ZF1-ICT,0.0063201600003124,0.01939229
1998-07-15,ZF1-ICT,,0.02380821
1998-10-14,ZF1-ICT,,0.02708403
1998-10-16,ZF1-ICT,,0.02720093
1999-04-23,ZF1-ICT,,0.01495831
1999-04-23,ZF1-ICT,,0.01495831
1999-06-26,ZF1-ICT,0.0099225000006048,0.01886373
1999-06-26,ZF1-ICT,0.0024800999995674,0.01886373
1999-06-26,ZF1-ICT,,0.01886373
1999-08-14,ZF1-ICT,,0.02358195
1999-08-14,ZF1-ICT,,0.02358195
2000-05-22,ZF1-ICT,0.018061049994708,0.01719854
2000-05-25,ZF1-ICT,4.40852685016285,0.01747095
2000-08-15,ZF1-ICT,,0.02577833
2000-08-18,ZF1-ICT,,0.02598352
2001-03-25,ZF1-ICT,0.0720541499885309,0.01723471
2001-03-26,ZF1-ICT,0.101116511893047,0.01708055
2001-08-08,ZF1-ICT,,0.02555103
2001-08-08,ZF1-ICT,,0.02555103
2001-08-09,ZF1-ICT,0.0232129674030729,0.02555103
2001-08-09,ZF1-ICT,,0.02555103
2001-08-09,ZF1-ICT,,0.02555103
2001-08-09,ZF1-ICT,,0.02555103
2002-02-17,ZF1-ICT,,0.02010221
2002-02-18,ZF1-ICT,,0.01979435
