timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,date,season
1,0.004600302,0.0001800151,0.2800375,0.03001492,0.6026033,0.5201245,0.09033821,0.6460094,0.503317,0.003000536,0.03003514,0.2600644,0.0414951,1.148175,0.9098101,0.4239382,3.397595,1.659985,0.3393654,0.1840923,4.323596,10.25798,1978-01-02,Winter
2,0.004600891,0.0001800497,0.2802145,0.03005567,0.6086309,0.52079,0.09111147,0.6595111,0.5116985,0.003002834,0.03021966,0.2604292,0.04409317,1.233438,0.9839225,0.4041495,3.800119,1.721784,0.3297274,0.1935527,4.372036,10.58393,1978-01-05,Winter
3,0.004602315,0.0001801317,0.2805934,0.03011946,0.6164976,0.5221945,0.09210337,0.6759404,0.5232636,0.003007918,0.03058239,0.2611836,0.04642773,1.312627,1.059026,0.3908591,3.907578,1.730887,0.321249,0.2003222,4.429929,10.95047,1978-01-08,Winter
4,0.004604845,0.0001802743,0.2811835,0.03020389,0.6253451,0.5243389,0.09320054,0.6931929,0.5365358,0.00301609,0.03109711,0.2623057,0.0481162,1.373245,1.122729,0.3807479,3.901499,1.716349,0.314368,0.2058945,4.490581,11.29903,1978-01-11,Winter
5,0.004608667,0.000180486,0.2819738,0.03030689,0.6346902,0.5271461,0.09434265,0.7103153,0.5504471,0.003027351,0.03172363,0.2637378,0.04918363,1.415694,1.172386,0.3728203,3.859388,1.693933,0.3090469,0.2110592,4.550033,11.60645,1978-01-14,Winter
6,0.004613913,0.0001807719,0.282947,0.03042651,0.6442485,0.5305155,0.09549665,0.7268846,0.5642762,0.003041561,0.03242381,0.2654177,0.04977921,1.444242,1.209315,0.3667588,3.811485,1.671024,0.3049946,0.2160643,4.605677,11.86702,1978-01-17,Winter
7,0.004620672,0.0001811351,0.2840844,0.03056098,0.6538453,0.5343466,0.09664369,0.7427195,0.5775653,0.003058525,0.03316638,0.2672899,0.05005609,1.46323,1.235981,0.3623527,3.768029,1.650511,0.3018845,0.2208736,4.655936,12.08298,1978-01-20,Winter
8,0.004629003,0.0001815773,0.2853685,0.0307086,0.6633686,0.5385482,0.09777255,0.7577493,0.5900427,0.003078022,0.03392733,0.2693086,0.05013335,1.475963,1.254828,0.3593558,3.731458,1.633148,0.2994483,0.2253588,4.700091,12.2596,1978-01-23,Winter
9,0.004638942,0.0001820987,0.286783,0.0308678,0.6727445,0.5430406,0.09887619,0.771955,0.6015626,0.003099829,0.03468872,0.2714362,0.05009272,1.484663,1.267889,0.3574888,3.701504,1.61881,0.2974932,0.2294023,4.738065,12.40284,1978-01-26,Winter
10,0.004650503,0.0001826989,0.2883131,0.03103713,0.6819226,0.5477557,0.09995004,0.7853425,0.6120619,0.003123724,0.0354374,0.2736426,0.04998631,1.490737,1.276738,0.3564738,3.677158,1.607079,0.2958901,0.2329374,4.770204,12.51837,1978-01-29,Winter
11,0.004663687,0.0001833766,0.2899452,0.03121521,0.6908686,0.5526351,0.1009911,0.7979309,0.6215301,0.003149493,0.03616383,0.2759028,0.04984577,1.495051,1.28255,0.3560629,3.657362,1.597496,0.2945543,0.235951,4.797078,12.61117,1978-02-01,Winter
12,0.004678482,0.0001841301,0.291667,0.03140081,0.6995591,0.5576293,0.1019973,0.809746,0.6299903,0.00317693,0.03686126,0.2781964,0.04968971,1.498142,1.286188,0.3560527,3.641208,1.589654,0.2934297,0.23847,4.81935,12.68544,1978-02-04,Winter
13,0.004694864,0.0001849572,0.2934668,0.03159275,0.7079783,0.5626965,0.1029673,0.8208176,0.6374863,0.003205836,0.037525,0.2805064,0.04952879,1.50035,1.288281,0.3562874,3.627965,1.583218,0.2924777,0.2405452,4.837681,12.74469,1978-02-07,Winter
14,0.004712804,0.0001858553,0.2953342,0.03178999,0.7161162,0.5678007,0.1039005,0.8311773,0.644074,0.003236024,0.03815202,0.2828185,0.049369,1.501897,1.289283,0.3566546,3.617056,1.57792,0.2916697,0.2422373,4.852686,12.79179,1978-02-10,Winter
15,0.004732263,0.0001868216,0.2972595,0.03199155,0.7239672,0.5729117,0.1047963,0.8408579,0.6498165,0.003267318,0.03874053,0.2851207,0.04921365,1.502942,1.289525,0.3570776,3.608027,1.573545,0.2909835,0.2436077,4.86491,12.82908,1978-02-13,Winter
16,0.0047532,0.0001878532,0.2992336,0.03219655,0.7315288,0.5780038,0.1056546,0.8498926,0.6547797,0.003299549,0.03928973,0.287403,0.04906451,1.503597,1.289245,0.3575072,3.600519,1.569923,0.2904007,0.2447125,4.874823,12.85846,1978-02-16,Winter
17,0.004775566,0.0001889468,0.3012482,0.03240419,0.7388012,0.5830553,0.1064758,0.8583142,0.6590301,0.00333256,0.03979959,0.289657,0.04892246,1.503951,1.288617,0.3579141,3.594244,1.566917,0.2899057,0.2456008,4.882826,12.88148,1978-02-19,Winter
18,0.004799309,0.0001900992,0.3032959,0.03261373,0.7457867,0.5880479,0.1072601,0.8661553,0.662633,0.003366206,0.04027067,0.2918758,0.04878792,1.504071,1.287763,0.3582828,3.588975,1.564416,0.2894851,0.2463138,4.889255,12.8994,1978-02-22,Winter
19,0.004824376,0.000191307,0.3053696,0.03282452,0.7524889,0.5929662,0.108008,0.8734474,0.6656514,0.003400349,0.04070397,0.2940535,0.04866096,1.504014,1.286774,0.3586067,3.584526,1.56233,0.2891273,0.2468852,4.89439,12.91322,1978-02-25,Winter
20,0.004850709,0.0001925668,0.307463,0.03303596,0.7589128,0.5977976,0.1087203,0.8802215,0.6681451,0.003434862,0.04110083,0.2961853,0.04854148,1.503821,1.285712,0.3588848,3.58075,1.560584,0.2888224,0.2473425,4.898465,12.92377,1978-02-28,Winter
21,0.004878251,0.0001938752,0.3095703,0.03324752,0.7650644,0.6025315,0.1093977,0.8865074,0.6701702,0.003469629,0.04146284,0.2982676,0.04842928,1.503528,1.284623,0.3591191,3.577525,1.559119,0.2885619,0.2477079,4.901673,12.93171,1978-03-03,Spring
22,0.004906942,0.0001952287,0.3116863,0.03345873,0.7709503,0.6071595,0.1100412,0.8923337,0.671779,0.003504541,0.04179173,0.3002972,0.04832407,1.503164,1.283537,0.3593138,3.574754,1.557883,0.2883385,0.2479991,4.904175,12.93757,1978-03-06,Spring
23,0.00493672,0.0001966239,0.3138062,0.03366916,0.7765777,0.6116747,0.1106515,0.897728,0.6730199,0.0035395,0.04208936,0.3022718,0.04822551,1.50275,1.282476,0.3594734,3.572358,1.556837,0.2881461,0.2482306,4.906104,12.94178,1978-03-09,Spring
24,0.004967526,0.0001980575,0.3159257,0.03387842,0.7819542,0.6160718,0.1112297,0.9027166,0.6739369,0.003574414,0.04235762,0.3041897,0.04813327,1.502304,1.281454,0.3596026,3.570274,1.555947,0.2879798,0.2484137,4.907568,12.94469,1978-03-12,Spring
25,0.004999298,0.000199526,0.3180407,0.03408619,0.7870877,0.6203467,0.1117768,0.9073247,0.6745705,0.003609202,0.04259844,0.3060496,0.04804698,1.501839,1.280479,0.3597059,3.568449,1.555186,0.287835,0.2485579,4.908658,12.94658,1978-03-15,Spring
26,0.005031974,0.0002010262,0.3201479,0.03429217,0.7919862,0.6244963,0.1122938,0.9115763,0.6749573,0.003643788,0.04281371,0.3078508,0.04796628,1.501367,1.279557,0.3597874,3.566839,1.55453,0.2877084,0.2486705,4.909447,12.94766,1978-03-18,Spring
27,0.005065495,0.0002025549,0.322244,0.0344961,0.796658,0.6285189,0.1127818,0.9154941,0.6751302,0.003678106,0.04300529,0.3095929,0.0478908,1.500895,1.278691,0.3598507,3.565411,1.553962,0.287597,0.2487578,4.909994,12.94813,1978-03-21,Spring
28,0.005099799,0.0002041089,0.3243263,0.03469775,0.8011112,0.6324131,0.1132418,0.9190999,0.675119,0.003712095,0.04317498,0.3112758,0.04782021,1.50043,1.277881,0.359899,3.564136,1.553467,0.2874984,0.2488246,4.91035,12.94811,1978-03-24,Spring
29,0.005134829,0.0002056853,0.3263921,0.03489693,0.805354,0.6361787,0.1136749,0.9224142,0.6749504,0.003745701,0.04332451,0.3128997,0.04775418,1.499975,1.277126,0.359935,3.56299,1.553032,0.2874106,0.2488749,4.910553,12.94774,1978-03-27,Spring
30,0.005170526,0.0002072809,0.3284391,0.03509346,0.8093945,0.6398158,0.1140822,0.9254563,0.6746479,0.003778875,0.04345553,0.3144651,0.0476924,1.499536,1.276425,0.3599609,3.561955,1.552647,0.2873318,0.248912,4.910637,12.94708,1978-03-30,Spring
31,0.00520683,0.000208893,0.3304654,0.0352872,0.8132406,0.6433252,0.1144647,0.9282446,0.6742328,0.003811575,0.04356959,0.3159728,0.04763455,1.499112,1.275775,0.3599788,3.561014,1.552304,0.2872608,0.2489384,4.910628,12.94623,1978-04-02,Spring
32,0.005243688,0.0002105188,0.3324693,0.03547802,0.8169003,0.6467079,0.1148234,0.9307964,0.6737236,0.003843765,0.04366818,0.3174235,0.04758037,1.498707,1.275174,0.3599901,3.560155,1.551997,0.2871964,0.2489564,4.910546,12.94523,1978-04-05,Spring
33,0.005281043,0.0002121557,0.334449,0.03566583,0.8203812,0.6499657,0.1151593,0.933128,0.6731371,0.003875411,0.04375266,0.3188183,0.0475296,1.49832,1.27462,0.3599961,3.559367,1.551719,0.2871376,0.2489675,4.910409,12.94413,1978-04-08,Spring
34,0.005318843,0.0002138009,0.3364033,0.03585054,0.823691,0.6531005,0.1154735,0.9352549,0.6724876,0.003906486,0.04382433,0.3201583,0.04748199,1.497953,1.274108,0.3599981,3.558642,1.551467,0.2870838,0.2489733,4.910231,12.94296,1978-04-11,Spring
35,0.005357035,0.0002154522,0.338331,0.03603208,0.8268368,0.6561145,0.1157669,0.9371914,0.6717879,0.003936966,0.04388438,0.3214446,0.04743731,1.497604,1.273637,0.3599967,3.557971,1.551237,0.2870342,0.2489748,4.910023,12.94176,1978-04-14,Spring
36,0.005395568,0.0002171072,0.340231,0.03621039,0.8298258,0.6590101,0.1160404,0.9389512,0.6710492,0.003966832,0.04393394,0.3226787,0.04739537,1.497275,1.273203,0.3599929,3.557349,1.551025,0.2869884,0.248973,4.909792,12.94054,1978-04-17,Spring
37,0.005434394,0.0002187636,0.3421025,0.03638544,0.832665,0.6617899,0.116295,0.940547,0.6702812,0.003996067,0.04397402,0.3238618,0.04735595,1.496964,1.272805,0.3599871,3.55677,1.55083,0.2869458,0.2489686,4.909547,12.93931,1978-04-20,Spring
38,0.005473466,0.0002204193,0.3439447,0.03655719,0.8353609,0.6644567,0.1165316,0.9419909,0.6694923,0.004024659,0.04400558,0.3249954,0.04731888,1.496671,1.272439,0.3599798,3.55623,1.550648,0.2869062,0.2489622,4.909293,12.9381,1978-04-23,Spring
39,0.005512736,0.0002220722,0.345757,0.03672563,0.8379202,0.6670135,0.1167511,0.943294,0.6686899,0.004052597,0.04402949,0.3260809,0.047284,1.496395,1.272102,0.3599714,3.555725,1.550479,0.2868693,0.2489543,4.909033,12.93691,1978-04-26,Spring
