timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,date,season
1,0.004600189,0.0001800057,0.2800618,0.03001567,0.6022997,0.5163199,0.09037387,0.642238,0.5026243,0.003000866,0.03027934,0.2611204,0.04395498,1.165677,0.871483,0.4738418,3.437086,1.629454,0.3823646,0.1311022,8.076797,10.30498,1978-01-02,Winter
2,0.004600496,0.0001800152,0.2802992,0.03005378,0.6073065,0.5132263,0.09113124,0.6501811,0.5096042,0.003004086,0.03067757,0.2625696,0.04807594,1.25004,0.9046861,0.4792404,3.68508,1.607833,0.3678248,0.1119422,8.205315,10.68626,1978-01-05,Winter
3,0.004601384,0.0001800515,0.2807355,0.03010671,0.6131974,0.5107859,0.09198291,0.6592491,0.518332,0.003010189,0.03119806,0.2643686,0.05087495,1.307152,0.9358473,0.4739754,3.630137,1.537175,0.3456345,0.1034736,8.320597,11.06396,1978-01-08,Winter
4,0.004603018,0.000180122,0.2813379,0.03016972,0.6191997,0.5089117,0.09281375,0.6678365,0.5272549,0.003018927,0.03179394,0.2664294,0.05226029,1.334876,0.9562906,0.4629031,3.508158,1.464942,0.3278103,0.1011191,8.409084,11.37401,1978-01-11,Winter
5,0.004605468,0.0001802286,0.2820646,0.03023983,0.6250212,0.5074832,0.0935864,0.6755413,0.5355766,0.003029854,0.0324183,0.2686543,0.05262307,1.343022,0.9665599,0.4506227,3.396906,1.406752,0.3158267,0.1022149,8.474298,11.60432,1978-01-14,Winter
6,0.004608759,0.0001803714,0.2828803,0.03031504,0.6305732,0.5063916,0.09429463,0.682382,0.542967,0.003042525,0.03303751,0.270966,0.05238719,1.340919,0.969571,0.439758,3.313615,1.364474,0.3083516,0.1050568,8.523086,11.76328,1978-01-17,Winter
7,0.004612888,0.0001805493,0.2837585,0.03039396,0.6358469,0.5055507,0.09494313,0.6884909,0.5493522,0.003056569,0.03363112,0.2733113,0.051866,1.33463,0.968129,0.4313068,3.25622,1.335441,0.3038477,0.1085193,8.561253,11.86553,1978-01-20,Winter
8,0.004617837,0.0001807607,0.2846805,0.03047558,0.6408615,0.5048964,0.09553942,0.6940075,0.5547832,0.003071689,0.03418837,0.2756559,0.05125323,1.327409,0.9643006,0.425319,3.218331,1.316192,0.3011687,0.1118951,8.592752,11.92586,1978-01-23,Winter
9,0.00462358,0.0001810038,0.2856338,0.03055915,0.6456433,0.504383,0.09609087,0.6990477,0.5593612,0.003087651,0.03470476,0.2779788,0.05065312,1.320724,0.9594305,0.4214108,3.193904,1.303719,0.2995666,0.114799,8.619986,11.95694,1978-01-26,Winter
10,0.004630089,0.0001812767,0.2866095,0.03064408,0.6502175,0.5039783,0.09660368,0.7036994,0.5631987,0.003104275,0.03517951,0.2802675,0.05011294,1.315067,0.9543205,0.4190702,3.178308,1.295743,0.2985815,0.1170812,8.644294,11.9687,1978-01-29,Winter
11,0.004637331,0.0001815778,0.2876016,0.03072992,0.6546053,0.50366,0.09708278,0.7080266,0.5664014,0.003121418,0.03561392,0.2825152,0.04964745,1.310465,0.9494067,0.4178126,3.168289,1.290654,0.2979409,0.1187433,8.666378,11.96843,1978-02-01,Winter
12,0.004645274,0.0001819051,0.2886055,0.03081631,0.6588238,0.5034121,0.09753196,0.7120752,0.5690607,0.003138965,0.03601029,0.2847181,0.04925482,1.306761,0.9448959,0.4172443,3.161679,1.287364,0.2974884,0.1198678,8.686584,11.96121,1978-02-04,Winter
