timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,date,season,year,month,day_of_year,biweekly,multiplier,Total_Biomass_C,Total_Biomass_N,N_Free,N_Free_Adjusted
1,0.004600194,0.0001800061,0.2800643,0.03001653,0.6024262,0.5163264,0.09039482,0.6425254,0.5028238,0.003000895,0.03028242,0.2611264,0.04408282,1.169068,0.8733916,0.4747723,3.57769,1.672195,0.3970689,0.1310919,8.081207,10.31503,1978-01-02,Winter,1978,1,2,1,1.01,11.3031278851,5.880959685633096,17.19596339128998,17.367923025202877
2,0.004600568,0.0001800197,0.2803296,0.0300623,0.6085075,0.5133026,0.09132927,0.6528916,0.511488,0.003004454,0.03070873,0.2626354,0.04925653,1.28187,0.9223545,0.4880437,4.109527,1.746329,0.4102023,0.1120102,8.246701,10.77955,1978-01-05,Winter,1978,1,5,1,1.01,12.108633271699999,6.300060022576066,16.77686305434701,16.94463168489048
3,0.004601739,0.0001800735,0.2808714,0.03013468,0.6167827,0.5111246,0.09256906,0.6670503,0.524287,0.003011871,0.03132954,0.2646537,0.05403842,1.389664,0.9838455,0.4958906,4.296897,1.764719,0.4101213,0.1039758,8.43365,11.32625,1978-01-08,Winter,1978,1,8,1,1.01,12.5257482835,6.517082831979278,16.5598402449438,16.725438647393236
4,0.004604069,0.0001801854,0.2817041,0.03023146,0.6264198,0.5098191,0.09398346,0.6829854,0.5398111,0.003023552,0.03213106,0.2671776,0.05784765,1.47664,1.04316,0.4992651,4.335485,1.756577,0.4060693,0.1027267,8.616714,11.86615,1978-01-11,Winter,1978,1,11,1,1.01,12.7498416364,6.6336774584950495,16.443245618428026,16.607678074612306
5,0.004607828,0.0001803682,0.2828164,0.03035078,0.6369268,0.5093347,0.09549784,0.6996862,0.5569639,0.003039528,0.03307711,0.2701507,0.06061396,1.541921,1.094577,0.5003079,4.316709,1.738539,0.4015695,0.1057587,8.787621,12.35516,1978-01-14,Winter,1978,1,14,1,1.01,12.882628214200002,6.702765636455455,16.37415744046762,16.537899014872295
6,0.004613229,0.0001806311,0.2841865,0.03049095,0.6479978,0.5095893,0.09706783,0.716635,0.574926,0.003059644,0.03412793,0.273502,0.06249033,1.589651,1.136753,0.5007682,4.280481,1.71873,0.397668,0.1113303,8.94508,12.77558,1978-01-17,Winter,1978,1,17,2,1.01,12.974248644100001,6.750435278000654,16.32648779892242,16.489752676911646
7,0.004620432,0.0001809807,0.2857908,0.03065035,0.6594303,0.5104931,0.09866542,0.7335529,0.5930985,0.003083661,0.03524745,0.2771623,0.06368589,1.624517,1.170262,0.5016339,4.242732,1.700507,0.3944998,0.1181149,9.090082,13.12477,1978-01-20,Winter,1978,1,20,2,1.01,13.0479286837,6.788770626138636,16.28815245078444,16.451033975292287
8,0.004629559,0.0001814213,0.2876066,0.03082747,0.6710817,0.5119609,0.1002717,0.7502772,0.6110474,0.003111313,0.03640549,0.2810704,0.06439096,1.650274,1.196351,0.5032516,4.208928,1.684899,0.391942,0.1251221,9.223978,13.40809,1978-01-23,Winter,1978,1,23,2,1.01,13.1136298133,6.822954588171613,16.253968488751465,16.41650817363898
9,0.004640699,0.0001819561,0.2896133,0.03102081,0.6828461,0.5139162,0.1018731,0.7667036,0.6284603,0.003142325,0.03757766,0.2851743,0.06475434,1.669576,1.21637,0.5055705,4.180308,1.671939,0.3898452,0.1316921,9.34786,13.63445,1978-01-26,Winter,1978,1,26,2,1.01,13.175205490100002,6.854992098191628,16.22193097873145,16.384150288518764
10,0.004653915,0.0001825865,0.2917922,0.03122897,0.6946419,0.5162919,0.1034593,0.7827598,0.6451139,0.003176424,0.03874471,0.2894301,0.06488405,1.684217,1.231545,0.5083598,4.156577,1.661307,0.3880946,0.1374667,9.462505,13.81363,1978-01-29,Winter,1978,1,29,3,1.01,13.233926855500002,6.885544524574237,16.19137855234884,16.35329233787233
11,0.004669248,0.0001833133,0.2941266,0.03145054,0.7064044,0.51903,0.1050225,0.7983928,0.6608521,0.003213346,0.03989166,0.2938009,0.06485583,1.695407,1.24291,0.5113548,4.137004,1.652612,0.3866136,0.1423214,9.568478,13.95477,1978-02-01,Winter,1978,2,32,3,1.01,13.2901160373,6.914779468767878,16.162143608155198,16.32376504423675
12,0.004686721,0.0001841362,0.296601,0.03168421,0.7180815,0.5220807,0.1065564,0.8135626,0.6755705,0.003252835,0.04100705,0.2982555,0.0647221,1.703988,1.251308,0.5143334,4.120827,1.645494,0.3853513,0.1462826,9.66624,14.06579,1978-02-04,Winter,1978,2,35,3,1.01,13.343829552199999,6.942726336122796,16.13419674080028,16.295538708208284
13,0.004704646,0.0001849529,0.2991526,0.03192564,0.6961544,0.5158699,0.1047588,0.8074605,0.694334,0.00327963,0.04256088,0.3032391,0.06112022,1.619817,1.162835,0.4317273,1.980292,1.074903,0.2304108,0.09808618,9.609985,14.11302,1978-02-07,Winter,1978,2,38,3,1.1,10.162816548899999,5.28766152379395,17.789261553129126,19.56818770844204
14,0.004721189,0.0001856496,0.3015243,0.03212021,0.674184,0.5096463,0.1024348,0.7917601,0.7016807,0.003305496,0.04369194,0.3077557,0.05359147,1.433812,1.021611,0.3980081,1.13154,0.9148574,0.2261889,0.0618567,9.349241,13.78043,1978-02-10,Winter,1978,2,41,3,1.1,8.714475954600001,4.534097312831402,18.542825764091674,20.397108340500843
15,0.004736163,0.000186216,0.3035769,0.03227323,0.6526831,0.5034488,0.09995358,0.7718858,0.7006459,0.003329257,0.04432717,0.3116252,0.04617676,1.266089,0.883391,0.3698155,0.8019508,0.8690806,0.2474367,0.04136685,9.037964,13.3309,1978-02-13,Winter,1978,2,44,4,1.1,7.953978525999999,4.138414386469052,18.938508690454025,20.83235955949943
16,0.004749367,0.0001866441,0.3052601,0.03238766,0.631409,0.4967778,0.09720461,0.749382,0.6931953,0.003348154,0.04454459,0.3147647,0.03910133,1.113956,0.7561208,0.2930946,0.4940489,0.6733617,0.1816146,0.03394466,8.734449,12.82006,1978-02-16,Winter,1978,2,47,4,1.1,6.9584525151,3.6204472896073296,19.456475787315746,21.402123366047324
17,0.004760591,0.000186926,0.3065265,0.03245822,0.6107244,0.4900109,0.09439719,0.7253438,0.6796777,0.003362964,0.0443526,0.3171836,0.03256514,0.9777948,0.6432126,0.2420665,0.3751633,0.6120369,0.17191,0.02863695,8.42785,12.25433,1978-02-19,Winter,1978,2,50,4,1.2,6.392371581,3.325918271968229,19.751004804954846,23.701205765945815
18,0.00476971,0.000187062,0.3073729,0.03248928,0.5908992,0.4833049,0.09171887,0.7014608,0.6625194,0.003374494,0.04381637,0.3189328,0.02780516,0.8892518,0.5538906,0.2446309,0.538178,0.7863535,0.2561319,0.02213575,8.145466,11.7369,1978-02-22,Winter,1978,2,53,4,1.2,6.559223395999999,3.412730418788509,19.664192658134567,23.59703118976148
19,0.004776647,0.0001870558,0.30784,0.03248454,0.5717906,0.4764939,0.08910388,0.6778629,0.6433378,0.003381728,0.04305408,0.320124,0.02412195,0.820908,0.4807175,0.2055627,0.4349089,0.6919379,0.2072788,0.02072124,7.911664,11.2737,1978-02-25,Winter,1978,2,56,4,1.2,6.0565941208,3.1512149750707787,19.925708101852297,23.910849722222757
