Season,Group,ModelMean,ObsMean,Bias
Winter,Diatoms,1.1085265864516127,0.7,0.40852658645161277
Winter,Nano,1.0602411303225807,1.51,-0.4497588696774193
Winter,Other,0.09212469406451614,0.11,-0.017875305935483865
Spring,Diatoms,2.604214290082645,6.0,-3.395785709917355
Spring,Nano,1.4387744214876033,1.74,-0.30122557851239673
Spring,Other,0.3868080537190083,0.19,0.19680805371900828
Summer,Diatoms,1.1620219073170732,1.24,-0.07797809268292677
Summer,Nano,1.844744255284553,1.69,0.15474425528455305
Summer,Other,0.46972078211382107,0.55,-0.08027921788617898
Overall,Diatoms,1.7894845927083334,2.646666666666667,-0.8571820739583336
Overall,Nano,1.4427045579166666,1.6466666666666665,-0.20396210874999987
Overall,Other,0.319666871,0.2833333333333334,0.03633353766666664
