timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,date,season,year,month,day_of_year,biweekly,multiplier,Total_Biomass_C,Total_Biomass_N,N_Free,N_Free_Adjusted
1,0.004600298,0.0001800125,0.2801002,0.0300355,0.6053447,0.516423,0.09081144,0.6493817,0.5065756,0.003001348,0.03032109,0.2612047,0.0458911,1.226974,0.9153004,0.4805386,4.969698,1.766583,0.3950431,0.1314103,8.172534,10.50261,1978-01-02,Fall,1978,1,2,1,1.01,12.909418088500002,6.7167042711717055,16.360218805751373,16.523820993808886
2,0.004601344,0.0001800668,0.2805796,0.03013409,0.6183679,0.5139676,0.09272347,0.6751327,0.5251734,0.003007657,0.03096727,0.2631683,0.05469372,1.446907,1.050196,0.5022091,6.033862,1.86927,0.4023281,0.1142532,8.523801,11.37211,1978-01-05,Fall,1978,1,5,1,1.01,14.5117225178,7.550375078811273,15.526547998111804,15.681813478092922
3,0.004604194,0.0001802188,0.2815966,0.03028884,0.6358925,0.5130336,0.09524448,0.7086449,0.5523238,0.003021359,0.03204,0.2661534,0.06312093,1.654928,1.20545,0.5161366,6.357279,1.881535,0.3959271,0.1104302,8.918201,12.3862,1978-01-08,Fall,1978,1,8,1,1.01,15.307830721799998,7.964586109662078,15.112336967260998,15.263460336933608
4,0.004609536,0.0001805028,0.2831874,0.03049483,0.6561399,0.5136848,0.09810545,0.7456539,0.5851302,0.003043357,0.03350662,0.2701513,0.06977695,1.816821,1.347891,0.523635,6.378107,1.855352,0.3868293,0.1155445,9.301611,13.37053,1978-01-11,Fall,1978,1,11,1,1.01,15.7178445458,8.17791420733625,14.899008869586826,15.047998958282694
5,0.004617895,0.0001809426,0.2853323,0.03074825,0.6780834,0.5158274,0.101157,0.7840541,0.6212696,0.003073776,0.0352865,0.2750433,0.07444804,1.932709,1.465235,0.5282919,6.297061,1.818378,0.3786944,0.1264313,9.657369,14.24164,1978-01-14,Fall,1978,1,14,1,1.01,15.9559231036,8.301785264504518,14.775137812418558,14.922889190542744
6,0.004629676,0.0001815551,0.287991,0.03104585,0.7010976,0.5193077,0.1043119,0.8227812,0.6589479,0.003112366,0.03729174,0.280683,0.07744259,2.013364,1.556242,0.5327712,6.195441,1.782461,0.3721818,0.1403239,9.983418,14.97114,1978-01-17,Fall,1978,1,17,2,1.01,16.1216089771,8.387990777919692,14.688932299003385,14.83582162199342
7,0.004645187,0.0001823525,0.2911192,0.03138458,0.7247729,0.5239618,0.1075155,0.8612577,0.6968166,0.003158715,0.03944304,0.2869322,0.07919133,2.069617,1.624256,0.5382426,6.101474,1.7515,0.3670548,0.1548512,10.28189,15.56125,1978-01-20,Fall,1978,1,20,2,1.01,16.2573767045,8.458630032784882,14.618293044138195,14.764475974579577
8,0.004664664,0.000183343,0.2946746,0.03176149,0.748821,0.529636,0.1107301,0.8991348,0.733882,0.003212347,0.04167409,0.2936714,0.08007663,2.109476,1.673804,0.5447825,6.022275,1.726032,0.3629532,0.1683313,10.55528,16.02874,1978-01-23,Fall,1978,1,23,2,1.01,16.379776464,8.522314002254923,14.554609074668154,14.700155165414834
9,0.004688281,0.000184532,0.2986188,0.03217364,0.7730266,0.5361946,0.1139286,0.9361781,0.7694265,0.003272768,0.04393139,0.3008001,0.08038782,2.138244,1.709169,0.5519404,5.957573,1.705428,0.3595987,0.179889,10.80559,16.39486,1978-01-26,Fall,1978,1,26,2,1.01,16.494653831,8.582084109342649,14.494838967580428,14.639787357256232
10,0.004716165,0.0001859227,0.3029168,0.03261812,0.7972229,0.5435194,0.1170901,0.972217,0.8029482,0.003339478,0.04617276,0.3082345,0.08032814,2.159318,1.733914,0.5591615,5.905054,1.688809,0.3568081,0.1893021,11.03437,16.68012,1978-01-29,Fall,1978,1,29,3,1.01,16.6038761857,8.638911942424794,14.438011134498282,14.582391245843265
11,0.004748405,0.0001875162,0.3075361,0.03309202,0.8212764,0.5515073,0.1201982,1.007123,0.8341141,0.003411973,0.04836556,0.3159035,0.08003525,2.174901,1.750835,0.566004,5.862242,1.67536,0.3544631,0.1967353,11.24301,16.90206,1978-02-01,Fall,1978,2,32,3,1.01,16.7080397242,8.693107699285948,14.383815377637129,14.5276535314135
12,0.004785054,0.0001893123,0.3124464,0.03359247,0.8450797,0.5600678,0.1232401,1.040799,0.8627248,0.003489752,0.05048506,0.3237466,0.07960103,2.18647,1.762062,0.5722008,5.827036,1.66441,0.3524822,0.2025126,11.43281,17.07486,1978-02-04,Fall,1978,2,35,3,1.01,16.807420678299998,8.744815101920247,14.33210797500283,14.475429054752858
13,0.004823751,0.0001911701,0.3175513,0.03409886,0.820286,0.5563976,0.1218645,1.041829,0.8952232,0.003554164,0.05310169,0.3320594,0.07499649,2.065907,1.63695,0.480463,2.645756,1.152917,0.2069419,0.140852,11.38185,17.11085,1978-02-07,Fall,1978,2,38,3,1.1,12.585764025100001,6.548308715685171,16.528614361237906,18.1814757973617
14,0.004861873,0.0001929282,0.3224764,0.03454208,0.7949702,0.5526231,0.1196562,1.026179,0.9096683,0.003618132,0.05506238,0.3397399,0.06570505,1.82078,1.426942,0.4472943,1.4049,1.136123,0.2060458,0.09342983,11.04632,16.6194,1978-02-10,Fall,1978,2,41,3,1.1,10.7648104732,5.600875886737793,17.476047190185284,19.223651909203813
15,0.004899091,0.0001945666,0.3270201,0.03492963,0.7700204,0.5487739,0.1171634,1.00316,0.9111845,0.003679616,0.05627474,0.3465329,0.0569783,1.610211,1.224069,0.4208691,0.9375235,1.186164,0.2274606,0.06607011,10.63896,15.98339,1978-02-13,Fall,1978,2,44,4,1.1,9.8531784536,5.12655840489569,17.950364672027387,19.74540113923013
16,0.004935069,0.000196069,0.3311029,0.03526428,0.7450859,0.5441619,0.1142572,0.9757075,0.9030774,0.003734899,0.05686114,0.3523256,0.04861466,1.421281,1.041003,0.3346654,0.5480502,0.9332404,0.1642013,0.05703257,10.23807,15.28071,1978-02-16,Fall,1978,2,47,4,1.1,8.614798387000002,4.482235583708589,18.594687493214487,20.454156242535937
17,0.004969455,0.0001974198,0.3346436,0.03553933,0.7207807,0.5392905,0.1112219,0.9456915,0.8860115,0.003784504,0.0568433,0.357118,0.04082229,1.253579,0.8817317,0.2784789,0.4224176,0.8726642,0.1557485,0.05022717,9.836232,14.51943,1978-02-19,Fall,1978,2,50,4,1.2,7.951761068800001,4.137260654817922,18.939662422105155,22.727594906526186
18,0.005002012,0.0001986145,0.3376293,0.0357599,0.6975321,0.5343741,0.1083242,0.9156603,0.8637033,0.003829165,0.05632551,0.3609805,0.03547912,1.1513,0.7591141,0.2870271,0.6344589,1.16161,0.236754,0.04015694,9.46805,13.83718,1978-02-22,Fall,1978,2,53,4,1.2,8.225219161499998,4.279539503224013,18.797383573699065,22.556860288438877
19,0.005032572,0.000199654,0.3401118,0.0359302,0.6751243,0.5291926,0.1054779,0.8858556,0.838564,0.00386761,0.05548334,0.3640705,0.03140241,1.072444,0.6604728,0.2420391,0.5194695,1.005153,0.1879804,0.03884101,9.160957,13.2351,1978-02-25,Fall,1978,2,56,4,1.2,7.596712296,3.952530592440871,19.124392484482208,22.94927098137865
20,0.00506099,0.0002005388,0.3420825,0.03604529,0.6540032,0.5241873,0.1027672,0.8560587,0.8092808,0.003901575,0.05433138,0.3663825,0.02758278,0.9916643,0.5769248,0.2068983,0.5673952,0.9506577,0.1743148,0.03991888,8.873677,12.63661,1978-02-28,Fall,1978,2,59,5,1.2,7.2896587338000005,3.7927721929089477,19.284150884014128,23.14098106081695
21,0.00508715,0.000201272,0.3435506,0.03611185,0.6340009,0.5191123,0.100201,0.8275337,0.7784809,0.00392951,0.0529545,0.3679658,0.02479183,0.9358261,0.5125754,0.1982176,0.7918049,1.039663,0.1957853,0.03978536,8.624269,12.10406,1978-03-03,Spring,1978,3,62,5,1.1,7.407578971999999,3.854125490334575,19.222797586588502,21.145077345247355
22,0.005110962,0.000201858,0.3445791,0.03614399,0.6151373,0.5137684,0.09789537,0.8024159,0.7499436,0.003950877,0.05147903,0.368976,0.02390747,0.9356407,0.4733579,0.231946,1.334388,1.352937,0.2901732,0.03550038,8.441985,11.73822,1978-03-06,Spring,1978,3,65,5,1.1,8.267453037,4.301513572853976,18.775409504069103,20.652950454476013
23,0.00513241,0.0002023051,0.3452812,0.03615321,0.5971718,0.5081465,0.09584312,0.7808825,0.7258475,0.003966078,0.05004423,0.3696674,0.02471721,0.977729,0.4541786,0.2745762,1.610927,1.536144,0.3285867,0.03006556,8.326574,11.55339,1978-03-09,Spring,1978,3,68,5,1.1,8.7552625231,4.555318356024234,18.521604720898843,20.373765192988728
24,0.005151499,0.0002026202,0.3457341,0.03613841,0.5798271,0.50237,0.09388402,0.7606,0.7045648,0.00397623,0.04869891,0.370175,0.02571146,1.007276,0.4393876,0.2865814,1.4882,1.475741,0.2806637,0.02623717,8.227364,11.42729,1978-03-12,Spring,1978,3,71,6,1.1,8.4811210192,4.41268393226265,18.664239144660428,20.53066305912647
25,0.005168268,0.00020281,0.3459587,0.03609921,0.5638049,0.4968476,0.09214172,0.741843,0.6846498,0.003983533,0.04739652,0.3704861,0.02684241,1.029094,0.4303059,0.3085035,1.738492,1.557709,0.2850307,0.02248598,8.134313,11.34,1978-03-15,Spring,1978,3,74,6,1.1,8.787045651000001,4.571854955075689,18.505068121847387,20.355574934032127
26,0.005182784,0.0002028829,0.3459842,0.03603839,0.5482411,0.4912321,0.09041695,0.7236161,0.6661661,0.003986674,0.04617578,0.3706561,0.02740077,1.028489,0.4201681,0.284689,1.486551,1.366094,0.2338241,0.0213991,8.048384,11.25212,1978-03-18,Spring,1978,3,77,6,1.1,8.1965142309,4.264604474499794,18.812318602423282,20.693550462665613
27,0.005195049,0.0002028419,0.3458022,0.03595779,0.5335826,0.4857136,0.08882995,0.706858,0.6488227,0.003986566,0.04498919,0.3706335,0.0280549,1.034805,0.4148968,0.3040198,1.887503,1.531784,0.273536,0.01846226,7.967412,11.19295,1978-03-21,Spring,1978,3,80,6,1.1,8.7636357469,4.559674901584644,18.517248175338434,20.36897299287228
28,0.005205189,0.0002026994,0.3454789,0.0358704,0.520233,0.4803511,0.08755891,0.6937526,0.6350353,0.003984086,0.04389577,0.3705631,0.02997541,1.080167,0.4246594,0.3330407,2.304831,1.660101,0.3237869,0.01589838,7.942522,11.26443,1978-03-24,Spring,1978,3,83,6,1.1,9.3945908444,4.8879576149682205,18.188965461954858,20.007862008150344
29,0.005213367,0.0002024685,0.3450867,0.03577886,0.5075724,0.4750766,0.08644807,0.6826674,0.6245182,0.003979494,0.04295316,0.3705796,0.03219323,1.12743,0.4401526,0.3480642,2.296849,1.647089,0.2984456,0.01392934,7.939522,11.39532,1978-03-27,Spring,1978,3,86,7,1.1,9.384229289500002,4.882566550895798,18.194356526027278,20.013792178630005
30,0.005219731,0.0002021595,0.344656,0.03568437,0.4959974,0.4700937,0.08554799,0.6735866,0.616553,0.003973569,0.0421404,0.3706965,0.03460829,1.176075,0.461811,0.3695017,2.60048,1.712939,0.3233309,0.01217272,7.949564,11.56984,1978-03-30,Spring,1978,3,89,7,1.1,9.8352700295,5.117240743339003,17.959682333584073,19.75565056694248
31,0.005224541,0.0002017897,0.3442387,0.0355937,0.4863127,0.4656762,0.0850084,0.6679668,0.6116868,0.003966965,0.04146596,0.3709894,0.03759712,1.240099,0.4962885,0.3898637,2.975644,1.75476,0.3427228,0.01119899,7.995866,11.82967,1978-04-02,Fall,1978,4,92,7,1.1,10.366506065700001,5.393640138639667,17.68328293828341,19.451611232111752
32,0.005228226,0.0002013861,0.3439064,0.03551692,0.4803158,0.4622499,0.08507501,0.6683613,0.6108663,0.003960792,0.04095059,0.3715509,0.04167921,1.334383,0.5563145,0.4104708,3.775496,1.835622,0.3675562,0.01150114,8.104971,12.22834,1978-04-05,Fall,1978,4,95,7,1.2,11.4412063741,5.952801217952001,17.124121858971076,20.548946230765292
33,0.005231304,0.00020098,0.343762,0.03546768,0.4765998,0.4594539,0.08561213,0.674517,0.6159483,0.003956593,0.04069982,0.37257,0.04657604,1.450923,0.6399653,0.4298244,4.24836,1.864577,0.3750293,0.01242442,8.271918,12.76275,1978-04-08,Fall,1978,4,98,7,1.2,12.181698966999999,6.338075730513732,16.738847346409344,20.08661681569121
34,0.005234226,0.0002005963,0.3438781,0.03544755,0.4749713,0.4574285,0.08652864,0.6848915,0.6260908,0.00395559,0.0407343,0.3741477,0.05149215,1.564312,0.7379096,0.4442513,4.55049,1.864153,0.3754214,0.01422625,8.463895,13.36442,1978-04-11,Fall,1978,4,101,8,1.2,12.7357645023,6.626353197549504,16.450569879373575,19.74068385524829
35,0.005237572,0.0002002656,0.3443091,0.03546426,0.47833,0.4568352,0.08803512,0.7015353,0.6409935,0.003958776,0.04102458,0.3761938,0.05659087,1.682083,0.8574823,0.455438,5.178315,1.874195,0.3805516,0.01900371,8.692163,14.03933,1978-04-14,Fall,1978,4,104,8,1.2,13.6757769536,7.115436872996173,15.961486203926903,19.153783444712282
36,0.005241998,0.0002000219,0.3451241,0.03552411,0.4844828,0.457228,0.08998095,0.7235835,0.661568,0.003967328,0.04163295,0.3789585,0.0616013,1.802187,0.9912782,0.4652492,5.508492,1.862571,0.3802012,0.02681587,8.954203,14.76561,1978-04-17,Fall,1978,4,107,8,1.2,14.325888027899998,7.453686343231915,15.623236733691162,18.747884080429394
37,0.005247906,0.0001998824,0.3463108,0.03560552,0.4903939,0.4583591,0.09177086,0.7425246,0.6821765,0.003981407,0.04250177,0.3823908,0.06321,1.823984,1.077376,0.4208786,4.334295,1.545957,0.2826504,0.04175195,9.137869,15.2414,1978-04-20,Fall,1978,4,110,8,1.1,12.8715659954,6.697010020535879,16.379913056387196,18.017904362025916
38,0.00525541,0.000199845,0.3477193,0.03570514,0.4981042,0.4603424,0.0935633,0.7611116,0.7011324,0.003999315,0.0434093,0.3859953,0.06360018,1.829151,1.143242,0.4240325,4.907576,1.589393,0.3190389,0.06008,9.283613,15.52779,1978-04-23,Fall,1978,4,113,9,1.0,13.672651089999999,7.113810502136596,15.96311257478648,15.96311257478648
39,0.005265036,0.000199935,0.3493872,0.03584455,0.5130386,0.4641306,0.0958783,0.787463,0.72242,0.004021449,0.04435847,0.3896415,0.06562354,1.888514,1.239298,0.4393632,5.583314,1.640724,0.342171,0.09030616,9.510397,15.83907,1978-04-26,Fall,1978,4,116,9,1.0,14.70096254,7.6488356954458565,15.42808738147722,15.42808738147722
40,0.005277443,0.000200184,0.3513846,0.03602351,0.5320357,0.4691442,0.09846024,0.8181382,0.7462509,0.004048695,0.04545064,0.3936101,0.06795454,1.952589,1.338243,0.4589434,5.622544,1.603746,0.3342698,0.1236873,9.77443,16.10238,1978-04-29,Fall,1978,4,119,9,0.9,15.002001452,7.805464703210391,15.271458373712687,13.744312536341418
41,0.005292994,0.0002006062,0.3537078,0.03623572,0.5525529,0.4749413,0.1011139,0.8496143,0.7708638,0.004081088,0.04666805,0.3979304,0.06962932,1.997136,1.419621,0.4779238,5.607191,1.577764,0.3301768,0.1507976,10.03315,16.27878,1978-05-02,Fall,1978,5,122,9,0.9,15.223442378200003,7.920679285666648,15.15624379125643,13.640619412130787
42,0.005311952,0.0002012102,0.3563335,0.03647842,0.5755221,0.4818892,0.1037875,0.8817558,0.7948885,0.004118381,0.04793515,0.402415,0.07074555,2.024907,1.484561,0.4957547,5.5564,1.571966,0.3311674,0.1735146,10.27837,16.37827,1978-05-05,Fall,1978,5,125,9,0.9,15.3996529632,8.012360752699578,15.064562324223498,13.558106091801148
43,0.005334564,0.0002020035,0.3592329,0.03674931,0.6002347,0.489903,0.1064383,0.9137281,0.8174887,0.004160191,0.04917565,0.4069845,0.07128079,2.040021,1.533566,0.5124276,5.465991,1.577282,0.3345488,0.1912086,10.50374,16.41687,1978-05-08,Fall,1978,5,128,10,0.9,15.515957708499998,8.072873517423648,15.004049559499428,13.503644603549485
44,0.005360997,0.0002029907,0.3623846,0.03704955,0.6263167,0.4987276,0.1091397,0.946482,0.8392805,0.00420618,0.05038493,0.4116281,0.0719889,2.06531,1.579599,0.5316283,5.662433,1.657407,0.357612,0.2033031,10.72829,16.46617,1978-05-11,Fall,1978,5,131,10,1.0,16.0204451477,8.335355754376346,14.74156732254673,14.74156732254673
45,0.005391468,0.0002041805,0.3657942,0.03737971,0.6541969,0.508973,0.1118708,0.9801437,0.8601006,0.004256313,0.05149789,0.4162429,0.07251424,2.090662,1.621901,0.5517321,5.556939,1.715757,0.372065,0.2161228,10.94512,16.50721,1978-05-14,Fall,1978,5,134,10,1.0,16.1937448015,8.425522678779235,14.651400398143842,14.651400398143842
46,0.00542611,0.0002055768,0.3694518,0.0377375,0.6824737,0.5197936,0.1146387,1.013673,0.8803093,0.004310375,0.05261334,0.4209675,0.07342023,2.123176,1.660477,0.5734621,5.69725,1.810828,0.3953967,0.2231136,11.15661,16.57623,1978-05-17,Fall,1978,5,137,10,1.1,16.6587241318,8.66744904853673,14.409474028386347,15.850421431224984
