Season,Group,ModelMean,ObsMean,Bias
Winter,Diatoms,1.2463294714285715,0.7,0.5463294714285716
Winter,Nano,0.7580841657142857,1.51,-0.7519158342857143
Winter,Other,0.074556492,0.11,-0.035443508
Spring,Diatoms,2.7801213999999996,6.0,-3.2198786000000004
Spring,Nano,1.72628525,1.74,-0.013714749999999887
Spring,Other,0.304849188,0.19,0.11484918799999999
Summer,Diatoms,1.6037278499999998,1.24,0.36372784999999985
Summer,Nano,1.867043825,1.69,0.17704382500000015
Summer,Other,0.519782305,0.55,-0.030217695000000044
Overall,Diatoms,2.7099498314583332,2.646666666666667,0.06328316479166629
Overall,Nano,1.5317057872916666,1.6466666666666665,-0.11496087937499988
Overall,Other,0.36427518505,0.2833333333333334,0.08094185171666662
