timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,date,season,year,month,day_of_year,biweekly,multiplier,Total_Biomass_C,Total_Biomass_N,N_Free,N_Free_Adjusted
1,0.004600318,0.0001800144,0.2801172,0.05014983,0.607191,0.8434772,0.1819439,0.8145604,1.014809,0.003001596,0.0305425,0.3985465,0.05886458,1.230637,0.9113396,0.494165,4.320012,2.111122,0.4750118,0.1349617,8.135169,10.45286,1978-01-02,Fall,1978,1,2,1,1.01,24.418093138399996,15.381029360920424,15.127445215350766,15.278719667504275
2,0.004601336,0.0001800733,0.2806371,0.05039028,0.6204484,0.8390014,0.186321,0.8473584,1.050628,0.003008397,0.03140052,0.3980638,0.07145973,1.443132,1.022032,0.5381835,5.049205,2.36973,0.5044695,0.119421,8.40704,11.2039,1978-01-05,Fall,1978,1,5,1,1.01,26.633571436300002,16.776565718134712,13.731908858136478,13.869227946717842
3,0.004604065,0.0001802331,0.2816944,0.05071368,0.6371152,0.8371661,0.19195,0.8878463,1.100665,0.00302252,0.03265869,0.3987943,0.08307545,1.632258,1.142055,0.571021,5.212541,2.439354,0.4992807,0.1158809,8.710454,12.06538,1978-01-08,Fall,1978,1,8,1,1.01,28.1872565381,17.755236576377506,12.753237999893685,12.880770379892622
4,0.004609126,0.0001805256,0.2832991,0.05111238,0.655659,0.8379771,0.1981751,0.9308746,1.159023,0.003044559,0.03427759,0.4006687,0.09187882,1.768982,1.245688,0.5906911,5.159167,2.423238,0.48521,0.120082,9.004847,12.88619,1978-01-11,Fall,1978,1,11,1,1.01,29.3300277006,18.475071524323706,12.033403051947484,12.153737082466959
5,0.004616956,0.0001809706,0.2854084,0.05157913,0.6751692,0.8411839,0.2046304,0.9739544,1.221119,0.003074377,0.03617647,0.4035088,0.09773321,1.85774,1.325395,0.6012434,5.041786,2.376004,0.4711695,0.1288801,9.277752,13.59779,1978-01-14,Fall,1978,1,14,1,1.01,30.1983432136,19.0220260438391,11.486448532432089,11.601313017756409
6,0.004627865,0.0001815804,0.2879639,0.05210705,0.6950856,0.8464538,0.2111077,1.015885,1.283661,0.003111526,0.03827018,0.4071227,0.1011901,1.911767,1.382221,0.6068804,4.919596,2.322756,0.459409,0.1397466,9.527266,14.18006,1978-01-17,Fall,1978,1,17,2,1.01,30.8692040014,19.444603245742513,11.063871330528677,11.174510043833964
7,0.004642062,0.0001823619,0.2909079,0.05268966,0.7150502,0.8534553,0.2174855,1.056085,1.344424,0.003155451,0.04048274,0.4113418,0.1029253,1.94315,1.420275,0.6103305,4.8118,2.273479,0.4500141,0.1507834,9.754569,14.6385,1978-01-20,Fall,1978,1,20,2,1.01,31.3911592749,19.773384422113963,10.735090154157227,10.8424410556988
8,0.004659683,0.000183318,0.2941888,0.05332087,0.7348267,0.8618903,0.2236913,1.094273,1.401984,0.003205579,0.04275087,0.4160283,0.1035144,1.960497,1.4441,0.6129556,4.722128,2.231225,0.4425515,0.1608039,9.961314,14.98985,1978-01-23,Fall,1978,1,23,2,1.01,31.79862812,20.030050257346094,10.478424318925097,10.583208562114347
9,0.004680805,0.000184449,0.2977621,0.05399495,0.7542546,0.8715028,0.2296816,1.130322,1.45549,0.003261356,0.04502364,0.4210731,0.1033821,1.969327,1.457653,0.6152728,4.649068,2.196174,0.4365731,0.1692626,10.14898,15.25382,1978-01-26,Fall,1978,1,26,2,1.01,32.117764,20.231074895616633,10.277399680654558,10.380173677461103
10,0.004705466,0.0001857533,0.3015893,0.05470655,0.7732238,0.8820764,0.2354306,1.164191,1.504493,0.003322249,0.04726105,0.42639,0.1028187,1.973021,1.464056,0.6173954,4.589798,2.167488,0.4317264,0.1760632,10.31888,15.44896,1978-01-29,Fall,1978,1,29,3,1.01,32.3689018683,20.38926738444315,10.119207191828039,10.22039926374632
11,0.004733669,0.0001872277,0.3056369,0.05545069,0.7916577,0.8934289,0.240924,1.195886,1.54882,0.003387748,0.04943231,0.4319105,0.1020139,1.973615,1.465638,0.6192969,4.541557,2.144091,0.4277529,0.1813551,10.47223,15.59107,1978-02-01,Fall,1978,2,32,3,1.01,32.567845444700005,20.514582533846156,9.993892042425035,10.093830962849285
12,0.004765391,0.000188868,0.3098751,0.05622268,0.8095041,0.9054053,0.2461552,1.225444,1.588487,0.003457363,0.05151435,0.4375793,0.101088,1.972342,1.464084,0.6209329,4.502023,2.124974,0.4244635,0.1853843,10.61023,15.69291,1978-02-04,Fall,1978,2,35,3,1.01,32.726800352000005,20.614708701863705,9.893765874407485,9.99270353315156
13,0.004798627,0.0001905454,0.3142613,0.05706745,0.7937445,0.8967809,0.2428921,1.229036,1.629823,0.003511579,0.05473714,0.4411855,0.09888601,1.874076,1.374174,0.5317361,2.133274,1.383307,0.2545798,0.1289085,10.57111,15.7392,1978-02-07,Fall,1978,2,38,3,1.1,29.1861700514,18.384455164004464,12.124019412266726,13.3364213534934
14,0.004831153,0.0001921114,0.318498,0.05782849,0.7771486,0.88814,0.2377965,1.213829,1.643472,0.003566411,0.05740983,0.4443745,0.0896764,1.666249,1.218813,0.4905415,1.228738,1.212234,0.2636038,0.08702429,10.32002,15.38576,1978-02-10,Fall,1978,2,41,3,1.1,27.289726585400004,17.18987979456253,13.318594781708661,14.65045425987953
15,0.004862665,0.0001935463,0.3223968,0.05851245,0.7604812,0.8795614,0.2321296,1.190228,1.637913,0.003620262,0.05938965,0.4469628,0.08008319,1.488758,1.066899,0.4582641,0.896904,1.183616,0.296989,0.06313233,10.0167,14.92678,1978-02-13,Fall,1978,2,44,4,1.1,26.0576769933,16.41380809875926,14.094666477511929,15.504133125263124
16,0.004892867,0.0001948352,0.3258856,0.05912223,0.7435006,0.8698975,0.2255719,1.161413,1.617881,0.003669364,0.06079338,0.4487757,0.07046828,1.328098,0.9270993,0.3712906,0.5539321,0.9128882,0.2152172,0.05525915,9.715399,14.40475,1978-02-16,Fall,1978,2,47,4,1.1,24.360600806199997,15.344814770182976,15.163659806088214,16.680025786697037
17,0.004921444,0.0001959635,0.3288884,0.05964523,0.7266801,0.8599936,0.218748,1.129111,1.584266,0.003714539,0.06156899,0.4498729,0.06107293,1.184662,0.8024043,0.3135389,0.4504173,0.8432845,0.2074523,0.04941626,9.406103,13.82011,1978-02-19,Fall,1978,2,50,4,1.2,23.159964656499998,14.58853049500848,15.91994408126271,19.10393289751525
18,0.004948208,0.0001969293,0.3313965,0.06008964,0.7104641,0.8502178,0.2123441,1.096796,1.543773,0.003756716,0.06178053,0.4503298,0.05459678,1.104486,0.7068923,0.3226925,0.6699878,1.123722,0.3189755,0.04055287,9.122684,13.30622,1978-02-22,Fall,1978,2,53,4,1.2,22.974219073300002,14.471528800704696,16.036945775566494,19.24433493067979
19,0.004973055,0.0001977375,0.3334686,0.06046223,0.6947117,0.8402076,0.2061337,1.06462,1.499973,0.003794442,0.06161645,0.4502702,0.04965115,1.043938,0.6294888,0.2786275,0.5349789,0.9742902,0.2517208,0.04015633,8.887228,12.85241,1978-02-25,Fall,1978,2,56,4,1.2,21.875690394499998,13.779562324589309,16.728912251681884,20.07469470201826
20,0.004995884,0.0001983909,0.3350939,0.06075227,0.6797664,0.8307099,0.2002358,1.031652,1.450221,0.003829645,0.06103901,0.4497016,0.0447419,0.9769516,0.561363,0.2433912,0.5341632,0.9343773,0.2331435,0.04227371,8.659132,12.3781,1978-02-28,Fall,1978,2,59,5,1.2,21.056701209899998,13.26367860577431,17.24479597049688,20.693755164596258
21,0.005016619,0.0001988946,0.3362775,0.06096882,0.6655028,0.8212854,0.1946768,0.999534,1.398476,0.003860405,0.06014197,0.4486347,0.04110624,0.9312253,0.5075746,0.2371327,0.6717722,1.039524,0.2603906,0.04295133,8.453338,11.94217,1978-03-03,Spring,1978,3,62,5,1.1,20.668420878600003,13.019099672352134,17.489374903919057,19.238312394310963
22,0.005035209,0.0001992555,0.337081,0.06113406,0.6520752,0.8115736,0.1897782,0.9714026,1.351166,0.003885847,0.05907815,0.4471708,0.04023134,0.9395322,0.4757123,0.2778484,1.118423,1.376962,0.385157,0.03911274,8.298505,11.64904,1978-03-06,Spring,1978,3,65,5,1.1,21.1915989015,13.348651062200773,17.159823514070418,18.87580586547746
23,0.005051689,0.0001994858,0.3376215,0.06126817,0.6393675,0.8015552,0.1855747,0.9480454,1.312291,0.003906135,0.05801899,0.4455356,0.04187754,0.9891709,0.4629249,0.3281417,1.372895,1.568814,0.4333938,0.03402799,8.199944,11.52223,1978-03-09,Spring,1978,3,68,5,1.1,21.551911199800003,13.575612848604056,16.932861727667134,18.62614790043385
24,0.005066112,0.0001995951,0.3379758,0.06136891,0.6270567,0.791436,0.1816184,0.9260537,1.278576,0.003922302,0.05702136,0.4438523,0.04363411,1.02154,0.4531047,0.343754,1.199291,1.504706,0.3671175,0.03056716,8.110265,11.43773,1978-03-12,Spring,1978,3,71,6,1.1,21.115591649100004,13.30077386826179,17.207700708009398,18.92847077881034
25,0.005078529,0.000199591,0.3381511,0.06143034,0.6156911,0.7819059,0.1780965,0.9048669,1.247014,0.003936645,0.05599426,0.4421207,0.04521994,1.039748,0.4454142,0.36669,1.30494,1.607822,0.3742175,0.02725553,8.01544,11.36444,1978-03-15,Spring,1978,3,74,6,1.1,21.210232735,13.36038856924301,17.14808600702818,18.862894607731
26,0.005089005,0.0001994815,0.3381622,0.06145793,0.6045271,0.7723009,0.1745795,0.8838461,1.217264,0.003947256,0.05500727,0.4403236,0.04586457,1.034353,0.4353113,0.3419281,1.090158,1.412987,0.3055897,0.02684851,7.923137,11.27573,1978-03-18,Spring,1978,3,77,6,1.1,20.525474522499998,12.929057338262046,17.579417238009142,19.337358961810057
27,0.005097539,0.0001992693,0.3379911,0.06145202,0.5939615,0.7629384,0.1713351,0.8640314,1.188937,0.003955019,0.05399255,0.4384192,0.04655086,1.0352,0.4283758,0.3618258,1.336724,1.609531,0.3615828,0.02413554,7.830262,11.2017,1978-03-21,Spring,1978,3,80,6,1.1,20.887935897300004,13.157372834332914,17.351101741938276,19.086211916132104
28,0.005104249,0.0001989669,0.3376971,0.06143245,0.5845085,0.7538979,0.1688284,0.8486118,1.166659,0.003960646,0.0530203,0.436538,0.04902096,1.075479,0.4353427,0.3939423,1.715793,1.767929,0.4297854,0.02178795,7.785388,11.24472,1978-03-24,Spring,1978,3,83,6,1.1,21.5542576219,13.577090866850961,16.93138370942023,18.624522080362254
29,0.005109305,0.0001985885,0.3373506,0.06140455,0.575596,0.7450421,0.1666853,0.8355153,1.149773,0.003964162,0.0521769,0.4347809,0.05183586,1.115597,0.4467823,0.4113434,1.626276,1.764728,0.3953921,0.02000392,7.75771,11.33585,1978-03-27,Spring,1978,3,86,7,1.1,21.5354052855,13.565215724183318,16.943258852087872,18.63758473729666
30,0.005112832,0.0001981438,0.3369705,0.06136714,0.5675198,0.7367069,0.1649582,0.8242189,1.1367,0.00396621,0.0514223,0.4331578,0.05471136,1.153749,0.4616273,0.434165,1.824869,1.85466,0.4301584,0.0184196,7.737074,11.45349,1978-03-30,Spring,1978,3,89,7,1.1,22.0081483858,13.86299800655376,16.64547656971743,18.310024226689176
31,0.005115069,0.0001976492,0.336598,0.06132969,0.5610805,0.7293527,0.1640069,0.816779,1.128779,0.003967236,0.05074927,0.4317572,0.05820409,1.205975,0.4866254,0.4568155,2.123553,1.930386,0.4566977,0.01789357,7.747311,11.64117,1978-04-02,Fall,1978,4,92,7,1.1,22.6670324742,14.278031049948389,16.2304435263228,17.853487878955082
32,0.005116409,0.0001971312,0.3362926,0.06130255,0.5577607,0.723701,0.1642808,0.8154044,1.127419,0.003968146,0.05015458,0.4306928,0.06280523,1.281574,0.5296756,0.4812792,2.631501,2.08891,0.4936185,0.01936212,7.804172,11.92871,1978-04-05,Fall,1978,4,95,7,1.2,23.7937257662,14.98773849953426,15.520736076736931,18.624883292084316
33,0.005117306,0.0001966186,0.3361349,0.06130413,0.5563413,0.7190138,0.1654552,0.8197415,1.134692,0.003970163,0.04978282,0.4300813,0.06831283,1.372763,0.587489,0.5056203,2.924209,2.173476,0.5050333,0.02174606,7.902156,12.30685,1978-04-08,Fall,1978,4,98,7,1.2,24.7473305276,15.588416969825653,14.920057606445537,17.904069127734644
34,0.005118135,0.000196133,0.3361781,0.06133749,0.5566243,0.7154704,0.1673288,0.8281021,1.149144,0.003974241,0.0496464,0.4299701,0.07373196,1.458608,0.6527731,0.5247793,3.10276,2.213933,0.506236,0.02535038,8.019741,12.72204,1978-04-11,Fall,1978,4,101,8,1.2,25.583301939,16.114997843719234,14.393476732551957,17.272172079062347
35,0.005119361,0.0001956998,0.336454,0.0614028,0.5606605,0.7141529,0.1702427,0.8418815,1.169996,0.00398105,0.04966539,0.4304733,0.07899178,1.543753,0.7295868,0.5405832,3.489589,2.29051,0.5132485,0.03319555,8.164557,13.16558,1978-04-14,Fall,1978,4,104,8,1.2,26.7292630308,16.836842137601845,13.671632438669345,16.405958926403212
36,0.005121495,0.0001953469,0.3370052,0.06151576,0.5668015,0.7141685,0.1739054,0.8605763,1.198237,0.003991378,0.04993557,0.431571,0.08416496,1.62938,0.8138351,0.5551029,3.704895,2.323315,0.5125075,0.04381382,8.336859,13.62569,1978-04-17,Fall,1978,4,107,8,1.2,27.6957287299,17.445621750732343,13.062852825538847,15.675423390646616
37,0.005124802,0.000195085,0.3378077,0.06164923,0.5724198,0.7150491,0.1770447,0.8747783,1.224735,0.004005205,0.05041496,0.4331506,0.08524282,1.62738,0.8608098,0.5121502,2.761191,1.942391,0.3773515,0.06024164,8.451498,13.86311,1978-04-20,Fall,1978,4,110,8,1.1,26.546242442,16.72155692536065,13.786917650910539,15.165609416001594
38,0.005129257,0.0001949047,0.3387134,0.06178997,0.578833,0.7169875,0.1799512,0.8872662,1.246835,0.004020814,0.0508618,0.4349167,0.08457338,1.609152,0.8917542,0.511879,3.180115,1.997067,0.4182634,0.07525416,8.535196,13.94306,1978-04-23,Fall,1978,4,113,9,1.0,27.216617885699996,17.14382840757457,13.36464616869662,13.36464616869662
39,0.0051352,0.0001948233,0.3397453,0.06195986,0.5899097,0.7215189,0.183812,0.9072658,1.272169,0.004038384,0.05122244,0.4369964,0.0857267,1.643363,0.9485473,0.524657,3.794304,2.105382,0.4443061,0.09718303,8.6844,14.06803,1978-04-26,Fall,1978,4,116,9,1.0,28.2854669373,17.81709959840306,12.69137497786813,12.69137497786813
40,0.005143113,0.0001948666,0.3409717,0.06216921,0.603681,0.7276696,0.1882037,0.9321566,1.30167,0.004058744,0.0516625,0.4394875,0.08745201,1.686586,1.013656,0.5380868,3.911692,2.051481,0.4192031,0.1183274,8.866247,14.19967,1978-04-29,Fall,1978,4,119,9,0.9,28.6832228436,18.06764722464906,12.44082735162213,11.196744616459917
41,0.005153245,0.000195045,0.3423988,0.06241556,0.6184607,0.7347606,0.1927302,0.9584366,1.332724,0.004082078,0.05221169,0.442317,0.08864938,1.716505,1.071208,0.5473433,3.98384,2.017864,0.4074516,0.1342586,9.047441,14.29978,1978-05-02,Fall,1978,5,122,9,0.9,29.012785398,18.27523965607913,12.23323492019206,11.009911428172854
42,0.005165785,0.0001953652,0.3440215,0.06269525,0.6348584,0.7434539,0.1974181,0.9866902,1.364584,0.004108395,0.05279605,0.4455059,0.08960144,1.742815,1.125761,0.5554053,4.152949,2.01998,0.404341,0.1486356,9.232098,14.38504,1978-05-05,Fall,1978,5,125,9,0.9,29.4660211852,18.560734224014087,11.947740352257103,10.752966317031394
43,0.005180963,0.000195837,0.3458465,0.06301343,0.6528134,0.7537391,0.202347,1.01746,1.397691,0.004137796,0.05337421,0.449048,0.09053995,1.772802,1.180994,0.5640956,4.342011,2.035426,0.4037545,0.1613134,9.425261,14.48036,1978-05-08,Fall,1978,5,128,10,0.9,29.976143686,18.882061901732378,11.626412674538813,10.463771407084932
44,0.005199036,0.0001964722,0.3479036,0.06338362,0.672855,0.7654041,0.2078983,1.053672,1.435073,0.004170672,0.05400416,0.4530065,0.09279989,1.833766,1.250853,0.5811607,4.880435,2.197811,0.4412896,0.1715741,9.654142,14.66707,1978-05-11,Fall,1978,5,131,10,1.0,31.1795257502,19.640075836602563,10.868398739668628,10.868398739668628
45,0.005220421,0.0001972935,0.3502676,0.06381436,0.6956254,0.7797413,0.2142419,1.096795,1.478842,0.004207989,0.05463418,0.4576685,0.09585461,1.91675,1.337713,0.6036181,5.245147,2.302436,0.4551257,0.1844525,9.922852,14.94647,1978-05-14,Fall,1978,5,134,10,1.0,32.2888228535,20.338825375280063,10.169649200991127,10.169649200991127
46,0.005245567,0.0001983242,0.3530058,0.06432265,0.720858,0.7957214,0.2214667,1.14646,1.530474,0.00425072,0.05548063,0.4630111,0.1002658,2.021062,1.436797,0.6317774,5.736772,2.474957,0.4890338,0.1943957,10.23063,15.3382,1978-05-17,Fall,1978,5,137,10,1.1,33.783755591200006,21.280487944950792,9.227986631320398,10.150785294452438
47,0.005274961,0.0001995898,0.3561905,0.06491064,0.7481789,0.814323,0.2294288,1.201196,1.589078,0.004299981,0.05649492,0.4692943,0.1046977,2.124648,1.538528,0.6597427,5.924319,2.551105,0.4962741,0.2060307,10.56085,15.78927,1978-05-20,Fall,1978,5,140,10,1.1,34.9334847918,22.004705781753373,8.503768794517818,9.354145673969601
48,0.005308894,0.0002011015,0.3598215,0.06556816,0.774866,0.8328118,0.2371135,1.250309,1.646582,0.004356102,0.05795674,0.4760664,0.1070337,2.161858,1.592986,0.6702065,5.30434,2.348457,0.4439792,0.2094386,10.83267,16.1414,1978-05-23,Fall,1978,5,143,11,1.0,34.690660197499994,21.85174984890011,8.656724727371081,8.656724727371081
49,0.005347258,0.0002028448,0.3637427,0.06624354,0.7984987,0.853677,0.2435368,1.28784,1.69158,0.004417282,0.05923924,0.4833298,0.1042738,2.113394,1.591168,0.6577626,4.636952,2.0878,0.3829693,0.2185025,11.00207,16.21819,1978-05-26,Fall,1978,5,146,11,0.9,33.868667364800004,21.333974123229616,9.174500453041574,8.257050407737417
50,0.005389733,0.0002047954,0.3677726,0.06692347,0.8190138,0.875331,0.2488484,1.316086,1.722781,0.004480951,0.06026376,0.4905162,0.09972745,2.042084,1.562056,0.6408244,4.396987,1.989308,0.3676671,0.2254871,11.10512,16.11727,1978-05-29,Fall,1978,5,149,11,0.9,33.4190227594,21.050741651372068,9.457732924899123,8.51195963240921
51,0.005435918,0.0002069276,0.3717934,0.06757747,0.8354396,0.8977422,0.2528301,1.333599,1.738623,0.004545146,0.06088574,0.4974842,0.09328961,1.939975,1.506468,0.6164249,3.773032,1.740323,0.3121263,0.2316176,11.13441,15.83244,1978-06-01,Fall,1978,6,152,11,0.8,32.1118591116,20.227355388882895,10.281119187388295,8.224895349910637
52,0.005485209,0.0002092037,0.3756744,0.06821239,0.8487734,0.9183238,0.2556369,1.342405,1.740385,0.004607765,0.06128893,0.5036523,0.08711731,1.838649,1.439317,0.5924696,3.623636,1.64967,0.3006371,0.2299658,11.11103,15.45864,1978-06-04,Fall,1978,6,155,12,0.8,31.3447561077,19.744154929331806,10.764319646939384,8.611455717551507
53,0.005537159,0.0002115982,0.3794058,0.06883822,0.8617815,0.9376752,0.2584714,1.353575,1.738455,0.004668291,0.06144994,0.5091925,0.08431626,1.810467,1.410688,0.5877165,4.255455,1.856436,0.3580757,0.2267156,11.12337,15.21631,1978-06-07,Fall,1978,6,158,12,0.9,31.9854416682,20.147724665973982,10.360749910297208,9.324674919267489
54,0.00559169,0.0002141106,0.3830899,0.06944928,0.8747693,0.9571795,0.2616,1.367851,1.738129,0.004727696,0.06142501,0.5146119,0.0837869,1.824304,1.41104,0.5947563,4.335827,1.972779,0.3749891,0.2262258,11.17008,15.10251,1978-06-10,Fall,1978,6,161,12,0.9,32.1648564866,20.260738592735322,10.247735983535868,9.222962385182282
55,0.005648793,0.0002167436,0.3867915,0.07005358,0.8887088,0.9771007,0.2653777,1.388017,1.743423,0.004786641,0.06131105,0.5201108,0.08570339,1.886378,1.44534,0.6149052,5.010752,2.234167,0.4344723,0.2274331,11.26914,15.15306,1978-06-13,Fall,1978,6,164,12,1.0,33.403757297599995,21.04112589166376,9.46734868460743,9.46734868460743
