timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,date,season,year,month,day_of_year,biweekly,multiplier,model_N_bound_gN_m2,model_N_free_gN_m2,model_N_total_init_used_gN_m2,model_N_bound_init_used_gN_m2,model_N_free_init_used_gN_m2,model_N_free_used_gN_m2
1,0.004600463,0.0001800204,0.2801605,0.05020154,0.6087068,0.8397854,0.1826029,0.8134048,1.013339,0.0030022,0.03084142,0.39834,0.06332539,1.289177,0.9277041,0.5103496,5.058249,2.094059,0.5860081,0.1195124,8.179326,10.57746,1978-01-02,Fall,1978,1,2,1,1.01,3.3581669354784,2.4679083445216006,5.82607528,3.3581669354784,2.4679083445216006,2.4925874279668165
2,0.004601676,0.0001800907,0.2808662,0.05051826,0.6252184,0.8318661,0.1884835,0.8488874,1.053484,0.003011481,0.03217757,0.3978875,0.08304835,1.608471,1.078471,0.5686936,5.925672,2.268369,0.6285934,0.09068151,8.520724,11.58996,1978-01-05,Fall,1978,1,5,1,1.01,3.7274732386352003,2.0986020413648,5.82607528,3.3581669354784,2.4679083445216006,2.119588061778448
3,0.00460506,0.0001802896,0.2823226,0.05093544,0.6461063,0.8269082,0.1960335,0.8937175,1.113214,0.003031073,0.0341833,0.3989591,0.1016926,1.892064,1.241207,0.598812,5.949579,2.227381,0.6038521,0.07578713,8.864354,12.72897,1978-01-08,Fall,1978,1,8,1,1.01,3.9077684298975996,1.9183068501024008,5.82607528,3.3581669354784,2.4679083445216006,1.9374899186034247
4,0.004611463,0.0001806606,0.2845451,0.05144066,0.6694043,0.8248736,0.2043681,0.9417176,1.185734,0.003062033,0.03684724,0.401438,0.1153322,2.081849,1.375493,0.6008908,5.697162,2.115421,0.568487,0.07032352,9.157387,13.78217,1978-01-11,Fall,1978,1,11,1,1.01,3.9977918046816,1.8282834753184005,5.82607528,3.3581669354784,2.4679083445216006,1.8465663100715846
5,0.004621506,0.0001812321,0.287465,0.05202446,0.6939803,0.8254225,0.2130134,0.9900839,1.265281,0.0031044,0.04007853,0.4050477,0.1233294,2.185173,1.468738,0.5870547,5.408905,2.000799,0.5394045,0.0714473,9.394929,14.66094,1978-01-14,Fall,1978,1,14,1,1.01,4.0473330497456,1.7787422302544007,5.82607528,3.3581669354784,2.4679083445216006,1.7965296525569447
6,0.004635647,0.0001820232,0.2909936,0.05267941,0.7191616,0.8281409,0.22171,1.037596,1.347354,0.003157857,0.04376367,0.409503,0.1266834,2.228918,1.523371,0.5680234,5.16261,1.906137,0.5185947,0.07739256,9.587824,15.34407,1978-01-17,Fall,1978,1,17,2,1.01,4.0785118670272,1.7475634129728004,5.82607528,3.3581669354784,2.4679083445216006,1.7650390471025283
7,0.004654226,0.0001830468,0.2950503,0.0533994,0.7445281,0.8326409,0.2303083,1.083722,1.428632,0.003222036,0.04778946,0.4145653,0.1267936,2.237433,1.547339,0.5501345,4.972065,1.834491,0.504298,0.08677284,9.748929,15.84227,1978-01-20,Fall,1978,1,20,2,1.01,4.100610773548799,1.7254645064512015,5.82607528,3.3581669354784,2.4679083445216006,1.7427191515157137
8,0.0046775,0.0001843116,0.2995703,0.05417907,0.7698054,0.8385913,0.2387186,1.128226,1.506774,0.003296621,0.05205045,0.4200508,0.1248954,2.227304,1.549224,0.5362055,4.830943,1.782543,0.4945064,0.09814072,9.888513,16.18037,1978-01-23,Fall,1978,1,23,2,1.01,4.1175659015776,1.7085093784224004,5.82607528,3.3581669354784,2.4679083445216006,1.7255944722066243
9,0.004705669,0.0001858236,0.3045031,0.05501366,0.7948082,0.8457214,0.2468855,1.171002,1.580208,0.003381359,0.05645114,0.4258231,0.1219026,2.208406,1.536375,0.526893,4.728827,1.745799,0.487709,0.1099564,10.01337,16.38885,1978-01-26,Fall,1978,1,26,2,1.01,4.1312215234816,1.6948537565184,5.82607528,3.3581669354784,2.4679083445216006,1.7118022940835842
10,0.004738893,0.0001875868,0.3098102,0.05589879,0.8194089,0.8538151,0.2547751,1.212003,1.647948,0.003476046,0.06090676,0.4317827,0.1184233,2.186143,1.514465,0.5217072,4.656033,1.720252,0.4828847,0.1208545,10.12733,16.49902,1978-01-29,Fall,1978,1,29,3,1.01,4.1426218245408,1.6834534554592002,5.82607528,3.3581669354784,2.4679083445216006,1.7002879900137922
11,0.004777306,0.0001896043,0.3154608,0.0568304,0.8435188,0.8627023,0.2623676,1.251215,1.709441,0.0035805,0.06534349,0.4378572,0.1148309,2.163291,1.487605,0.5196739,4.60463,1.702735,0.4793648,0.1299298,10.23224,16.5396,1978-02-01,Fall,1978,2,32,3,1.01,4.1524726144528,1.6736026655472003,5.82607528,3.3581669354784,2.4679083445216006,1.6903386922026722
12,0.004821023,0.0001918782,0.3214297,0.05780464,0.8670759,0.8722494,0.2696522,1.288637,1.764454,0.003694538,0.06969845,0.4439942,0.1113372,2.1412,1.458638,0.5197437,4.56843,1.690853,0.4767141,0.1368286,10.32883,16.53451,1978-02-04,Fall,1978,2,35,3,1.01,4.1612864651392005,1.6647888148607999,5.82607528,3.3581669354784,2.4679083445216006,1.681436703009408
13,0.004867387,0.0001942199,0.3276434,0.05887488,0.8494068,0.8581859,0.2622605,1.281258,1.801491,0.003778924,0.07573313,0.4466814,0.1093396,2.062433,1.359178,0.4205695,2.162674,1.099928,0.2963431,0.08545876,10.27674,16.46805,1978-02-07,Fall,1978,2,38,3,1.1,3.5404322121584,2.2856430678416,5.82607528,3.3581669354784,2.4679083445216006,2.5142073746257605
14,0.004913503,0.0001964217,0.3337595,0.05985192,0.8313819,0.8442029,0.2535759,1.258888,1.812528,0.003867611,0.08109251,0.4489255,0.09970164,1.845121,1.196721,0.3933012,1.272997,1.005844,0.3238173,0.04831549,10.02224,16.03508,1978-02-10,Fall,1978,2,41,3,1.1,3.2554000040432003,2.5706752759568,5.82607528,3.3581669354784,2.4679083445216006,2.8277428035524803
15,0.004959146,0.0001984679,0.3395712,0.06074554,0.8133911,0.8304895,0.2447388,1.230176,1.805477,0.003959887,0.08547689,0.4506235,0.08930595,1.651701,1.038041,0.3770946,0.9561261,1.024715,0.378354,0.02851877,9.732759,15.53143,1978-02-13,Fall,1978,2,44,4,1.1,3.0960048673584,2.7300704126416004,5.82607528,3.3581669354784,2.4679083445216006,3.0030774539057608
