Year,Bloom Date,Day of Year
1978,1978-05-02,122
1979,1979-04-14,104
1980,1980-04-13,104
1981,1981-03-12,71
1982,1982-03-24,83
1983,1983-03-24,83
1984,1984-03-08,68
1985,1985-03-18,77
1986,1986-04-05,95
1987,1987-04-02,92
1988,1988-03-17,77
1989,1989-04-14,104
1990,1990-03-30,89
1991,1991-04-14,104
1992,1992-03-20,80
1993,1993-04-05,95
1994,1994-04-02,92
1995,1995-03-30,89
1996,1996-03-26,86
1997,1997-03-24,83
1998,1998-04-02,92
1999,1999-04-17,107
2000,2000-03-26,86
2001,2001-03-27,86
2002,2002-04-08,98
2003,2003-04-05,95
2004,2004-04-04,95
2005,2005-02-25,56
2006,2006-04-05,95
2007,2007-04-05,95
2008,2008-04-04,95
2009,2009-04-08,98
2010,2010-03-27,86
2011,2011-03-27,86
2012,2012-04-10,101
2013,2013-03-30,89
2014,2014-04-05,95
2015,2015-03-09,68
2016,2016-03-26,86
2017,2017-04-17,107
2018,2018-03-21,80
