Year,Bloom Date,Day of Year
1978,1978-01-05,5
1979,1979-01-02,2
1980,1980-01-02,2
1981,1981-01-02,2
1982,1982-01-02,2
1983,1983-01-02,2
1984,1984-01-02,2
1985,1985-01-02,2
1986,1986-01-02,2
1987,1987-01-02,2
1988,1988-01-02,2
1989,1989-01-02,2
1990,1990-01-02,2
1991,1991-01-02,2
1992,1992-01-02,2
1993,1993-01-02,2
1994,1994-01-02,2
1995,1995-01-02,2
1996,1996-01-02,2
1997,1997-04-08,98
1998,1998-03-18,77
1999,1999-04-11,101
2000,2000-03-26,86
2001,2001-03-21,80
2002,2002-04-08,98
2003,2003-03-18,77
2004,2004-03-14,74
2005,2005-03-12,71
2006,2006-04-08,98
2007,2007-04-08,98
2008,2008-04-07,98
2009,2009-04-08,98
2010,2010-03-18,77
2011,2011-04-08,98
2012,2012-04-07,98
2013,2013-03-30,89
2014,2014-03-21,80
2015,2015-03-09,68
2016,2016-03-17,77
2017,2017-04-11,101
2018,2018-03-21,80
