Year,Bloom Date,Day of Year
1978,1978-01-02,2
1979,1979-04-14,104
1980,1980-04-13,104
1981,1981-03-21,80
1982,1982-04-11,101
1983,1983-04-14,104
1984,1984-03-29,89
1985,1985-03-21,80
1986,1986-04-08,98
1987,1987-04-02,92
1988,1988-04-13,104
1989,1989-04-14,104
1990,1990-04-02,92
1991,1991-04-14,104
1992,1992-03-23,83
1993,1993-05-05,125
1994,1994-04-05,95
1995,1995-04-02,92
1996,1996-03-26,86
1997,1997-03-24,83
1998,1998-04-05,95
1999,1999-04-17,107
2000,2000-03-29,89
2001,2001-03-30,89
2002,2002-05-02,122
2003,2003-04-29,119
2004,2004-04-07,98
2005,2005-03-15,74
2006,2006-04-08,98
2007,2007-04-05,95
2008,2008-04-13,104
2009,2009-04-08,98
2010,2010-04-17,107
2011,2011-04-20,110
2012,2012-04-13,104
2013,2013-04-02,92
2014,2014-04-14,104
2015,2015-03-09,68
2016,2016-04-01,92
2017,2017-04-17,107
2018,2018-04-23,113
