Year,Bloom Date,Day of Year,Bloom Early Late
1978,,,
1979,,,
1980,,,
1981,1981-02-16,47.0,early
1982,,,
1983,,,
1984,,,
1985,1985-10-23,296.0,late
1986,,,
1987,,,
1988,,,
1989,1989-10-23,296.0,late
1990,1990-02-07,38.0,early
1991,,,
1992,1992-10-22,296.0,late
1993,,,
1994,1994-01-11,11.0,early
1995,,,
1996,1996-01-02,2.0,early
1997,1997-04-08,98.0,avg
1998,1998-03-06,65.0,early
1999,1999-04-14,104.0,avg
2000,2000-04-01,92.0,avg
2001,2001-04-02,92.0,avg
2002,2002-04-14,104.0,avg
2003,2003-03-27,86.0,avg
2004,2004-03-20,80.0,avg
2005,2005-03-15,74.0,avg
2006,2006-04-08,98.0,avg
2007,2007-04-11,101.0,avg
2008,2008-04-16,107.0,cusp
2009,2009-04-08,98.0,avg
2010,2010-03-24,83.0,avg
2011,2011-04-11,101.0,avg
2012,2012-04-04,95.0,avg
2013,2013-03-27,86.0,avg
2014,2014-03-21,80.0,avg
2015,2015-02-22,53.0,early
2016,2016-03-17,77.0,avg
2017,2017-04-02,92.0,avg
2018,2018-03-21,80.0,avg
