Year,Bloom Date,Day of Year
1978,1978-03-03,62
1979,1979-03-03,62
1980,1980-03-02,62
1981,1981-03-03,62
1982,1982-03-03,62
1983,1983-03-03,62
1984,1984-03-02,62
1985,1985-03-03,62
1986,1986-03-03,62
1987,1987-03-03,62
1988,1988-03-02,62
1989,1989-03-03,62
1990,1990-03-03,62
1991,1991-03-03,62
1992,1992-03-08,68
1993,1993-03-03,62
1994,1994-03-03,62
1995,1995-03-03,62
1996,1996-04-01,92
1997,1997-03-03,62
1998,1998-03-03,62
1999,1999-03-03,62
2000,2000-03-02,62
2001,2001-03-03,62
2002,2002-03-03,62
2003,2003-03-03,62
2004,2004-03-02,62
2005,2005-03-03,62
2006,2006-03-03,62
2007,2007-03-03,62
2008,2008-03-02,62
2009,2009-03-03,62
2010,2010-03-03,62
2011,2011-03-03,62
2012,2012-03-02,62
2013,2013-03-03,62
2014,2014-03-03,62
2015,2015-03-03,62
2016,2016-03-02,62
2017,2017-03-03,62
2018,2018-03-03,62
