year,group,obs_anom,model_anom
2003,Total,-0.3884835673460217,0.38744957386593
2003,ZS2-CTH,-0.5186607236389088,1.5129127027339078
2003,ZS3-CHA,-0.04810127675440506,1.6615536426710866
2003,ZS4-LAR,-0.6278680293616699,0.15633255241449906
2004,Total,-0.06152657675759611,0.299112084628316
2004,ZS2-CTH,-0.300349926953833,0.9021219836473533
2004,ZS3-CHA,0.2320816285882606,0.851045337813509
2004,ZS4-LAR,-0.4583817354817791,0.19478299595262882
2005,Total,-0.03579819785132777,0.9499476788686775
2005,ZS2-CTH,1.1237392960600283,0.4428637348207838
2005,ZS3-CHA,0.07899228372717779,0.9127232433211535
2005,ZS4-LAR,,0.8231090120274778
2006,Total,-0.4755420128624545,0.4762370663541425
2006,ZS2-CTH,0.1779480944770624,0.8415525991501013
2006,ZS3-CHA,-0.7394544231831818,1.0262185998902045
2006,ZS4-LAR,-0.36795047371036427,0.3550007246747315
2007,Total,-2.416420916916753,1.1353194959208117
2007,ZS2-CTH,-0.032462592228798694,1.7286494619471113
2007,ZS3-CHA,-2.242695602459751,1.8571956577055357
2007,ZS4-LAR,,0.8667635311247271
2008,Total,-1.3343545993606076,-0.5060060049570599
2008,ZS2-CTH,-0.9044188546569788,1.6933876194770399
2008,ZS3-CHA,-0.9369839348619794,2.1748683281135017
2008,ZS4-LAR,-1.0388680093505938,-0.876526444207969
2009,Total,0.4945727951985522,0.7962709486471518
2009,ZS2-CTH,-1.1141310181598656,-0.15211860722136383
2009,ZS3-CHA,-0.4768227391826023,-0.22511694902593835
2009,ZS4-LAR,1.3969802039125374,0.7971658453370207
2010,Total,-1.2105948270059064,1.0445791300677556
2010,ZS2-CTH,-0.9605523933070437,1.0094207360507994
2010,ZS3-CHA,-0.8239159126807918,1.0036360293468616
2010,ZS4-LAR,-0.5231954338427578,0.8883734680706278
2011,Total,0.15923747848930686,-0.5056236782220893
2011,ZS2-CTH,0.5135706140423298,0.2550272881392773
2011,ZS3-CHA,0.24803370132465383,0.5615850108224572
2011,ZS4-LAR,-0.289943450795117,-0.5250195401847108
2012,Total,0.4342328188251929,0.575707233635659
2012,ZS2-CTH,0.328437569595626,-0.0762955069339198
2012,ZS3-CHA,-0.4675639965076006,0.20121211170777017
2012,ZS4-LAR,1.5836499916997324,0.5565104600899023
2013,Total,-0.30828280960538884,-0.8762092886261944
2013,ZS2-CTH,-0.45260371946283706,-1.1522509564318337
2013,ZS3-CHA,0.023495987627129962,-0.7544022386413755
2013,ZS4-LAR,-0.17353056396733432,-0.6966867928465198
2014,Total,0.18175586930678564,-1.2141317660578135
2014,ZS2-CTH,-0.2722690313088852,-0.5771715331146356
2014,ZS3-CHA,0.4553912672311603,-0.3067795127210008
2014,ZS4-LAR,-0.5557336462432513,-1.1028692405644986
2015,Total,0.3317197623796147,0.5556149346696166
2015,ZS2-CTH,0.10559339326006703,-0.7678879078100457
2015,ZS3-CHA,0.4013955265026668,-1.0053478740195327
2015,ZS4-LAR,0.11739365380543863,0.6589991731062598
2016,Total,0.12306871309174298,-0.44601287313182164
2016,ZS2-CTH,0.8547717004244538,-0.36281930151712605
2016,ZS3-CHA,0.23977674780558025,-0.42623916887059365
2016,ZS4-LAR,-0.499194939880857,-0.35395461214817464
2017,Total,0.48782478325648454,-0.3704553517250518
2017,ZS2-CTH,0.9092092459162083,-0.12313631804139748
2017,ZS3-CHA,0.3497688955193643,-0.49969642060388003
2017,ZS4-LAR,0.2511204794269453,-0.3006973060479052
2018,Total,0.17534190178397702,-0.15965872339024367
2018,ZS2-CTH,0.17627379614208827,0.046773129723514106
2018,ZS3-CHA,0.3161926423933294,-0.15510914102413972
2018,ZS4-LAR,0.2774724782219985,-0.15081190849436962
