year,group,obs_anom,model_anom
2000,Total,1.3382570669952667,1.2405593066579388
2000,ZC1-EUP,1.0479423565744423,0.9549780054412245
2000,ZC2-AMP,1.2218823406241506,0.380707646439321
2000,ZC3-DEC,0.16061085229941932,1.0600375332860725
2000,ZC4-CLG,1.6182721494370522,1.1527462086018618
2000,ZC5-CSM,0.7356959204522324,1.3671564411592179
2001,Total,0.03619663704141163,-0.7313000991612211
2001,ZC1-EUP,0.05462897891749554,-0.7773716306659041
2001,ZC2-AMP,-0.38051345673665987,-0.17587535528196996
2001,ZC3-DEC,-0.624099062415126,-0.8904803177363878
2001,ZC4-CLG,0.37001332088832417,-0.7313743388318877
2001,ZC5-CSM,0.28228495931857883,-0.6596090605986322
2002,Total,-0.5198371364031994,-1.0740891919889244
2002,ZC1-EUP,0.07666087231726272,-0.7299682655264597
2002,ZC2-AMP,-0.11139862709915653,-0.26656592531192663
2002,ZC3-DEC,-0.3082643473474615,-1.32065738394981
2002,ZC4-CLG,-0.03562046832087954,-1.084449608590759
2002,ZC5-CSM,-0.7253597418927646,-1.351712426831932
2003,Total,-0.5151928690494392,-0.20530747801414775
2003,ZC1-EUP,-0.8295015044319025,-0.20713609095768282
2003,ZC2-AMP,0.4345109456938609,0.7421826658307993
2003,ZC3-DEC,-0.8431866406346941,-0.12651940993387822
2003,ZC4-CLG,-0.6280597413489931,-0.18963379178243642
2003,ZC5-CSM,-0.1467935605581474,-0.2907820601733813
2004,Total,-0.4433667136437812,-0.2419399158735907
2004,ZC1-EUP,-0.5989933255870578,0.09455719262626425
2004,ZC2-AMP,-0.08720373292208643,0.9255771571837906
2004,ZC3-DEC,-0.6361597504922345,-0.41595705088186596
2004,ZC4-CLG,-0.5109348328420106,-0.20337913695142193
2004,ZC5-CSM,-0.324292125781556,-0.6821344480838507
2005,Total,-0.5792180124447762,-0.06591961109623778
2005,ZC1-EUP,-0.6143458154869124,0.06862631976852085
2005,ZC2-AMP,-0.46853015298451167,0.40382728900531817
2005,ZC3-DEC,-0.5154646908739577,-0.1291388866835207
2005,ZC4-CLG,-0.3910494358717631,-0.05950356459163797
2005,ZC5-CSM,-0.16812346623913654,-0.22001291393072647
2006,Total,-0.45031028574314635,-0.8542446396283143
2006,ZC1-EUP,-0.3636151332751931,-1.1059123566301576
2006,ZC2-AMP,0.05923770344903927,-1.0198428464311404
2006,ZC3-DEC,-0.8669937688589096,-0.826456349549533
2006,ZC4-CLG,-0.677494601396346,-0.9197782111739514
2006,ZC5-CSM,-0.05723148270851377,-0.4933489083371837
2007,Total,0.5314668552739968,0.0800298235044871
2007,ZC1-EUP,0.16957020579522128,-0.08483951524285745
2007,ZC2-AMP,0.6604166180486986,-0.10435469517879996
2007,ZC3-DEC,0.2652271731725257,-0.06924115762849514
2007,ZC4-CLG,0.30339208766033204,0.07286078538915197
2007,ZC5-CSM,0.7772550274261237,0.25465302092730185
2008,Total,-0.9974320812711943,-0.3277238238341761
2008,ZC1-EUP,-1.1540341413772934,0.06074292820852646
2008,ZC2-AMP,-1.1192242298222583,0.47939082661068555
2008,ZC3-DEC,-1.0016824606999344,-0.6747214265069024
2008,ZC4-CLG,-1.3515005747185063,-0.3791147408540011
2008,ZC5-CSM,-0.27415417133779935,-0.7843979646599671
2009,Total,-0.1441574897957676,-0.25413712029036534
2009,ZC1-EUP,0.3046094469571863,-0.5001730689355846
2009,ZC2-AMP,-0.14715437903373307,-0.550893807350266
2009,ZC3-DEC,-0.8128313088473589,-0.630576502310548
2009,ZC4-CLG,-0.24121344042426407,-0.34293724236633644
2009,ZC5-CSM,0.3517399937485688,0.052097706176321146
2012,Total,1.2678009345472034,0.4766778375188576
2012,ZC1-EUP,1.2249411177572067,-0.25125532370663806
2012,ZC2-AMP,0.8535966678402355,-1.0965562704814378
2012,ZC3-DEC,0.6157302120090826,0.19024423262555198
2012,ZC4-CLG,1.0404232440383907,0.32096199189838354
2012,ZC5-CSM,0.7502019373472493,1.01146708253864
2013,Total,-0.37988118442663493,-0.8231389542774263
2013,ZC1-EUP,-0.24559792580905324,-0.6449936231351013
2013,ZC2-AMP,-0.4408263018414961,-0.36760897837750056
2013,ZC3-DEC,-0.7744494150659468,-0.8889143336234621
2013,ZC4-CLG,0.05160257644080941,-0.7596134169009994
2013,ZC5-CSM,-0.3366653343063382,-0.9617175879111582
2014,Total,-0.8804163524615394,-0.6634643424473696
2014,ZC1-EUP,-0.4421134915286568,-0.8742389856604597
2014,ZC2-AMP,-0.6011393079797154,-0.4007304042585391
