year,group,obs_anom,model_anom
2000,Total,1.0588095046120776,1.1256524422045375
2000,ZS2-CTH,0.27111590496699023,1.4294983589182144
2000,ZS3-CHA,1.296016009151522,1.4767444167114983
2000,ZS4-LAR,0.34641831756245917,1.0590292713571423
2001,Total,0.9008467481426997,-0.49462009470459717
2001,ZS2-CTH,-0.45187973442122287,-0.6168881305111409
2001,ZS3-CHA,1.1490324313728062,-0.17552119146334774
2001,ZS4-LAR,-0.3354940142556583,-0.4591536092327294
2002,Total,-0.8128788512052731,-1.1739961673186514
2002,ZS2-CTH,-0.38078408870385133,-1.2532904200867745
2002,ZS3-CHA,-0.6328965657417615,-0.7700147319066625
2002,ZS4-LAR,-2.6719389623191803,-1.1402539582823161
2003,Total,-0.9146166451776759,-0.07752036872669078
2003,ZS2-CTH,-1.2371286874872902,-0.0751884975549728
2003,ZS3-CHA,-0.6685388405904019,0.5963861756906561
2003,ZS4-LAR,-1.197115916904016,-0.0796316846793659
2004,Total,-0.45000164083363403,-0.47757947449081406
2004,ZS2-CTH,-0.7463161927876821,-0.4647795843306704
2004,ZS3-CHA,-0.2841641134264875,0.3640540418251564
2004,ZS4-LAR,-0.35537399770812467,-0.5021658269083132
2005,Total,-0.11437879057709202,0.02400026972996694
2005,ZS2-CTH,0.31605960345139306,-0.1596395532031611
2005,ZS3-CHA,-0.28567997126298045,0.020898047926347085
2005,ZS4-LAR,0.16871683991203856,0.040277126465222746
2006,Total,0.04060758414326806,-0.04444559785869543
2006,ZS2-CTH,-0.8068426725297255,-0.6824729382135176
2006,ZS3-CHA,0.12020378953757213,-0.8485521462014564
2006,ZS4-LAR,0.46869737366495673,0.04043390603168447
2007,Total,0.423718518774907,0.6916461132738799
2007,ZS2-CTH,0.36246149942261524,0.10958755539875602
2007,ZS3-CHA,0.5374663785641808,0.3681222063048329
2007,ZS4-LAR,0.37229939906936754,0.6997837666485448
2008,Total,-0.9698648000498373,-1.0024512642691144
2008,ZS2-CTH,-1.4305015978540767,-0.5444675407773178
2008,ZS3-CHA,-0.7557971134505135,0.13968189692489874
2008,ZS4-LAR,-1.2326025581374245,-1.111315711484177
2009,Total,-0.9287649836822309,0.3987170062528514
2009,ZS2-CTH,-0.27971557019909293,-0.08874187573383618
2009,ZS3-CHA,-0.8509843844540129,0.13340809712252585
2009,ZS4-LAR,-1.484528354431033,0.4195191861818998
2012,Total,0.19065077678605757,0.8950493704688117
2012,ZS2-CTH,0.8656628995846322,0.7507846536509382
2012,ZS3-CHA,0.1249967259499234,0.4966409736436088
2012,ZS4-LAR,-0.5644730311231695,0.8851511236987405
2013,Total,-0.5182361917541851,-0.9193439970405479
2013,ZS2-CTH,-0.6600602483553405,-0.8908525364493977
2013,ZS3-CHA,-0.5777628143110515,-0.5255514422572322
2013,ZS4-LAR,-0.33315811742627965,-0.9503061001761199
2014,Total,-1.4850532888215267,-0.7735106426027533
2014,ZS2-CTH,-1.6592477674325181,-0.40471744601849124
2014,ZS3-CHA,-1.2875710601658639,-0.07268440510733991
2014,ZS4-LAR,-1.163152157929985,-0.7943622293887906
2015,Total,0.27573088122956174,0.43644948555883545
2015,ZS2-CTH,0.0015802973044979146,0.5576765944971211
2015,ZS3-CHA,0.29404228579492986,0.37285812430869897
2015,ZS4-LAR,0.018108928124233484,0.43982512716746186
2016,Total,0.4002925780363269,0.39385016307712256
2016,ZS2-CTH,0.6762762655648067,0.5371498749819102
2016,ZS3-CHA,0.24164844982355324,0.5473091097521785
2016,ZS4-LAR,0.5657230337108909,0.3725095684161859
2017,Total,-0.2917980748402833,-0.5358140035782615
2017,ZS2-CTH,-0.07949755461598867,-1.0034102970585344
2017,ZS3-CHA,-0.28087997728263386,-1.5195778631138552
2017,ZS4-LAR,0.33001947057592124,-0.46397607295725035
2018,Total,0.18664818591724378,-0.22220807790635294
2018,ZS2-CTH,0.331110261594471,-0.12860153591340054
2018,ZS3-CHA,0.2185962539210003,0.0026411399867883128
2018,ZS4-LAR,-0.22350423722970028,-0.24686245583397715
