year,group,obs_anom,model_anom
2000,Total,0.236721893526246,0.07136140425156175
2000,ZC1-EUP,0.7035140494320231,0.7942026686867525
2000,ZC2-AMP,0.10088273162775531,1.292764292365447
2000,ZC3-DEC,-0.013847673234991358,0.6779676610716001
2000,ZC4-CLG,0.08750914784228708,-0.009099579949027489
2000,ZC5-CSM,-0.1162365087341778,-1.0614777976131275
2001,Total,-0.08905515787335404,0.727482042994151
2001,ZC1-EUP,0.37976179664671317,1.1162690704168394
2001,ZC2-AMP,0.11347850677137412,1.3926755700045679
2001,ZC3-DEC,0.10822917152562016,1.1534431250284731
2001,ZC4-CLG,-0.20031092044387902,0.6660740721981695
2001,ZC5-CSM,-0.37100835101378377,-0.4143557975916215
2003,Total,0.36861546178420823,0.427354712593259
2003,ZC1-EUP,-0.35559716117098966,1.1406285388871855
2003,ZC2-AMP,0.7704542764418245,1.5755400908325603
2003,ZC3-DEC,-2.4919529867727186,0.9604546307041186
2003,ZC4-CLG,0.36050460624853514,0.28465426845639763
2003,ZC5-CSM,0.986153760000328,-0.950393858726092
2004,Total,-1.2616072172982473,1.0358137742459979
2004,ZC1-EUP,-1.3847775022045952,1.2900641350369133
2004,ZC2-AMP,-0.6096994937966578,0.9815132282253645
2004,ZC3-DEC,-0.7293636284478716,0.9865120794988039
2004,ZC4-CLG,-0.47991923927482016,0.9381288854086344
2004,ZC5-CSM,-1.0205969017030125,0.08652310384105144
2005,Total,-0.9729231991461662,1.473842422559261
2005,ZC1-EUP,-0.7003781544533817,1.2526868195660896
2005,ZC2-AMP,-0.09935480293003293,0.30282844368323697
2005,ZC3-DEC,-0.7953117095813107,1.1712133035614445
2005,ZC4-CLG,-0.5201946442862944,1.4087451589699083
2005,ZC5-CSM,-0.7712045706206723,1.0837519725878182
2007,Total,0.5563984642636679,1.0804049090176187
2007,ZC1-EUP,-1.0129323123435452,0.8554400963678028
2007,ZC2-AMP,0.18720828578577137,-0.0850212308060122
2007,ZC3-DEC,0.5580820208853055,0.48062728462967286
2007,ZC4-CLG,0.45070370574812696,1.0835353911011
2007,ZC5-CSM,1.7450170772944698,0.9766547571477074
2008,Total,0.11093811651100717,0.810523326532713
