year,group,obs_anom,model_anom
2003,Total,-0.09581302907934845,1.7237109245522426
2003,ZC1-EUP,-0.018376429489330937,1.6649363647915798
2003,ZC2-AMP,0.024291880694313473,2.006093333821816
2003,ZC3-DEC,-0.39147333499214315,1.8029325112387014
2003,ZC4-CLG,-0.19642213065996647,1.6370680565953044
2003,ZC5-CSM,-0.02135810215659829,1.5419971920657962
2004,Total,-0.14235026022358194,0.94328171733426
2004,ZC1-EUP,-0.30756213635768953,1.0607710560703634
2004,ZC2-AMP,-0.04313984068685225,1.2274501152048838
2004,ZC3-DEC,-0.06881689640184467,0.892186588225798
2004,ZC4-CLG,0.3151130687358983,0.8484035903900589
2004,ZC5-CSM,0.28821345797248676,0.7225656577890183
2005,Total,-0.30259021745883885,0.49811132080101456
2005,ZC1-EUP,-0.9893234680949732,0.6629845303356511
2005,ZC2-AMP,0.1846200102114936,1.6158610359516494
2005,ZC3-DEC,-0.07002838901520865,0.6470513179614676
2005,ZC4-CLG,-0.34367525899140544,0.39281139037795326
2005,ZC5-CSM,0.5436534729452364,-0.13571210014863963
2006,Total,-0.5369337100548595,0.5286476605787037
2006,ZC1-EUP,-0.19774744909158024,0.4486976809615488
2006,ZC2-AMP,-1.0325904590487542,1.194584504517865
2006,ZC3-DEC,0.7478150780610421,0.6482515012037503
2006,ZC4-CLG,-0.16790664299408725,0.5492825209788045
2006,ZC5-CSM,-0.6836596510080535,0.22407122615626165
2007,Total,-0.6434998698320841,1.6958721869483075
2007,ZC1-EUP,,1.725858576733541
2007,ZC2-AMP,0.3952938565162543,1.6891624860728616
2007,ZC3-DEC,-1.4226830939257882,1.6544726010636686
2007,ZC4-CLG,-0.10083959722033319,1.722255049125222
2007,ZC5-CSM,-1.3232565617981435,1.4095887341878
2008,Total,-0.6103345301198851,1.8433612646992006
2008,ZC1-EUP,0.47071825102660864,1.9017925155086721
2008,ZC2-AMP,-0.6978355951257778,2.0043304791775296
2008,ZC3-DEC,-0.28658148751004997,1.9303399258325815
2008,ZC4-CLG,-1.1998892056337982,1.8455634098532596
2008,ZC5-CSM,-1.1387811760747284,1.4389051294527264
2009,Total,-0.5112568352959151,-0.13326794208109982
2009,ZC1-EUP,0.23500566475831214,-0.22548033735366907
2009,ZC2-AMP,-0.7966731146178128,-0.33053819027302334
2009,ZC3-DEC,-0.3544051132251812,-0.274605678452233
2009,ZC4-CLG,-1.274665659118357,-0.10392639074878796
2009,ZC5-CSM,-0.8869013861268198,0.07873919543218687
2010,Total,-0.750440141186476,1.0141565988219905
2010,ZC1-EUP,0.05177626006538534,0.9916046941176331
2010,ZC2-AMP,-0.893236732091669,1.17869422757956
2010,ZC3-DEC,-0.07535642933331488,1.084788546182142
2010,ZC4-CLG,-0.6843446866015249,0.9916015948160612
2010,ZC5-CSM,-0.45390459658350313,0.8602256828919719
2011,Total,1.1898755565491583,-0.280815067030177
2011,ZC1-EUP,1.1173148781262194,-0.3452669218904332
2011,ZC2-AMP,0.4279221729345886,0.08853112208979126
2011,ZC3-DEC,0.013708518956178417,-0.3167729033763965
2011,ZC4-CLG,1.1332572831942143,-0.1867843721806983
2011,ZC5-CSM,0.9393139326034474,-0.45597179667927235
2012,Total,0.19085982893693684,-0.43589056944994753
2012,ZC1-EUP,-0.12045777812447638,-0.47259433826419855
2012,ZC2-AMP,0.31445814298413055,-0.4289032152001358
2012,ZC3-DEC,-0.3488342721116015,-0.47551715947740464
2012,ZC4-CLG,0.22829092009672758,-0.28459253216648767
2012,ZC5-CSM,0.19996866697405005,-0.5303401802825698
2013,Total,0.5660143699855109,-1.1939022491447342
2013,ZC1-EUP,0.21219340506276843,-1.1449403232756536
2013,ZC2-AMP,0.534166063569525,-0.9560683792063364
2013,ZC3-DEC,-0.015134730219208784,-1.1557506040595693
2013,ZC4-CLG,0.846660698968953,-1.173387470890036
2013,ZC5-CSM,0.6252453641401787,-1.255568160977937
2014,Total,0.15397908636955787,-0.770918106894657
2014,ZC1-EUP,-0.3314404278199907,-0.8041717761411725
2014,ZC2-AMP,0.3922255891676992,-0.5372613669383686
2014,ZC3-DEC,0.22257099675807973,-0.7633662765209622
2014,ZC4-CLG,0.40070912149707977,-0.7906697293101164
2014,ZC5-CSM,0.3900173125814509,-0.7607330609642311
2015,Total,0.07767860246061639,-0.5642143710593525
2015,ZC1-EUP,0.12292761114305123,-0.5691524368139691
2015,ZC2-AMP,0.08765568522948568,-0.6450490764192045
2015,ZC3-DEC,0.16664517339091134,-0.5108416170097939
2015,ZC4-CLG,0.012888598430079336,-0.5874830964328323
2015,ZC5-CSM,0.15393586566395034,-0.4053603697407325
2016,Total,0.32044568708018384,-0.28386392733592775
2016,ZC1-EUP,-0.008734164930808683,-0.1308557420182456
2016,ZC2-AMP,0.26956666410409297,-0.16609370073641994
2016,ZC3-DEC,-0.13775343479468932,-0.28461611888620386
2016,ZC4-CLG,0.6919106151615018,-0.32873700655765575
2016,ZC5-CSM,0.2705822171814101,-0.4135507269413202
2017,Total,0.17057445645839545,-0.38963903856479903
2017,ZC1-EUP,-0.36016569011021704,-0.5606755850247643
2017,ZC2-AMP,0.4861122567353087,-1.0092695233916835
2017,ZC3-DEC,0.48335450842234096,-0.46781507027996955
2017,ZC4-CLG,0.13782157146253732,-0.3162162581698145
