year,group,obs_anom,model_anom
2000,Total,1.3382570669952667,1.2837684236683011
2000,ZC1-EUP,1.0479423565744423,1.1380264035149468
2000,ZC2-AMP,1.2218823406241506,0.8566468275306058
2000,ZC3-DEC,0.16061085229941932,1.1589983128457808
2000,ZC4-CLG,1.6182721494370522,1.209908857585076
2000,ZC5-CSM,0.7356959204522324,1.3361193977138583
2001,Total,0.03619663704141163,-0.9489875137792094
2001,ZC1-EUP,0.05462897891749554,-1.0660325217381716
2001,ZC2-AMP,-0.38051345673665987,-0.6376133661534975
2001,ZC3-DEC,-0.624099062415126,-1.0069560210362787
2001,ZC4-CLG,0.37001332088832417,-1.016726142994135
2001,ZC5-CSM,0.28228495931857883,-0.738217625100251
2002,Total,-0.5198371364031994,-1.3264799869562192
2002,ZC1-EUP,0.07666087231726272,-1.028041956796605
2002,ZC2-AMP,-0.11139862709915653,-0.7196283731473719
2002,ZC3-DEC,-0.3082643473474615,-1.446511268719543
2002,ZC4-CLG,-0.03562046832087954,-1.4080162550209594
2002,ZC5-CSM,-0.7253597418927646,-1.4920875376657425
2003,Total,-0.5151928690494392,-0.07574962975458524
2003,ZC1-EUP,-0.8295015044319025,-0.3344344642014542
2003,ZC2-AMP,0.4345109456938609,0.3639094946406237
2003,ZC3-DEC,-0.8431866406346941,0.025349017811368852
2003,ZC4-CLG,-0.6280597413489931,-0.07004761525549584
2003,ZC5-CSM,-0.1467935605581474,0.031735265927908894
2004,Total,-0.4433667136437812,-0.5519473718626088
2004,ZC1-EUP,-0.5989933255870578,-0.3451705670099773
2004,ZC2-AMP,-0.08720373292208643,0.1711791506846109
2004,ZC3-DEC,-0.6361597504922345,-0.5832301936505185
2004,ZC4-CLG,-0.5109348328420106,-0.5742812797659885
2004,ZC5-CSM,-0.324292125781556,-0.8026574146866828
2005,Total,-0.5792180124447762,-0.13665269305802624
2005,ZC1-EUP,-0.6143458154869124,-0.10590365647471806
2005,ZC2-AMP,-0.46853015298451167,0.08091562226303034
2005,ZC3-DEC,-0.5154646908739577,-0.1216150860545469
2005,ZC4-CLG,-0.3910494358717631,-0.14371016626651428
2005,ZC5-CSM,-0.16812346623913654,-0.18353872408833538
2006,Total,-0.45031028574314635,-0.5883615427160216
2006,ZC1-EUP,-0.3636151332751931,-1.0333199637471027
2006,ZC2-AMP,0.05923770344903927,-0.9594272928124379
2006,ZC3-DEC,-0.8669937688589096,-0.5711341151003934
2006,ZC4-CLG,-0.677494601396346,-0.6192941793313287
2006,ZC5-CSM,-0.05723148270851377,-0.14122741261058047
2007,Total,0.5314668552739968,0.24788699619308843
