year,group,obs_anom,model_anom
2000,Total,1.0588095046120776,1.031194736562758
2000,ZS2-CTH,0.27111590496699023,1.389390406184332
2000,ZS3-CHA,1.296016009151522,1.5404195696084333
2000,ZS4-LAR,0.34641831756245917,0.9349381247254416
2001,Total,0.9008467481426997,-0.5122411444767687
2001,ZS2-CTH,-0.45187973442122287,-0.8119357488397032
2001,ZS3-CHA,1.1490324313728062,-0.5302761024045504
2001,ZS4-LAR,-0.3354940142556583,-0.4543740489468843
2002,Total,-0.8128788512052731,-1.3864800071780374
2002,ZS2-CTH,-0.38078408870385133,-1.3902024990465096
2002,ZS3-CHA,-0.6328965657417615,-0.9943822283758604
2002,ZS4-LAR,-2.6719389623191803,-1.3460059326428686
2003,Total,-0.9146166451776759,0.13393091289771059
2003,ZS2-CTH,-1.2371286874872902,0.09601455145135986
2003,ZS3-CHA,-0.6685388405904019,0.4886334249727308
2003,ZS4-LAR,-1.197115916904016,0.11866426755314945
2004,Total,-0.45000164083363403,-0.5420375246633542
2004,ZS2-CTH,-0.7463161927876821,-0.7079784803126679
2004,ZS3-CHA,-0.2841641134264875,-0.14259201138267524
2004,ZS4-LAR,-0.35537399770812467,-0.5395698765594907
2005,Total,-0.11437879057709202,0.0819934173739496
2005,ZS2-CTH,0.31605960345139306,-0.1753813471717416
2005,ZS3-CHA,-0.28567997126298045,-0.08263866238392736
2005,ZS4-LAR,0.16871683991203856,0.10874276911049646
2006,Total,0.04060758414326806,0.18888018105423732
2006,ZS2-CTH,-0.8068426725297255,-0.3260460985020684
2006,ZS3-CHA,0.12020378953757213,-0.5746454801924897
2006,ZS4-LAR,0.46869737366495673,0.2703965604391369
2007,Total,0.423718518774907,0.8023453562737747
2007,ZS2-CTH,0.36246149942261524,0.34995553583841676
2007,ZS3-CHA,0.5374663785641808,0.43450081459691114
2007,ZS4-LAR,0.37229939906936754,0.807438479915137
2008,Total,-0.9698648000498373,-1.2492274891720607
2008,ZS2-CTH,-1.4305015978540767,-0.7343872997608147
2008,ZS3-CHA,-0.7557971134505135,-0.1227056820084137
2008,ZS4-LAR,-1.2326025581374245,-1.3587132218049554
2009,Total,-0.9287649836822309,0.5359956222031692
2009,ZS2-CTH,-0.27971557019909293,-0.008632698472626543
2009,ZS3-CHA,-0.8509843844540129,0.08167847003298245
2009,ZS4-LAR,-1.484528354431033,0.5685837360744811
2012,Total,0.19065077678605757,0.8726606872094385
2012,ZS2-CTH,0.8656628995846322,0.9217829103471686
2012,ZS3-CHA,0.1249967259499234,0.7161505122827497
2012,ZS4-LAR,-0.5644730311231695,0.8481530298183134
2013,Total,-0.5182361917541851,-0.945825985379209
2013,ZS2-CTH,-0.6600602483553405,-1.0444238643852644
2013,ZS3-CHA,-0.5777628143110515,-0.8830298065062403
2013,ZS4-LAR,-0.33315811742627965,-0.9375143409930496
2014,Total,-1.4850532888215267,-0.8154231091200072
2014,ZS2-CTH,-1.6592477674325181,-0.6770972145520465
2014,ZS3-CHA,-1.2875710601658639,-0.3984910134526538
2014,ZS4-LAR,-1.163152157929985,-0.8250034751362824
2015,Total,0.27573088122956174,0.5169185418396847
2015,ZS2-CTH,0.0015802973044979146,0.6405866219562176
2015,ZS3-CHA,0.29404228579492986,0.556456025909115
2015,ZS4-LAR,0.018108928124233484,0.4960984558206154
2016,Total,0.4002925780363269,0.33806760413683334
2016,ZS2-CTH,0.6762762655648067,0.49343142511774196
2016,ZS3-CHA,0.24164844982355324,0.49057000537753637
2016,ZS4-LAR,0.5657230337108909,0.3152106197971031
2017,Total,-0.2917980748402833,-0.4334499598211697
2017,ZS2-CTH,-0.07949755461598867,-0.8348282391930741
2017,ZS3-CHA,-0.28087997728263386,-1.2239659533072234
2017,ZS4-LAR,0.33001947057592124,-0.34783141033771103
2018,Total,0.18664818591724378,-0.3916296599113457
2018,ZS2-CTH,0.331110261594471,-0.21298063088778726
2018,ZS3-CHA,0.2185962539210003,-0.10744909925611136
2018,ZS4-LAR,-0.22350423722970028,-0.41279103325897815
