year,group,obs_anom,model_anom
2000,Total,-0.31086196375862285,-0.9373979665882533
2000,ZS2-CTH,-1.6796669420432329,-0.8649937034066144
2000,ZS3-CHA,-0.03404469391640286,0.19265082334905187
2000,ZS4-LAR,-0.49921863457458066,-1.0267585364617338
2001,Total,-0.11842532523017617,-0.24301843023223438
2001,ZS2-CTH,-0.994068813452358,-0.36284940551700745
2001,ZS3-CHA,0.11500815839179145,0.922255472208851
2001,ZS4-LAR,-0.8528676757914186,-0.3392302275293538
2003,Total,0.548289751399518,-0.3869619029181868
2003,ZS2-CTH,-0.008791714109588006,-0.8819423398483676
2003,ZS3-CHA,0.6969250149650208,0.25796844575217037
2003,ZS4-LAR,-0.09954676354067939,-0.407502129567732
2004,Total,-1.3794857037829378,0.35074548896657576
2004,ZS2-CTH,-0.9748729126151293,0.12373497965310747
2004,ZS3-CHA,-1.1298098337776945,0.6860197356040479
2004,ZS4-LAR,-0.6078133486917887,0.313929603702469
2005,Total,-0.5813084364660592,0.9790355837444268
2005,ZS2-CTH,-0.03189456403131988,1.0957718061434807
2005,ZS3-CHA,-0.4536816241644707,1.5757358939208106
2005,ZS4-LAR,-1.3621664336411694,0.8881389767720275
2007,Total,-0.4427405796267222,0.830849248297209
2007,ZS2-CTH,-0.4976317822783594,0.9129401367804749
2007,ZS3-CHA,-0.29480141375073293,1.098162422313208
2007,ZS4-LAR,0.3009099710281448,0.779990827718832
2008,Total,-0.5172479701810081,1.0010938879393385
2008,ZS2-CTH,0.275714114440651,0.9409079331342478
2008,ZS3-CHA,-0.572947700210693,0.9847470582156764
2008,ZS4-LAR,-0.8905562357895491,0.9680560283595466
2009,Total,0.039912863184965994,0.46777738553527975
2009,ZS2-CTH,-0.7052695479852418,0.5122705078874582
2009,ZS3-CHA,-0.1531151079907424,0.6429750875697018
2009,ZS4-LAR,0.6267612467776973,0.4410797532038018
2010,Total,-0.501532734510328,1.0537575122994791
2010,ZS2-CTH,-0.11885186904795687,1.1260357786505417
2010,ZS3-CHA,-0.44267487803555544,1.697694603129399
2010,ZS4-LAR,-0.15661064310451828,0.9503618415411302
2011,Total,0.7077255540179356,1.5080399390016963
2011,ZS2-CTH,0.9434748255295009,0.5599837811031905
2011,ZS3-CHA,0.512973240450584,-0.7144019952504438
2011,ZS4-LAR,0.031724185639266676,1.6247645855144803
2012,Total,-1.4842600514943078,1.5779843366765596
2012,ZS2-CTH,-1.1668406518138765,1.0081953445002774
2012,ZS3-CHA,-1.415730015063001,0.2767206416276565
2012,ZS4-LAR,-0.5610250585097517,1.6250911459109965
2013,Total,-0.2892162491201921,0.09609472650109638
2013,ZS2-CTH,-0.9560870767263987,0.509939927203631
2013,ZS3-CHA,-0.01049189441647109,0.5027877697454962
2013,ZS4-LAR,-1.1751281163034428,0.05409963503607746
2014,Total,-0.4798804667501285,0.6602014103897741
2014,ZS2-CTH,-0.6924404690182849,0.7214971774600812
2014,ZS3-CHA,-0.26021081788058614,0.8464002433331992
2014,ZS4-LAR,-0.8115536421249999,0.6257619837431001
2015,Total,0.3076086076572676,-0.8473842878256412
2015,ZS2-CTH,-0.40122985337922096,-0.6434164674907239
2015,ZS3-CHA,0.40641601496937046,-0.2831083800759823
2015,ZS4-LAR,-0.06462062427082976,-0.8778748269298959
2016,Total,-0.022952418456842115,-0.23931954206325337
2016,ZS2-CTH,0.5684369075472334,-0.1873640419934946
2016,ZS3-CHA,-0.1610106588826318,-0.08264951497403279
2016,ZS4-LAR,0.20281473405950065,-0.2398627923919796
2017,Total,0.6411124222859614,-0.09443862283907258
2017,ZS2-CTH,0.8241524529636328,-0.27242680373017736
2017,ZS3-CHA,0.5330852296602588,-1.2069805554505908
2017,ZS4-LAR,0.7008710916381967,0.008265098918081396
2018,Total,0.2170848088795582,-0.15853510714205168
2018,ZS2-CTH,0.180768771104759,-0.2677382786090234
2018,ZS3-CHA,0.33916228019063327,-0.6380686771884944
2018,ZS4-LAR,-0.8691762530939287,-0.09178810900754894
