year,group,obs_anom,model_anom
2003,Total,-0.3884835673460217,2.013635385108253
2003,ZS2-CTH,-0.5186607236389088,1.5563287108510921
2003,ZS3-CHA,-0.04810127675440506,2.05096067136201
2003,ZS4-LAR,-0.6278680293616699,-0.16830879286023234
2004,Total,-0.06152657675759611,1.1155841376622986
2004,ZS2-CTH,-0.300349926953833,0.8148533323515013
2004,ZS3-CHA,0.2320816285882606,1.3517442865123157
2004,ZS4-LAR,-0.4583817354817791,-0.2970976069639104
2005,Total,-0.03579819785132777,1.269567988662008
2005,ZS2-CTH,1.1237392960600283,0.269401890318594
2005,ZS3-CHA,0.07899228372717779,1.2133890446072189
2005,ZS4-LAR,,0.6523045154873752
2006,Total,-0.4755420128624545,0.7661823568611521
2006,ZS2-CTH,0.1779480944770624,0.5539362224636879
2006,ZS3-CHA,-0.7394544231831818,0.7598222942841488
2006,ZS4-LAR,-0.36795047371036427,0.18224003360280355
2007,Total,-2.416420916916753,1.8099568965651311
2007,ZS2-CTH,-0.032462592228798694,1.4253688567351142
2007,ZS3-CHA,-2.242695602459751,1.417839856707244
2007,ZS4-LAR,,0.6580842676572355
2008,Total,-1.3343545993606076,1.2987984474854442
2008,ZS2-CTH,-0.9044188546569788,1.5951577064853018
2008,ZS3-CHA,-0.9369839348619794,1.6539569678304025
2008,ZS4-LAR,-1.0388680093505938,-1.414176559972127
2009,Total,0.4945727951985522,0.44835973491474107
2009,ZS2-CTH,-1.1141310181598656,-0.061132738998070174
2009,ZS3-CHA,-0.4768227391826023,0.14589153971720317
2009,ZS4-LAR,1.3969802039125374,0.8048233704528773
2010,Total,-1.2105948270059064,1.393752123222161
2010,ZS2-CTH,-0.9605523933070437,0.9360714460171609
2010,ZS3-CHA,-0.8239159126807918,1.2572149565441775
2010,ZS4-LAR,-0.5231954338427578,0.3763220081556244
2011,Total,0.15923747848930686,-0.6112639075933192
2011,ZS2-CTH,0.5135706140423298,-0.15707482115634186
2011,ZS3-CHA,0.24803370132465383,-0.3772098364481288
2011,ZS4-LAR,-0.289943450795117,-0.37717538204394857
2012,Total,0.4342328188251929,-0.5428619519650243
2012,ZS2-CTH,0.328437569595626,-0.3461122917927957
2012,ZS3-CHA,-0.4675639965076006,-0.7687471051838991
2012,ZS4-LAR,1.5836499916997324,0.43623261292795634
2013,Total,-0.30828280960538884,-1.3758783742382352
2013,ZS2-CTH,-0.45260371946283706,-1.2046580801186393
2013,ZS3-CHA,0.023495987627129962,-1.271872394905312
2013,ZS4-LAR,-0.17353056396733432,0.019680985296957578
2014,Total,0.18175586930678564,-0.6740484125052624
2014,ZS2-CTH,-0.2722690313088852,-0.5713308524403254
2014,ZS3-CHA,0.4553912672311603,-0.2543588504529528
2014,ZS4-LAR,-0.5557336462432513,-0.5491987343837682
2015,Total,0.3317197623796147,-0.3234806574702596
2015,ZS2-CTH,0.10559339326006703,-0.5892882967784323
2015,ZS3-CHA,0.4013955265026668,-0.6330059693956853
2015,ZS4-LAR,0.11739365380543863,0.7314297067161022
2016,Total,0.12306871309174298,-0.37907494558608656
2016,ZS2-CTH,0.8547717004244538,-0.3139898986122384
2016,ZS3-CHA,0.23977674780558025,-0.27422433326495066
2016,ZS4-LAR,-0.499194939880857,-0.11459068487608928
2017,Total,0.48782478325648454,-1.0256114790829052
2017,ZS2-CTH,0.9092092459162083,-0.23648424567964296
2017,ZS3-CHA,0.3497688955193643,-1.0489409595000274
2017,ZS4-LAR,0.2511204794269453,-0.2821461934860593
2018,Total,0.17534190178397702,-0.545859975189521
2018,ZS2-CTH,0.17627379614208827,0.055381360732344814
2018,ZS3-CHA,0.3161926423933294,-0.4659151266904731
2018,ZS4-LAR,0.2774724782219985,-0.4956839636677497
