year,group,obs_anom,model_anom
2002,Total,0.5865239991904485,-0.48467761172027146
2002,ZS2-CTH,0.06162483943148888,-0.9186132798765243
2002,ZS3-CHA,0.7139631127004871,-0.4279674883978292
2002,ZS4-LAR,-1.0141538079515684,0.2297086893465344
2004,Total,1.0806706812464628,1.6962830234295998
2004,ZS2-CTH,-0.17132645381028236,1.1443219899219883
2004,ZS3-CHA,1.1836489344688679,2.162433964918092
2004,ZS4-LAR,-0.5872316398068608,-1.6582642433991746
2005,Total,0.2263248117709172,0.6419032516909962
2005,ZS2-CTH,0.26584872534170273,0.28855622841703044
2005,ZS3-CHA,0.3343607405473728,0.7970744928764467
2005,ZS4-LAR,-2.127597657946859,-0.5166846189156126
2007,Total,-0.1036133260751553,1.0938524874085551
2007,ZS2-CTH,-0.1403257499103418,0.4694938508605164
2007,ZS3-CHA,-0.02771907971676224,1.316890920103846
2007,ZS4-LAR,0.41446642631912056,-0.4953726219988157
2008,Total,-0.07509913548710587,-0.4344302887154429
2008,ZS2-CTH,-0.677387172045667,-0.5277984572237611
2008,ZS3-CHA,0.10813841607120023,-0.03544406460152512
2008,ZS4-LAR,-0.14491820850983228,-0.9285946548237481
2009,Total,-1.0533489240037337,0.17920529889902725
2009,ZS2-CTH,-0.5465597689510469,-0.5164143889666433
2009,ZS3-CHA,-1.2261755919929638,-0.3826659652931045
2009,ZS4-LAR,0.631373876399138,1.4682304377104451
2010,Total,-0.6035755212499855,-0.30576778205191146
2010,ZS2-CTH,-0.764802612887954,-0.23029327046744413
2010,ZS3-CHA,-0.41988249608982997,-0.1194734198121978
2010,ZS4-LAR,-0.17313319383434075,-0.3050608928040865
2011,Total,-1.2249283718871002,-0.41128299260716167
2011,ZS2-CTH,-1.8408027438680734,-0.7662274488435872
2011,ZS3-CHA,-0.9959831811672899,-0.33421691238328577
2011,ZS4-LAR,-0.1596000278474917,0.12166330473781271
2015,Total,0.28933504697137874,-0.35372315450849356
2015,ZS2-CTH,0.2989890461994977,-0.2128165414374146
2015,ZS3-CHA,0.3253036658301646,-0.3454394783620361
2015,ZS4-LAR,0.007243153758641041,0.16364179840027002
2016,Total,0.37669835758391246,0.7032336498797863
2016,ZS2-CTH,0.714580447910405,0.7195142247158409
2016,ZS3-CHA,0.29360585479842094,0.3140242915708009
2016,ZS4-LAR,-0.1752665764068746,0.9295142689609676
2017,Total,0.16060146140395795,-0.6264089256902445
2017,ZS2-CTH,0.2297174359991508,0.0961257134031128
2017,ZS3-CHA,0.07515505851719143,-0.39617449735191806
2017,ZS4-LAR,0.9390010170612195,-0.7538952696371191
2018,Total,0.6589325256591029,0.029773524680954705
2018,ZS2-CTH,0.977523644131776,0.7317566049119578
2018,ZS3-CHA,0.5399283074244957,0.36337091089672763
2018,ZS4-LAR,0.32708492186293464,-1.2554852739580846
