year,group,obs_anom,model_anom
2003,Total,-0.09581302907934845,1.6171271960933522
2003,ZC1-EUP,-0.018376429489330937,1.6128778003585127
2003,ZC2-AMP,0.024291880694313473,2.116545051179043
2003,ZC3-DEC,-0.39147333499214315,1.7645073527974828
2003,ZC4-CLG,-0.19642213065996647,1.4133265859988644
2003,ZC5-CSM,-0.02135810215659829,1.3121576807652302
2004,Total,-0.14235026022358194,0.7281821175346137
2004,ZC1-EUP,-0.30756213635768953,0.8142711987484088
2004,ZC2-AMP,-0.04313984068685225,1.2513349232000825
2004,ZC3-DEC,-0.06881689640184467,0.810176719256675
2004,ZC4-CLG,0.3151130687358983,0.6641231763772419
2004,ZC5-CSM,0.28821345797248676,0.4008126943164789
2005,Total,-0.30259021745883885,0.4812683449255538
2005,ZC1-EUP,-0.9893234680949732,0.5491168273160142
2005,ZC2-AMP,0.1846200102114936,1.3541288046796804
2005,ZC3-DEC,-0.07002838901520865,0.6143764499687507
2005,ZC4-CLG,-0.34367525899140544,0.463487473437193
2005,ZC5-CSM,0.5436534729452364,0.004232377295450134
2006,Total,-0.5369337100548595,0.4192061403910881
2006,ZC1-EUP,-0.19774744909158024,0.5379890120360034
2006,ZC2-AMP,-1.0325904590487542,1.142629131835582
2006,ZC3-DEC,0.7478150780610421,0.4667826325462157
2006,ZC4-CLG,-0.16790664299408725,0.4944851684330036
2006,ZC5-CSM,-0.6836596510080535,-0.10410821473072897
2007,Total,-0.6434998698320841,1.4938326014145324
2007,ZC1-EUP,,1.6116790533614882
2007,ZC2-AMP,0.3952938565162543,1.4856235369564923
2007,ZC3-DEC,-1.4226830939257882,1.4578589831688074
2007,ZC4-CLG,-0.10083959722033319,1.531127789558943
2007,ZC5-CSM,-1.3232565617981435,1.10048785312555
2008,Total,-0.6103345301198851,1.2026734618107722
2008,ZC1-EUP,0.47071825102660864,1.6007230496899316
2008,ZC2-AMP,-0.6978355951257778,1.7262777394769155
2008,ZC3-DEC,-0.28658148751004997,1.2326572968573752
2008,ZC4-CLG,-1.1998892056337982,1.2073805363194083
2008,ZC5-CSM,-1.1387811760747284,0.5017648799040247
2009,Total,-0.5112568352959151,0.10029990703823444
2009,ZC1-EUP,0.23500566475831214,-0.073037917470166
2009,ZC2-AMP,-0.7966731146178128,-0.025664985868559934
2009,ZC3-DEC,-0.3544051132251812,0.12990347179409573
2009,ZC4-CLG,-1.274665659118357,0.09081586430177417
2009,ZC5-CSM,-0.8869013861268198,0.26581906874318173
2010,Total,-0.750440141186476,1.0661657246726048
2010,ZC1-EUP,0.05177626006538534,1.0080185303118483
2010,ZC2-AMP,-0.893236732091669,1.2148416219795646
2010,ZC3-DEC,-0.07535642933331488,1.1258510217211422
2010,ZC4-CLG,-0.6843446866015249,0.9880843278487184
2010,ZC5-CSM,-0.45390459658350313,0.921758351822716
2011,Total,1.1898755565491583,-0.7032599305196549
2011,ZC1-EUP,1.1173148781262194,-0.3841843303508337
2011,ZC2-AMP,0.4279221729345886,-0.21460222344432506
2011,ZC3-DEC,0.013708518956178417,-0.8339712579945668
2011,ZC4-CLG,1.1332572831942143,-0.4427226404058937
2011,ZC5-CSM,0.9393139326034474,-1.2159343816603672
2012,Total,0.19085982893693684,-0.5144148315620287
2012,ZC1-EUP,-0.12045777812447638,-0.374634591970296
2012,ZC2-AMP,0.31445814298413055,-0.7540326406872365
2012,ZC3-DEC,-0.3488342721116015,-0.6758913610953593
2012,ZC4-CLG,0.22829092009672758,-0.19785756612478203
2012,ZC5-CSM,0.19996866697405005,-0.6763004933246682
2013,Total,0.5660143699855109,-1.4278381335132437
2013,ZC1-EUP,0.21219340506276843,-1.2891382768939261
2013,ZC2-AMP,0.534166063569525,-1.21628759274397
2013,ZC3-DEC,-0.015134730219208784,-1.430681121645913
2013,ZC4-CLG,0.846660698968953,-1.4023123059009344
2013,ZC5-CSM,0.6252453641401787,-1.3767498740528232
2014,Total,0.15397908636955787,-0.8237556243114108
2014,ZC1-EUP,-0.3314404278199907,-0.793490926706933
2014,ZC2-AMP,0.3922255891676992,-0.39484864787973895
2014,ZC3-DEC,0.22257099675807973,-0.7435344536267872
2014,ZC4-CLG,0.40070912149707977,-0.9446023117963339
2014,ZC5-CSM,0.3900173125814509,-0.8474060464579944
2015,Total,0.07767860246061639,-0.11095314923213566
2015,ZC1-EUP,0.12292761114305123,-0.3964740647966714
2015,ZC2-AMP,0.08765568522948568,-0.6353876841083168
2015,ZC3-DEC,0.16664517339091134,-0.13521774016839472
2015,ZC4-CLG,0.012888598430079336,-0.16176616742258354
2015,ZC5-CSM,0.15393586566395034,0.3575492661112937
2016,Total,0.32044568708018384,-0.3046659829953644
2016,ZC1-EUP,-0.008734164930808683,-0.24893723771487494
2016,ZC2-AMP,0.26956666410409297,-0.2281547206714795
2016,ZC3-DEC,-0.13775343479468932,-0.2871133779741259
2016,ZC4-CLG,0.6919106151615018,-0.2895727946328002
2016,ZC5-CSM,0.2705822171814101,-0.3208145732619838
2017,Total,0.17057445645839545,-0.514630661472471
2017,ZC1-EUP,-0.36016569011021704,-0.48692685392346774
2017,ZC2-AMP,0.4861122567353087,-0.9834880488868221
2017,ZC3-DEC,0.48335450842234096,-0.6674729548565672
2017,ZC4-CLG,0.13782157146253732,-0.4439120140213167
2017,ZC5-CSM,0.28626908263484685,-0.30368807252977587
2018,Total,0.20997513881596142,-0.07931258659329801
2018,ZC1-EUP,-0.39918162298006926,-0.13266459923081186
