year,group,obs_anom,model_anom
2000,Total,1.0588095046120776,1.0722182538394098
2000,ZS2-CTH,0.27111590496699023,1.675318125592708
2000,ZS3-CHA,1.296016009151522,0.8970515970832409
2000,ZS4-LAR,0.34641831756245917,-0.16149413746414087
2001,Total,0.9008467481426997,-0.4301449638740584
2001,ZS2-CTH,-0.45187973442122287,-0.6204861158651913
2001,ZS3-CHA,1.1490324313728062,-0.8425098908578793
2001,ZS4-LAR,-0.3354940142556583,0.6688402229834185
2002,Total,-0.8128788512052731,-1.183439390977589
2002,ZS2-CTH,-0.38078408870385133,-1.5478444119592045
2002,ZS3-CHA,-0.6328965657417615,-0.9793154663982909
2002,ZS4-LAR,-2.6719389623191803,-0.10360145020062868
2003,Total,-0.9146166451776759,0.2822593045748669
2003,ZS2-CTH,-1.2371286874872902,0.0005652070134305915
2003,ZS3-CHA,-0.6685388405904019,0.1113303514084078
2003,ZS4-LAR,-1.197115916904016,0.6061568486960265
2004,Total,-0.45000164083363403,-0.4618865812089116
2004,ZS2-CTH,-0.7463161927876821,-0.9471339259045305
2004,ZS3-CHA,-0.2841641134264875,-0.004986262993386876
2004,ZS4-LAR,-0.35537399770812467,-0.3397187420270712
2005,Total,-0.11437879057709202,-0.035967966970664456
2005,ZS2-CTH,0.31605960345139306,-0.37676775312709204
2005,ZS3-CHA,-0.28567997126298045,-0.17788562902040955
2005,ZS4-LAR,0.16871683991203856,0.381866265566774
2006,Total,0.04060758414326806,-0.09876630155870869
2006,ZS2-CTH,-0.8068426725297255,-0.3599863897474475
2006,ZS3-CHA,0.12020378953757213,-0.9295576885623354
2006,ZS4-LAR,0.46869737366495673,1.119148390800302
2007,Total,0.423718518774907,0.5984937072710091
2007,ZS2-CTH,0.36246149942261524,0.2676166600892297
2007,ZS3-CHA,0.5374663785641808,0.07285818117816763
2007,ZS4-LAR,0.37229939906936754,0.8743849280322963
2008,Total,-0.9698648000498373,-1.3127587364302502
2008,ZS2-CTH,-1.4305015978540767,-0.8332363224931238
2008,ZS3-CHA,-0.7557971134505135,-0.47644134708357067
2008,ZS4-LAR,-1.2326025581374245,-1.6717688291308246
2009,Total,-0.9287649836822309,0.41997621605040103
2009,ZS2-CTH,-0.27971557019909293,0.18160090045588884
2009,ZS3-CHA,-0.8509843844540129,-0.3335924345843526
2009,ZS4-LAR,-1.484528354431033,1.0852606100265665
2012,Total,0.19065077678605757,0.5690868577688079
2012,ZS2-CTH,0.8656628995846322,1.19018378129417
2012,ZS3-CHA,0.1249967259499234,0.22819321726239847
2012,ZS4-LAR,-0.5644730311231695,0.1959964412996843
2013,Total,-0.5182361917541851,-0.9432939238934329
2013,ZS2-CTH,-0.6600602483553405,-0.8766809901538057
2013,ZS3-CHA,-0.5777628143110515,-0.8559769813729249
2013,ZS4-LAR,-0.33315811742627965,-0.4066126626821583
2014,Total,-1.4850532888215267,-0.4789764259826737
2014,ZS2-CTH,-1.6592477674325181,-0.3853663173565704
2014,ZS3-CHA,-1.2875710601658639,-0.38246726064895564
2014,ZS4-LAR,-1.163152157929985,-0.08953652841230712
2015,Total,0.27573088122956174,0.6090865638935513
2015,ZS2-CTH,0.0015802973044979146,0.4846110153585016
2015,ZS3-CHA,0.29404228579492986,0.7283446975304492
2015,ZS4-LAR,0.018108928124233484,0.04850009860105483
2016,Total,0.4002925780363269,0.4028785591774278
2016,ZS2-CTH,0.6762762655648067,0.4290675099358217
2016,ZS3-CHA,0.24164844982355324,0.5829739300115405
2016,ZS4-LAR,0.5657230337108909,-0.12974992792678863
2017,Total,-0.2917980748402833,-0.8245459052675488
2017,ZS2-CTH,-0.07949755461598867,-0.7190461545447941
2017,ZS3-CHA,-0.28087997728263386,-1.3699597729567965
2017,ZS4-LAR,0.33001947057592124,0.3707025818471941
2018,Total,0.18664818591724378,-0.28684322754422226
2018,ZS2-CTH,0.331110261594471,-0.010139064954635232
2018,ZS3-CHA,0.2185962539210003,-0.198059405847247
2018,ZS4-LAR,-0.22350423722970028,-0.3152541252572342
