season,group,obs_biomass,model_biomass
Fall,ZC1-EUP,0.8233,0.6417695948051948
Spring,ZC1-EUP,0.3837,0.2317716059130435
Summer,ZC1-EUP,1.0216,0.5635184003424657
Winter,ZC1-EUP,0.1843,0.4686072017663044
Fall,ZC2-AMP,0.6214999999999999,0.5084461828571428
Spring,ZC2-AMP,0.38079999999999997,0.2160233784347826
Summer,ZC2-AMP,0.8993000000000001,0.41584432928082193
Winter,ZC2-AMP,0.16749999999999998,0.4029644766304347
Fall,ZC3-DEC,0.045,0.09953812875324676
Spring,ZC3-DEC,0.1431,0.04237553620869565
Summer,ZC3-DEC,0.1395,0.09168581962328767
Winter,ZC3-DEC,0.043000000000000003,0.07013419555706521
Fall,ZC4-CLG,0.7083,0.7051881789610389
Spring,ZC4-CLG,0.8241,0.2547508749565217
Summer,ZC4-CLG,0.7435999999999999,0.6926957154109589
Winter,ZC4-CLG,0.2828,0.4534644470108696
Fall,ZC5-CSM,0.4943,0.6012508428571428
Spring,ZC5-CSM,0.5659,0.32057243373913047
Summer,ZC5-CSM,0.7111999999999999,0.7419320008561644
Winter,ZC5-CSM,0.23579999999999998,0.3385181293478261
Fall,Total,2.6923999999999997,2.556192928233766
Spring,Total,2.2976,1.0654938292521738
Summer,Total,3.5151999999999997,2.5056762655136984
Winter,Total,0.9134,1.7336884503125
