season,group,obs_biomass,model_biomass
Fall,ZC1-EUP,0.8233,0.5990113696078432
Spring,ZC1-EUP,0.3837,0.2748081757894737
Summer,ZC1-EUP,1.0216,0.7089124452631579
Winter,ZC1-EUP,0.1843,0.6789044204819277
Fall,ZC2-AMP,0.6214999999999999,0.4759077944636678
Spring,ZC2-AMP,0.38079999999999997,0.28972109105263155
Summer,ZC2-AMP,0.8993000000000001,0.6060890842105263
Winter,ZC2-AMP,0.16749999999999998,0.5458406222891566
Fall,ZC3-DEC,0.045,0.09106349216262975
Spring,ZC3-DEC,0.1431,0.04313228
Summer,ZC3-DEC,0.1395,0.10558331126315788
Winter,ZC3-DEC,0.043000000000000003,0.09754815361445783
Fall,ZC4-CLG,0.7083,0.7261500720299884
Spring,ZC4-CLG,0.8241,0.2987096710526316
Summer,ZC4-CLG,0.7435999999999999,0.7845929947368421
Winter,ZC4-CLG,0.2828,0.7364004542168675
Fall,ZC5-CSM,0.4943,0.6144767665513264
Spring,ZC5-CSM,0.5659,0.2513216289473684
Summer,ZC5-CSM,0.7111999999999999,0.5715027510526316
Winter,ZC5-CSM,0.23579999999999998,0.511666263253012
Fall,Total,2.6923999999999997,2.5066094948154554
Spring,Total,2.2976,1.1576928468421053
Summer,Total,3.5151999999999997,2.7766805865263158
Winter,Total,0.9134,2.570359913855422
