season,group,obs_biomass,model_biomass
Fall,ZC1-EUP,0.8233,0.6821190758362169
Spring,ZC1-EUP,0.3837,0.39417503263157894
Summer,ZC1-EUP,1.0216,0.7435608952631578
Winter,ZC1-EUP,0.1843,0.7101104524096385
Fall,ZC2-AMP,0.6214999999999999,0.7862749956747405
Spring,ZC2-AMP,0.38079999999999997,0.45065550631578943
Summer,ZC2-AMP,0.8993000000000001,1.0166468515789475
Winter,ZC2-AMP,0.16749999999999998,0.9010160602409639
Fall,ZC3-DEC,0.045,0.1894486930161476
Spring,ZC3-DEC,0.1431,0.07889800436842105
Summer,ZC3-DEC,0.1395,0.22129395473684207
Winter,ZC3-DEC,0.043000000000000003,0.19030981204819278
Fall,ZC4-CLG,0.7083,0.8892206039792387
Spring,ZC4-CLG,0.8241,0.3799779989473684
Summer,ZC4-CLG,0.7435999999999999,0.8901322821052632
Winter,ZC4-CLG,0.2828,0.8112338680722893
Fall,ZC5-CSM,0.4943,1.2152523648212228
Spring,ZC5-CSM,0.5659,0.5420074494736842
Summer,ZC5-CSM,0.7111999999999999,1.1844594363157894
Winter,ZC5-CSM,0.23579999999999998,0.9549614481927711
Fall,Total,2.6923999999999997,3.7623157333275663
Spring,Total,2.2976,1.8457139917368421
Summer,Total,3.5151999999999997,4.05609342
Winter,Total,0.9134,3.5676316409638553
