season,group,obs_biomass,model_biomass
Fall,ZS2-CTH,0.0197,0.05733375584198385
Spring,ZS2-CTH,0.0403,0.02918778642105263
Summer,ZS2-CTH,0.0637,0.04544408526315789
Winter,ZS2-CTH,0.0085,0.05478837698795181
Fall,ZS3-CHA,0.1966,0.4867506821222607
Spring,ZS3-CHA,0.3654,0.35155069
Summer,ZS3-CHA,0.3901,0.5668717926315789
Winter,ZS3-CHA,0.0787,0.5159076819277109
Fall,ZS4-LAR,0.052000000000000005,0.08117360835640139
Spring,ZS4-LAR,0.0705,0.11016883652631579
Summer,ZS4-LAR,0.0327,0.05863486342105263
Winter,ZS4-LAR,0.0049,0.02878608903614458
Fall,Total,0.2683,0.6252580463206459
Spring,Total,0.4762,0.4909073129473684
Summer,Total,0.4865,0.6709507413157895
Winter,Total,0.0921,0.5994821479518072
