Domain,Group,Season,ModelMean,ObsMean,Bias
NSoG,Diatoms,Winter,0.9352226794436167,0.77,0.16522267944361668
NSoG,Diatoms,Spring,2.424038468380897,6.0,-3.575961531619103
NSoG,Diatoms,Summer,1.345262930210221,1.16,0.1852629302102211
NSoG,Nano,Winter,0.9781607112605959,1.38,-0.401839288739404
NSoG,Nano,Spring,1.8991877715612564,1.85,0.04918777156125631
NSoG,Nano,Summer,2.284198125334368,1.9,0.38419812533436826
NSoG,Other,Winter,0.1724053213592574,0.12,0.052405321359257406
NSoG,Other,Spring,0.34250954295070585,0.26,0.08250954295070584
NSoG,Other,Summer,0.33570987853575024,0.34,-0.004290121464249785
CSoG,Diatoms,Winter,0.8083186219951255,0.65,0.15831862199512547
CSoG,Diatoms,Spring,2.3701138513263738,8.06,-5.689886148673627
CSoG,Diatoms,Summer,1.3516973632385663,1.34,0.011697363238566183
CSoG,Nano,Winter,0.8618685699487406,1.57,-0.7081314300512594
CSoG,Nano,Spring,1.8708695072992343,1.58,0.2908695072992342
CSoG,Nano,Summer,2.225608408536156,1.53,0.6956084085361558
CSoG,Other,Winter,0.14540703204611985,0.12,0.025407032046119854
CSoG,Other,Spring,0.31922458395789244,0.19,0.12922458395789244
CSoG,Other,Summer,0.32154561317071306,0.74,-0.41845438682928693
