Domain,Group,Season,ModelMean,ObsMean,Bias
NSoG,Diatoms,Winter,1.1639045334469555,0.77,0.39390453344695553
NSoG,Diatoms,Spring,2.700680601865677,6.0,-3.299319398134323
NSoG,Diatoms,Summer,1.6217944025509046,1.16,0.46179440255090465
NSoG,Nano,Winter,0.7584739205025284,1.38,-0.6215260794974715
NSoG,Nano,Spring,1.3502799401653647,1.85,-0.4997200598346354
NSoG,Nano,Summer,1.8084276392674887,1.9,-0.09157236073251118
NSoG,Other,Winter,0.22640738875930305,0.12,0.10640738875930306
NSoG,Other,Spring,0.42255994418798093,0.26,0.16255994418798092
NSoG,Other,Summer,0.43873273838961624,0.34,0.09873273838961621
CSoG,Diatoms,Winter,1.0365461641566485,0.65,0.38654616415664844
CSoG,Diatoms,Spring,2.6472694490637414,8.06,-5.412730550936259
CSoG,Diatoms,Summer,1.6311528685679941,1.34,0.29115286856799405
CSoG,Nano,Winter,0.678483347344272,1.57,-0.8915166526557281
CSoG,Nano,Spring,1.321704296786581,1.58,-0.258295703213419
CSoG,Nano,Summer,1.75792490554122,1.53,0.22792490554122002
CSoG,Other,Winter,0.19387469901158114,0.12,0.07387469901158114
CSoG,Other,Spring,0.3964662782569589,0.19,0.2064662782569589
CSoG,Other,Summer,0.4207529743557109,0.74,-0.3192470256442891
