Domain,Group,Season,ModelMean,ObsMean,Bias
NSoG,Diatoms,Winter,1.2213698630574916,0.77,0.4513698630574916
NSoG,Diatoms,Spring,3.039714688654682,6.0,-2.960285311345318
NSoG,Diatoms,Summer,1.7274709854254167,1.16,0.5674709854254167
NSoG,Nano,Winter,1.0790394497938398,1.38,-0.3009605502061601
NSoG,Nano,Spring,2.0044390429973293,1.85,0.15443904299732925
NSoG,Nano,Summer,2.521634618679651,1.9,0.6216346186796513
NSoG,Other,Winter,0.17679202567217106,0.12,0.056792025672171065
NSoG,Other,Spring,0.3442223720159158,0.26,0.08422237201591581
NSoG,Other,Summer,0.3408068663272357,0.34,0.0008068663272357002
CSoG,Diatoms,Winter,1.0603260824267922,0.65,0.41032608242679214
CSoG,Diatoms,Spring,2.9718518745918896,8.06,-5.088148125408111
CSoG,Diatoms,Summer,1.7324512720429315,1.34,0.3924512720429314
CSoG,Nano,Winter,0.9569122043804428,1.57,-0.6130877956195573
CSoG,Nano,Spring,1.9731180162794881,1.58,0.39311801627948806
CSoG,Nano,Summer,2.4559582523054213,1.53,0.9259582523054213
CSoG,Other,Winter,0.1497585073485137,0.12,0.029758507348513707
CSoG,Other,Spring,0.32121794879951476,0.19,0.13121794879951476
CSoG,Other,Summer,0.32636142255388,0.74,-0.41363857744612
