Domain,Group,Season,ModelMean,ObsMean,Bias
NSoG,Diatoms,Winter,0.8370718006366252,0.77,0.06707180063662521
NSoG,Diatoms,Spring,2.244880607976908,6.0,-3.755119392023092
NSoG,Diatoms,Summer,1.3087304085198308,1.16,0.14873040851983088
NSoG,Nano,Winter,1.149425422549868,1.38,-0.230574577450132
NSoG,Nano,Spring,2.1579029396572604,1.85,0.30790293965726034
NSoG,Nano,Summer,2.532146612807049,1.9,0.6321466128070492
NSoG,Other,Winter,0.18352764772045796,0.12,0.06352764772045796
NSoG,Other,Spring,0.3596141335407435,0.26,0.0996141335407435
NSoG,Other,Summer,0.35961247951956404,0.34,0.01961247951956402
CSoG,Diatoms,Winter,0.7108401602245817,0.65,0.06084016022458172
CSoG,Diatoms,Spring,2.099072137142381,8.06,-5.96092786285762
CSoG,Diatoms,Summer,1.2938231648477279,1.34,-0.04617683515227222
CSoG,Nano,Winter,1.02183335213961,1.57,-0.5481666478603902
CSoG,Nano,Spring,2.1412260756950072,1.58,0.5612260756950072
CSoG,Nano,Summer,2.4748807009279417,1.53,0.9448807009279416
CSoG,Other,Winter,0.15561246800434625,0.12,0.035612468004346254
CSoG,Other,Spring,0.33629157021863904,0.19,0.14629157021863903
CSoG,Other,Summer,0.34543668542438194,0.74,-0.39456331457561805
