biweekly,obs_center,obs_q10,obs_q90,model_center,model_q10,model_q90
1,26.609981684981683,26.39437728937729,26.825586080586078,20.419113260145174,20.389290822688775,20.448935697601577
2,25.5466512345679,20.615416666666665,29.0,21.183954637593747,20.034406555705424,22.654465555908143
3,27.43399691358025,26.048416666666668,28.695,20.564798328490422,19.58510270619311,22.155146453884182
4,26.144940406571987,24.452796052631577,27.84267543859649,20.38128830433367,19.814114808583096,20.856698623269256
5,21.795736448053727,14.639813802083333,27.308541666666663,19.735428324636032,19.04711945271928,20.466224316648468
6,15.581604797979798,13.10709393939394,18.31230303030303,19.72960077463361,19.307068368496846,20.14648562379444
7,16.100773961827645,10.119476190476192,21.944276315789473,19.401367732809426,18.55431385633701,20.536703131540172
8,13.205554765304427,9.63733552631579,16.86299019607843,18.81200565216835,18.133413176178735,19.343159414786967
9,9.833093925518925,5.859295238095238,13.230812499999997,18.17495389577193,16.748841758520445,18.950013690572888
10,11.331093815065172,6.541954857248795,16.276666666666667,18.314610804111663,16.50482140149639,23.07692307692308
11,7.749170358266763,3.423,15.511666666666668,17.838674124984173,16.38770575277414,20.77169303628275
12,9.738901067825399,5.5688830687830695,17.148000000000003,16.644370733077622,16.26931552227992,17.159812853544743
13,8.642505323186633,6.862166666666667,11.596309523809525,16.762833657914662,16.25016477183283,17.38982047184074
14,11.03804938176772,4.905329166666667,18.036874999999995,18.41375781614041,16.82123811390313,20.63182384664991
15,8.981128846153847,4.8100000000000005,12.439371794871796,17.78061766953707,16.46247289142412,19.274208988002005
16,11.007415207980426,5.5351383116883115,16.862333333333332,18.014999630282745,15.94004366390169,19.779764581640812
17,10.772360160651182,6.610351515151515,15.93,17.59804137929801,16.606737446392092,18.527344941581806
18,13.578916263905848,8.429953846153847,20.35,17.07785928995469,16.261958330929744,17.92489059163767
19,13.315991454649037,10.622857142857143,17.15691666666667,16.563178340614066,15.944465928874628,17.260762402225247
20,17.03839472951565,13.617062252964427,21.576666666666664,16.462075837393517,15.95848408837351,16.90045074235852
21,17.91677895517181,13.085298534798534,21.63583333333333,16.708452556878974,15.96000697205725,17.60075651520864
22,20.793326719576722,16.845579365079367,23.991690476190477,18.198500426570252,17.708590062837253,18.796293771409207
23,25.252187499999998,24.4459375,26.0584375,17.984682532269254,17.760907865949047,18.208457198589457
24,26.388921703296703,25.342051282051283,27.846190476190475,19.29499045606111,18.923855077171318,19.718890261013282
25,26.753783068783072,25.86015873015873,27.822222222222223,19.964207326771366,19.430588922092436,20.88157542964765
26,29.221153846153847,29.221153846153847,29.221153846153847,19.433159430995204,19.433159430995204,19.433159430995204
