year,biweekly,avg_obs,avg_model
1980,3,28.65,23.07692307692308
1980,4,27.825,20.469036617242544
1980,8,11.725,18.305945630498332
1980,10,16.966666666666665,18.79351662020497
1980,13,7.8533333333333335,16.442438617152217
1981,13,7.055,17.208438477596193
1981,14,4.439166666666667,16.605330355642277
1982,10,14.290000000000001,16.675095668421534
1982,14,14.905357142857143,17.48735490624346
1982,15,9.08,17.467132396822166
1983,10,13.984615384615385,16.42282042132935
1983,11,3.243333333333333,19.738533652331384
1986,2,30.0,23.07692307692308
1994,16,15.453333333333333,16.047877867356128
1995,10,7.949999999999999,16.82560990099191
1995,14,11.611555555555556,18.11401701793156
1995,15,9.101666666666667,16.606224627207226
1995,19,13.004761904761905,17.045852908590778
1996,3,26.32916666666667,20.927431496279134
1996,4,27.15,19.850977756632226
1996,5,24.220175438596492,20.189618207309422
1996,8,21.726666666666667,19.28717129148883
1996,10,11.9,23.07692307692308
1996,12,18.6725,16.521115598428327
1996,13,14.008333333333333,16.477826865126378
1996,16,20.15,15.688430522508003
1996,17,8.0,17.453420043854244
1996,19,20.164912280701753,16.649053021365738
1996,23,26.26,17.704964199368995
1997,3,27.344444444444445,20.505558118821813
1997,4,28.00175438596491,20.757538554641954
1997,11,13.130333333333335,16.806844018481367
1997,17,10.641666666666667,19.440337369579336
1997,20,23.688888888888886,17.2403219868653
1997,21,20.12,16.400774968036863
1998,3,25.2,21.760099329724653
1998,4,24.574305555555554,20.272895878980005
1998,11,13.341666666666667,16.03696588293147
1998,12,9.0,16.84762178064159
1998,17,11.7,17.52956670417083
1998,21,22.272916666666667,16.395150960226683
1998,24,26.153125,19.104770549983215
1999,2,26.374074074074073,20.800569189331583
1999,3,26.35,19.770117532260848
1999,8,9.589583333333334,18.479675278171715
1999,9,8.686666666666666,18.11201487913207
1999,11,3.75,16.68472190979609
1999,13,10.265277777777778,16.428263793805964
1999,15,4.9,23.07692307692308
1999,17,12.445238095238096,17.345284730901646
2000,9,16.478125,17.798374158168166
2000,11,4.8,16.40436459465978
2000,15,11.087820512820512,16.777052148575006
2000,18,12.257738095238096,16.783164140883585
2001,1,26.879487179487178,20.381835213324674
2001,3,27.25,19.40231609076646
2001,8,13.612499999999999,18.052490059288342
2001,11,4.0,23.07692307692308
2001,13,7.258333333333334,16.81508318340416
2001,17,14.95,17.26478994704369
2001,19,13.449642857142857,16.083041809967078
2002,1,26.34047619047619,20.456391306965678
2002,2,27.675,22.232008034893205
2002,3,28.5,19.809366111532277
2002,8,13.027564102564101,18.786458016952277
2002,9,11.6,23.07692307692308
2002,11,15.066666666666668,18.764358036106792
2002,13,6.3,16.40086060821794
2002,14,12.5,23.07692307692308
2002,15,14.248717948717948,16.54578314710977
2002,17,9.8,17.2658759419513
2002,18,15.408333333333333,18.50661746801258
2002,19,17.945833333333333,16.092931835378856
2002,25,28.28333333333333,21.484784145782193
2002,26,29.221153846153847,19.433159430995204
2003,3,28.8,19.58322215120974
2003,5,27.33333333333333,19.30463715785583
2003,9,12.468589743589744,18.009709254927643
2003,10,16.2,16.51393262151495
2003,11,3.5,16.513032325030654
2003,12,21.35,17.06232673606665
2003,13,8.680555555555555,16.021365383352645
2003,16,9.393333333333334,23.07692307692308
2003,17,8.463888888888889,23.07692307692308
2003,18,16.31888888888889,16.337942583194533
2003,21,21.21111111111111,15.553383599828583
2003,24,27.75,19.56913333791368
2003,25,26.558333333333334,19.450408207844642
2004,4,27.25,19.48234827614093
2004,5,24.128333333333334,19.367081310966856
2004,9,8.611458333333333,16.79621738572197
2004,11,5.5,16.348835121707644
2004,13,6.572916666666667,16.306561972789304
2004,25,26.089285714285715,19.976762355445835
2005,3,27.200000000000003,23.07692307692308
2005,5,24.92,19.716792307705774
2005,7,18.726923076923075,18.51621121197123
2005,11,16.966666666666665,23.07692307692308
2005,12,7.975,16.24390611950995
2005,17,6.699999999999999,17.476519332944772
2005,19,13.40846153846154,16.112616067590842
2005,24,25.625641025641023,19.28593729202875
2006,3,28.200000000000003,20.341927344959448
2006,8,15.908333333333333,19.028431212201458
2006,12,9.046153846153846,16.37095313335981
2006,14,17.799999999999997,16.845227864821005
2006,19,12.06547619047619,15.885076265549293
2006,24,28.23095238095238,18.817273907742283
2007,3,28.625,20.274041456256143
2007,4,24.85,20.4266504170739
2007,7,18.01309523809524,18.985794580066443
2007,11,6.15,19.783737304579745
2007,12,6.889285714285713,16.12226655408082
2007,17,17.4,16.634378532773056
2007,18,20.1,16.828948960276424
2007,20,20.67142857142857,16.012372851243704
2007,24,25.143589743589743,19.293331204448037
2008,3,28.55,20.045159454894
2008,8,9.803571428571429,18.611402223040603
2008,11,3.5,16.509178428986942
2008,13,11.305357142857144,16.24634877060199
2008,17,10.5,16.696230549423742
2008,18,21.35,15.95802132187059
2008,19,11.60952380952381,15.758703737552432
2008,24,25.39166666666667,18.950500369528577
2009,2,28.0,20.043222179689486
2009,8,14.242857142857144,19.235412859788198
2009,9,9.608333333333333,18.168017998255543
2009,11,0.25,16.752146798725104
2009,12,3.8083333333333336,16.41716053735621
