biweekly,obs_center,obs_q10,obs_q90,model_center,model_q10,model_q90,n_years_obs,n_years_model
1,,,,,,,,
2,5.4706061568,5.4706061568,5.4706061568,4.324772598705503,4.324772598705503,4.324772598705503,1.0,1.0
3,,,,,,,,
4,6.771019392710526,6.562996307478947,6.979042477942105,4.260063708812809,4.182493204878034,4.337634212747584,2.0,2.0
5,4.850180631810109,3.807857681285274,5.911460082639,4.004791879366746,3.7440786992761304,4.218908189761422,4.0,4.0
6,4.190412683383561,3.714163764074893,4.68577682376709,3.978796562911104,3.802424635757245,4.13115241260835,4.0,4.0
7,3.5660247212522704,3.064651522324615,4.113507836241303,3.821611059330799,3.685436992301086,3.963162058709555,4.0,4.0
8,2.9209841384139428,2.3664424875333747,3.5393780615211066,3.5735421998116235,3.349141916917363,3.820289229731463,4.0,4.0
9,2.5818099000752994,1.7324595284862168,3.3972416450871425,3.304737641833174,3.009975261543238,3.556159473223731,4.0,4.0
10,2.2179469817171347,1.5328085662287414,2.815526636845636,3.108154617648392,2.962740485480312,3.2854327873136517,4.0,4.0
11,2.102199873124995,1.4125466098752273,2.8309708879644564,3.0881988182495146,2.9859116810959105,3.197573384718327,4.0,4.0
12,2.2889502251069196,1.562170239096,2.9267754552768745,3.1641469372957354,3.0991833575869436,3.230570846917225,4.0,4.0
13,2.4655822160209073,1.9174654458502225,2.8033281495671742,3.2565570644484167,3.213854222970421,3.309523966975754,4.0,4.0
14,2.361205959336628,1.5582892679426994,3.1485199951429843,3.285355112085582,3.232791667599703,3.3444229050725705,4.0,4.0
15,2.4470624067723588,1.7869523103923306,2.9977909008165002,3.260850542090513,3.137505952118697,3.3523030293707263,4.0,4.0
16,2.61002122644262,1.8312262133387143,3.210192433220598,3.345092424975981,3.2915418685245004,3.3982561187002114,4.0,4.0
17,2.553907953711186,1.9590412865530331,2.982505910223828,3.3855537765792607,3.3000829427137535,3.478750308150483,4.0,4.0
18,2.6485763249762146,1.982882014298684,3.141792758154231,3.238250058965489,3.176922704764382,3.284849805095142,3.0,3.0
19,3.141111267886221,2.8790319024176987,3.4031906333547437,3.157796091369378,3.1406121063440438,3.174980076394713,2.0,2.0
20,3.626526908085893,2.7704041214987503,4.24755450087075,3.1218799667135455,2.95229975326165,3.3040274726752643,4.0,4.0
21,3.9597294484593477,3.273843745293,4.526948004703435,3.125871423280755,3.083890891257167,3.167455414602242,3.0,3.0
22,,,,,,,,
23,,,,,,,,
24,6.287626639092857,6.287626639092857,6.287626639092857,3.807582654053227,3.807582654053227,3.807582654053227,1.0,1.0
25,,,,,,,,
26,,,,,,,,
