year,biweekly,avg_obs,avg_model,n_cells_obs,n_cells_model
2015,2,5.4706061568,4.324772598705503,3,3
2015,4,6.510990536171052,4.16310057889434,19,19
2015,5,3.62353329,3.628036462127912,7,7
2015,6,4.154188458257143,3.7246655796252655,21,21
2015,7,4.247854959004412,3.6581808986690203,17,17
2015,8,3.638219052324375,3.3528361252590764,20,20
2015,9,3.587297957099999,2.932601165814575,1,1
2015,10,2.541016656279,2.9455978481342795,25,25
2015,11,2.5802447592666664,2.9968350501909438,27,27
2015,12,2.966154004210714,3.2157661335653054,21,21
2015,13,2.8107933552750004,3.2428764184367522,24,24
2015,14,2.7664283002500003,3.3140310043652,26,26
2015,15,3.1632748788375,3.0811350856971846,4,4
2015,16,3.3069175665136368,3.419907127070256,22,22
2015,17,2.9320875189479167,3.418174471496258,18,18
2015,19,3.4687104747218744,3.13631611008771,24,24
2015,20,4.05733526259,2.8987157243674893,20,20
2016,4,7.0310482492499995,4.3570268387312785,12,12
2016,5,5.4150220852425,4.014843919288639,10,10
2016,6,4.903031667171774,3.9838624333985297,31,31
2016,7,3.2167434358903844,3.749034544109239,26,26
2016,8,2.36337990507,3.347558684770914,30,30
2016,9,2.2946394495365556,3.190514818243452,26,26
2016,10,2.113774208055,3.002739972621055,30,30
2016,11,1.5263606080090908,2.981230237198039,33,33
2016,12,1.9653951653850001,3.095028975305167,30,30
2016,13,2.6711821873539474,3.3373581423210505,19,19
2016,14,1.9949902573921874,3.3574480053757294,16,16
2016,15,2.5559172006169355,3.33239336714114,31,31
2016,16,2.6821015131632144,3.347737099170108,35,35
2016,17,2.5914001650882352,3.2857104164205153,17,17
2016,18,3.079771018725,3.152386111169448,15,15
2016,19,2.813512061050568,3.1792760726510467,22,22
2016,20,4.3290770315625,3.37646244033416,6,6
2016,21,4.256397315765,3.1268627750360096,5,5
2017,5,4.237947927617578,4.2650551223657285,32,32
2017,6,3.5255817522824997,4.17288735255541,30,30
2017,7,2.9994692736535713,3.9984835508651853,14,14
2017,8,2.3735885132812498,3.8553925824162794,28,28
2017,9,1.4915252766075,3.568522745603325,35,35
2017,10,1.2838232911603449,3.350371480905454,29,29
2017,11,1.3637691821035713,3.1618440130200622,21,21
2017,12,1.3893595564007142,3.108876916244422,35,35
2017,13,1.594443985205769,3.2445775578367284,26,26
2017,14,1.371131701035776,3.229523090048207,29,29
2017,15,1.4573959288674998,3.3608357417548347,30,30
2017,16,1.4665653705567856,3.3434149075999775,35,35
2017,17,1.688030338609375,3.3336188373979754,32,32
2017,18,1.7086597631921052,3.2872949865828973,19,19
2017,20,2.3362388001035717,3.0773291540146914,21,21
2017,21,3.028205352675,3.1776035744937996,22,22
2018,5,6.124219224380357,4.111232013684704,28,28
2018,6,4.178848855822826,4.033770886065211,23,23
2018,7,3.800031216460714,3.880745243679751,35,35
2018,8,3.308749082980147,3.738381406800224,34,34
2018,9,2.953776917057143,3.5273118376713444,28,28
2018,10,2.933173771374194,3.133909168932779,31,31
2018,11,2.9384249431206517,3.2128859725890124,23,23
2018,12,2.83489217443125,3.2369157240680475,28,28
2018,13,2.785909336248913,3.201416139199136,23,23
2018,14,3.3122735786685484,3.2404183485531926,31,31
2018,15,2.6116616187675,3.269037973768893,30,30
2018,16,2.984500455536842,3.2693105660635817,19,19
2018,17,3.0041137921992185,3.504711381002294,32,32
2018,18,3.1572981930115387,3.2750690791441204,26,26
2018,20,3.7834565380874996,3.1350125481378406,24,24
2018,21,4.594585676938044,3.0731479203124565,23,23
2018,24,6.287626639092857,3.807582654053227,7,7
