year,biweekly,avg_obs,avg_model,n_cells_obs,n_cells_model
2015,2,5.4706061568,5.142168173726062,3,3
2015,4,6.510990536171052,4.079713797414535,19,19
2015,5,3.62353329,3.1365615181433597,7,7
2015,6,4.154188458257143,3.8153638547341897,21,21
2015,7,4.247854959004412,3.9245554352346423,17,17
2015,8,3.638219052324375,3.569961496242731,20,20
2015,9,3.587297957099999,2.292758277120043,1,1
2015,10,2.541016656279,2.880706520593726,25,25
2015,11,2.5802447592666664,2.834494930345429,27,27
2015,12,2.966154004210714,3.118126170708029,21,21
2015,13,2.8107933552750004,3.105596852898269,24,24
2015,14,2.7664283002500003,3.2777823015309413,26,26
2015,15,3.1632748788375,3.4206006111442475,4,4
2015,16,3.3069175665136368,3.380532136407216,22,22
2015,17,2.9320875189479167,3.218350791734,18,18
2015,19,3.4687104747218744,3.020192734903192,24,24
2015,20,4.05733526259,2.817030543387334,20,20
2016,4,7.145835702422727,4.459352129921397,11,11
2016,5,5.4150220852425,3.880729434347564,10,10
2016,6,4.8674040029025,3.885545163273636,30,30
2016,7,3.255661041066,3.569753901972401,25,25
2016,8,2.3668304314655173,3.471557348675388,29,29
2016,9,2.3164072150220174,3.1326586953874522,25,25
2016,10,2.1480247674155173,2.90621580822839,29,29
2016,11,1.52449710676875,2.866575707955153,32,32
2016,12,1.9570443788948277,2.90732169124853,29,29
2016,13,2.7303091062375002,3.127137430137069,18,18
2016,14,2.021513475825,3.072382836279435,15,15
2016,15,2.5952163522975,3.1402510108608848,30,30
2016,16,2.682818548798897,3.1706436117751813,34,34
2016,17,2.5914001650882352,3.2925479902766113,17,17
2016,18,3.079771018725,3.044947382421253,15,15
2016,19,2.8531840492125,2.895386458674201,21,21
2016,20,4.143510317115,2.9153047335700704,5,5
2016,21,4.256397315765,3.0718780813807176,5,5
2017,5,4.237947927617578,4.321752265674526,32,32
2017,6,3.5115353545577586,3.9298518393976383,29,29
2017,7,3.014072143442308,4.201477623595978,13,13
2017,8,2.374627311108333,3.7603768946099643,27,27
2017,9,1.4586600209547793,3.468835294262157,34,34
2017,10,1.2969229567125,3.207341640491112,28,28
2017,11,1.40499019153125,2.842883064646743,20,20
2017,12,1.3733286812889705,2.977448360058659,34,34
2017,13,1.567856399028,3.0431156783662114,25,25
2017,14,1.3531051435406252,2.9913434821234643,28,28
2017,15,1.461179386740517,3.121474043131965,29,29
2017,16,1.4471076174981616,3.1021199535348862,34,34
2017,17,1.6790935760967742,3.1811077235941703,31,31
2017,18,1.7191136214166667,3.135651853743001,18,18
2017,20,2.29096730871375,2.9671813567368788,20,20
2017,21,3.0792954023285715,3.182813577368934,21,21
2018,5,6.124219224380357,3.9744313219085297,28,28
2018,6,4.248877850703409,3.764581787480192,22,22
2018,7,3.796081518328676,3.9452261370245387,34,34
2018,8,3.2906370061022727,3.6780841937418067,33,33
2018,9,2.9179766441166666,3.341385222098888,27,27
2018,10,2.87829327669,3.0472482921553277,30,30
2018,11,2.9384249431206517,3.178168199304049,23,23
2018,12,2.843260626491667,3.1179916471263853,27,27
2018,13,2.800478110448864,2.9685478066690547,22,22
2018,14,3.3113287326225,2.943969031298261,30,30
2018,15,2.595559963212931,3.0481172331358923,29,29
2018,16,2.984500455536842,3.1664030944523023,19,19
2018,17,2.9916628136854837,3.2310137905471397,31,31
2018,18,3.10258069623,3.1119452590083814,25,25
2018,20,3.851912837993478,2.9012206044619497,23,23
2018,21,4.594585676938044,3.0784067376818234,23,23
2018,24,6.287626639092857,3.69606753022471,7,7
