Group,Model,Level,Stratum,N,Bias,RMSE,MAE,R,WSS,Obs_STD,Model_STD,Centered_RMSE
Diatoms,Ecospace,Season,Spring,236,-0.18290911091703352,1.541677790715241,1.1281985602114373,0.03607451372560195,0.3950138239584494,1.1746983120525138,1.0248197096371752,1.5307889036467983
Diatoms,Ecospace,Season,Summer,104,0.40854459636302154,0.939297020015686,0.7383387815884913,0.2829404555257342,0.5041520088895253,0.6361705788358479,0.7657087491168726,0.8457956045008297
Diatoms,Ecospace,Season,Fall,75,0.39075807337887436,1.2492792003060678,0.9742080767658007,0.3357513358073244,0.5392576089102027,0.9018818101091022,1.1312454356194985,1.1865945594037581
Diatoms,Ecospace,Season,Winter,49,-0.6059702709813886,0.6900802963844823,0.6282415698963298,0.6570631612806666,0.5149501622707091,0.37049265858977515,0.4195269601294848,0.3301679059885097
Diatoms,Ecospace,sdomain,SGS,240,0.0012063266015286103,1.3572304897075083,1.0083042416833952,0.07687852354097907,0.39593389034439697,0.9998246301464255,0.9979144919948468,1.3572299536069092
Diatoms,Ecospace,sdomain,SGI,77,3.979500711643418e-16,1.238929122362557,0.9471836208637875,0.22242899007677414,0.5037066247229809,0.9934852726704042,0.9934852726704039,1.2389291223625571
Diatoms,Ecospace,sdomain,SGN,147,-0.009204886487789322,1.2583674840055552,0.8977236691627967,0.20927178505169222,0.513622687868173,1.0046137050083257,0.99659283506935,1.2583338169449385
Diatoms,Ecospace,sdomain_Season,SGS_Spring,119,-0.14488829273599113,1.6186807858770818,1.208818334476404,-0.06276492548508938,0.3307884994683902,1.1427709219631803,1.067727489135469,1.6121832616658993
Diatoms,Ecospace,sdomain_Season,SGI_Spring,41,-0.22398421823972176,1.4560982833306435,1.1145008232314937,0.15794504312625118,0.4519563090496589,1.2210571861838175,0.9778870513355165,1.4387679731972032
Diatoms,Ecospace,sdomain_Season,SGN_Spring,76,-0.22028276832905755,1.4608646291159832,1.009354534930473,0.12718987852068145,0.45868541632356474,1.1964783956747238,0.9751010497723303,1.4441609905337653
Diatoms,Ecospace,sdomain_Season,SGN_Summer,29,0.39149188611922997,0.9409495047113907,0.7145116094219,0.23061876872588402,0.5113979490208997,0.5878212932439232,0.7719299896176949,0.8556401542233858
Diatoms,Ecospace,sdomain_Season,SGS_Summer,59,0.37876783433525085,0.8986910227887388,0.6990189716267133,0.31118179919787986,0.5041664660315981,0.6756658995444005,0.7121146816144881,0.8149726879558931
Diatoms,Ecospace,sdomain_Season,SGI_Summer,16,0.5492544436572981,1.0732463572664526,0.9265173303744954,0.13918203340465718,0.3896111265005623,0.5074784569898019,0.8436983607551518,0.9220505948745015
Diatoms,Ecospace,sdomain_Season,SGN_Fall,27,0.4098103808336301,1.2195072770316882,0.9950228114582543,0.4341839365782299,0.6325308858559815,0.9076334738076404,1.2007730475908518,1.1485875893871735
Diatoms,Ecospace,sdomain_Season,SGS_Fall,37,0.3383864634095806,1.3559811698278592,1.0593464982520455,0.24121498766594587,0.4640570877866286,0.991391150931127,1.1327324376555166,1.3130801705565758
Diatoms,Ecospace,sdomain_Season,SGI_Fall,11,0.520152370432098,0.8978104952746816,0.6367426738851371,0.7483077974527408,0.42237653897237637,0.22056609851066106,0.8820574227895379,0.7317822059596958
Diatoms,Ecospace,sdomain_Season,SGN_Winter,15,-0.46865152671082266,0.5626584593586857,0.5111988086404805,0.44124872781110985,0.29360607181387277,0.15843107892795463,0.34692184715074714,0.311368412655338
Diatoms,Ecospace,sdomain_Season,SGS_Winter,25,-0.693455046079379,0.7647301064847581,0.7082278576008405,0.7270370882425226,0.5695895794195286,0.4408475141190604,0.431480787193127,0.3223852273774899
Diatoms,Ecospace,sdomain_Season,SGI_Winter,9,-0.5918215806045808,0.6637652224681361,0.6011287061435492,0.8338227441890838,0.32323678495215,0.1418082763853637,0.408421013378195,0.3005519710280899
Diatoms,Ecospace,All,All,464,-0.002292241227021851,1.307357776088442,0.9631283107272792,0.14290448675690393,0.45254569945870504,1.0003078779640928,0.9967619990542479,1.3073557665490576
Diatoms,SalishSeaCast,Season,Spring,238,0.20856623629463128,1.4445331018760543,0.9720811362847024,0.23691206654550742,0.5103295400066019,1.1708367874296777,1.1429833436279333,1.4293970783143315
Diatoms,SalishSeaCast,Season,Summer,104,-0.04329990699434634,0.9333580999629736,0.4327042748942944,0.044356638500616816,0.272984637374423,0.6361705788358479,0.7103955888943684,0.9323531845930345
