year,biweekly,avg_obs,avg_model,n_cells_obs,n_cells_model
2012,12,2.3055254788486907,2.7815440532341498,1,1
2012,14,2.578735887830802,3.881557718945742,3,2
2013,7,1.950965955777361,3.163803069044461,1,1
2013,8,2.561378243971914,6.505714720824478,1,1
2013,13,2.8323593555638222,3.2761718466865313,4,4
2013,14,6.095374890075825,4.237719058199453,3,3
2013,20,5.788254069645804,3.6354805820306946,4,4
2014,7,6.565762234397308,4.5401724863595465,11,11
2014,12,2.6073085084642464,3.580889048126898,9,9
2014,13,4.485878354720601,3.8927932732114825,3,3
2015,2,5.4706061568,5.8197024537614155,3,3
2015,4,6.510990536171052,4.687777314266079,19,19
2015,5,3.62353329,3.713241371555754,7,7
2015,6,4.146094935265909,4.466371853414625,22,21
2015,7,4.2226163846875,4.536326786712406,18,17
2015,8,3.633206000201786,4.143648744550694,21,20
2015,9,3.587297957099999,2.758617746862248,1,1
2015,10,2.541016656279,3.4183571989956865,25,25
2015,11,2.5802447592666664,3.3636423822847497,27,27
2015,12,2.966154004210714,3.6653860868362256,21,21
2015,13,2.6037536037213784,3.6271969648782103,28,28
2015,14,2.7664283002500003,3.8344301088869694,26,26
2015,15,3.1632748788375,4.000739069114226,4,4
2015,16,3.2629371928630433,3.942770543844661,23,22
2015,17,2.9320875189479167,3.762041598301392,18,18
2015,19,3.4284106678889996,3.564644588588573,25,24
2015,20,4.072525806008407,3.3834891101085973,21,21
2015,21,4.70680003713213,2.7716861705672398,1,1
2016,4,7.0310482492499995,5.17853088667283,12,12
2016,5,5.4150220852425,4.458848041932308,10,10
2016,6,5.0995648107618115,4.495845454464027,35,34
2016,7,3.2169955664666667,4.198573832493738,27,26
2016,8,2.36337990507,4.116563577962494,30,30
2016,9,2.295741938877398,3.727985732241758,28,28
2016,10,2.113774208055,3.532430539857528,30,30
2016,11,1.5263606080090908,3.4919047736026645,33,33
2016,12,2.169481158127608,3.5674431482443705,33,33
2016,13,2.6892846846876415,3.5768900456481996,27,27
2016,14,2.0720104619823334,3.707630999116096,17,17
2016,15,2.5559172006169355,3.76492386437406,31,31
2016,16,2.6821015131632144,3.7895124621823704,35,35
2016,17,2.5914001650882352,3.8587176807022683,17,17
2016,18,3.079771018725,3.5927157336265356,15,15
2016,19,2.813512061050568,3.549012002665931,22,22
2016,20,4.291387853879818,3.490802944181705,13,13
2016,21,4.256397315765,3.6174668487521915,5,5
2016,22,6.599438334010877,4.878880734089204,3,3
2016,23,6.873575289139396,5.821776601499273,3,3
2017,4,7.46994819375,4.812206693812663,4,4
2017,5,4.237947927617578,4.9862329255755835,32,32
2017,6,3.5255817522824997,4.599487577439529,30,30
2017,7,2.9994692736535713,4.942916964787485,14,14
2017,8,2.782055512589423,4.5966387173486325,39,39
2017,9,1.4915252766075,4.078900069661725,35,35
2017,10,1.2838232911603449,3.8054487439347846,29,29
2017,11,1.559699410527,3.408345387210941,25,25
2017,12,1.3893595564007142,3.578345938486243,35,35
2017,13,1.9859326908715906,3.730959549704749,33,33
2017,14,1.371131701035776,3.608409899785988,29,29
2017,15,1.4573959288674998,3.7280834691259526,30,30
2017,16,1.4665653705567856,3.69792708498701,35,35
2017,17,1.688030338609375,3.7992136877323426,32,32
2017,18,1.8272028454575,3.7269859645750336,20,20
2017,19,4.852641224571428,3.7021688567017565,7,7
2017,20,3.076553195552778,3.582659776310876,27,27
2017,21,3.268512128009375,3.7476795190216756,24,24
