Year,Bloom Date,Day of Year,Bloom Early Late
1980,1980-03-08,68,early
1981,1981-03-06,65,early
1982,1982-03-09,68,early
1983,1983-03-18,77,avg
1984,1984-03-08,68,early
1985,1985-03-09,68,early
1986,1986-02-13,44,early
1987,1987-02-28,59,early
1988,1988-03-14,74,avg
1989,1989-03-18,77,avg
1990,1990-02-28,59,early
1991,1991-02-28,59,early
1992,1992-03-02,62,early
1993,1993-02-16,47,early
1994,1994-02-04,35,early
1995,1995-02-28,59,early
1996,1996-03-02,62,early
1997,1997-03-24,83,avg
1998,1998-03-06,65,early
1999,1999-04-02,92,avg
2000,2000-02-19,50,early
2001,2001-02-22,53,early
2002,2002-03-03,62,early
2003,2003-02-10,41,early
2004,2004-03-05,65,early
2005,2005-02-19,50,early
2006,2006-02-19,50,early
2007,2007-04-02,92,avg
2008,2008-02-22,53,early
2009,2009-02-19,50,early
2010,2010-02-22,53,early
2011,2011-03-24,83,avg
2012,2012-03-26,86,avg
2013,2013-03-27,86,avg
2014,2014-02-04,35,early
2015,2015-02-22,53,early
2016,2016-03-23,83,avg
2017,2017-03-09,68,early
2018,2018-02-22,53,early
