Year,Bloom Date,Day of Year,Bloom Early Late
1980,1980-04-16,107,cusp
1981,1981-03-18,77,avg
1982,1982-03-21,80,avg
1983,1983-04-14,104,avg
1984,1984-04-01,92,avg
1985,1985-04-17,107,cusp
1986,1986-04-08,98,avg
1987,1987-05-14,134,late
1988,1988-04-13,104,avg
1989,1989-04-17,107,cusp
1990,1990-03-30,89,avg
1991,1991-04-17,107,cusp
1992,1992-03-23,83,avg
1993,1993-05-14,134,late
1994,1994-04-02,92,avg
1995,1995-04-05,95,avg
1996,1996-03-29,89,avg
1997,1997-04-11,101,avg
1998,1998-04-08,98,avg
1999,1999-04-20,110,late
2000,2000-03-29,89,avg
2001,2001-04-08,98,avg
2002,2002-05-02,122,late
2003,2003-05-02,122,late
2004,2004-04-07,98,avg
2005,2005-04-23,113,late
2006,2006-05-14,134,late
2007,2007-04-11,101,avg
2008,2008-04-13,104,avg
2009,2009-04-08,98,avg
2010,2010-04-20,110,late
2011,2011-04-20,110,late
2012,2012-04-13,104,avg
2013,2013-04-02,92,avg
2014,2014-04-14,104,avg
2015,2015-04-08,98,avg
2016,2016-04-01,92,avg
2017,2017-05-02,122,late
2018,2018-04-23,113,late
