season,group,N,r,RMSE,MAE,WSS
Winter,ZC-TOTAL,12,0.2854402354568524,1.160493866045276,0.9256808453877357,0.6010749845126837
Winter,ZS-TOTAL,12,0.0050004630920231,1.5525614836504662,1.1377646164954718,0.3636220637599305
Winter,ZC1-EUP,11,-0.0606100789341333,1.304719778382415,1.195711291913193,0.3481249743300374
Winter,ZC2-AMP,12,0.5133464043588135,0.9041954116364824,0.7180431361836197,0.7341285256076409
Winter,ZC3-DEC,12,-0.2419936252596537,1.4394536401706022,1.2023208621728716,0.2938084182097031
Winter,ZC4-CLG,12,0.3418204356949461,1.082168971446854,0.9407084040304672,0.6264623209698281
Winter,ZC5-CSM,12,0.0260181277351738,1.7010382287201462,1.3498561161432283,0.4195963008294914
Winter,ZS2-CTH,12,0.5212267809612432,0.8440371219425746,0.6199597640110636,0.7108361513500437
Winter,ZS3-CHA,12,0.0626385639215723,1.5961277147706323,1.2074831364821577,0.3733533119467378
Winter,ZS4-LAR,12,0.1679628328640214,1.1974752562591595,1.1107012929665598,0.4643627032508073
Spring,ZC-TOTAL,17,0.8345321523733673,0.6546408909860534,0.5552646139535454,0.9054739779431668
Spring,ZS-TOTAL,17,0.4234552282160803,1.2335481849263432,1.033114663172771,0.6705292381062788
Spring,ZC1-EUP,17,0.7286360188382461,0.8363876434612529,0.6823687795728237,0.8402130746582063
Spring,ZC2-AMP,17,0.6627976495890121,0.9138557689986984,0.78812204365497,0.7928959577385506
Spring,ZC3-DEC,17,0.6279097313125112,0.9200815840613576,0.7284769605912907,0.7662181072464035
Spring,ZC4-CLG,17,0.6317473269866785,0.992924615990844,0.7660557104222749,0.7819631670808989
Spring,ZC5-CSM,17,0.8577422374556779,0.5842531872353143,0.4548301673022645,0.9253554835776758
Spring,ZS2-CTH,17,0.6846250089657889,0.8674070108571303,0.6905068661774659,0.8002027880122902
Spring,ZS3-CHA,17,0.1360998276190486,1.535751216877145,1.216689244368855,0.4712755744289082
Spring,ZS4-LAR,17,0.4916991531974319,1.164569050834336,0.944318457651082,0.7010176484859825
Summer,ZC-TOTAL,17,-0.1227578109188653,1.8919317311687285,1.3578560084202942,0.3423488810303942
Summer,ZS-TOTAL,17,-0.389748895289123,1.977602553265683,1.5918092886564228,0.1025942521236864
Summer,ZC1-EUP,17,-0.7127272779443592,2.0355446796837824,1.4687855141024764,0.1007807652493182
Summer,ZC2-AMP,17,0.3007443747074892,1.1520083913022827,0.890114899159357,0.5911483728344877
Summer,ZC3-DEC,17,-0.288402860474266,2.616132604101576,1.700976992385206,0.2490031511409265
Summer,ZC4-CLG,17,-0.0330232057492265,1.7424711198104703,1.5227556885829987,0.2696716237277458
Summer,ZC5-CSM,17,-0.0122358046728399,2.03581117713084,1.6921132410562318,0.3764462332450018
Summer,ZS2-CTH,17,-0.0333654117652364,1.8994926133777907,1.563039622295249,0.3454345109545002
Summer,ZS3-CHA,17,-0.5730338096775215,1.806402708294838,1.4795789865719693,0.1014236947972997
Summer,ZS4-LAR,17,0.0167638684116119,1.3296049242844263,1.134167943878973,0.4100274110406018
Fall,ZC-TOTAL,16,-0.4904059430911823,2.0371053697185566,1.705219652257758,0.1176915165319073
Fall,ZS-TOTAL,16,-0.7568263285884854,2.470534824945958,1.8252072574951983,0.035306996926358
Fall,ZC1-EUP,15,-0.3906086894664824,2.228111708889932,1.7859280712767995,0.0651043952269543
Fall,ZC2-AMP,16,0.0546663859691312,1.4405267841075642,1.2083738115436002,0.4466489983264121
Fall,ZC3-DEC,16,-0.39001735640033,2.103295427928889,1.43956791786355,0.2299278437045446
Fall,ZC4-CLG,16,-0.3640831183883158,1.780339010082716,1.4927746069645766,0.1660982002356985
Fall,ZC5-CSM,16,-0.551623514861384,2.075193586851469,1.6088641907707204,0.1317213054224877
Fall,ZS2-CTH,16,0.2643065795924459,1.2677157679824689,1.0566696648157106,0.5498819063957461
Fall,ZS3-CHA,16,-0.7238158097138376,2.464311553037628,1.6755877620195236,0.1014437174801676
Fall,ZS4-LAR,14,0.2530563499264513,1.187778548957057,0.9615700426545006,0.5316754646968407
