year,group,obs_anom,model_anom,Pass,Season,ObsSummary
2000,Total,1.1525333618820959,0.40494740872155244,ZC,All,log_of_mean
2000,ZC1-EUP,0.8243026960700055,0.7315993269028069,ZC,All,log_of_mean
2000,ZC2-AMP,1.2417401447723828,1.6810722737063535,ZC,All,log_of_mean
2000,ZC3-DEC,-0.15124648262870832,0.8156497821941718,ZC,All,log_of_mean
2000,ZC4-CLG,1.408040892559264,-0.612108985056681,ZC,All,log_of_mean
2000,ZC5-CSM,0.5961419734114787,-0.675713826120308,ZC,All,log_of_mean
2001,Total,0.33179528363900274,-0.8794020819852005,ZC,All,log_of_mean
2001,ZC1-EUP,-0.3114849462051714,-1.1866359662133292,ZC,All,log_of_mean
2001,ZC2-AMP,0.0312705147618947,0.18982628781584548,ZC,All,log_of_mean
2001,ZC3-DEC,-0.6121498597700296,-0.48018716466523137,ZC,All,log_of_mean
2001,ZC4-CLG,1.022826523600823,-1.7448073495477128,ZC,All,log_of_mean
2001,ZC5-CSM,0.10156356875701888,-1.48659800676521,ZC,All,log_of_mean
2002,Total,0.3740818621891203,-1.099335429250317,ZC,All,log_of_mean
2002,ZC1-EUP,0.26698524997249207,-0.8257177840178023,ZC,All,log_of_mean
2002,ZC2-AMP,-0.07225661237505959,-1.0735457195022469,ZC,All,log_of_mean
2002,ZC3-DEC,0.06767207320972168,-1.551913212465804,ZC,All,log_of_mean
2002,ZC4-CLG,0.33711838405068484,-1.3384956520068545,ZC,All,log_of_mean
2002,ZC5-CSM,-1.2653171173178663,-1.1058074157443016,ZC,All,log_of_mean
2003,Total,-0.5082176181878585,0.5034650948707254,ZC,All,log_of_mean
2003,ZC1-EUP,-1.2899856279688786,0.22893685346240875,ZC,All,log_of_mean
2003,ZC2-AMP,0.5981914538073948,1.1031028629246182,ZC,All,log_of_mean
2003,ZC3-DEC,-3.350555181618871,0.9231297670185409,ZC,All,log_of_mean
2003,ZC4-CLG,-0.5829397746777892,-0.3588483158677738,ZC,All,log_of_mean
2003,ZC5-CSM,0.1229007785136426,-0.0702649315428751,ZC,All,log_of_mean
2004,Total,-0.7457213592730427,0.7482074640779282,ZC,All,log_of_mean
2004,ZC1-EUP,-1.4217090252534021,0.5673954334311277,ZC,All,log_of_mean
