year,group,anom
1980,Total,-0.2534826412934379
1980,ZC2-AMP,-0.33077582484639695
1981,Total,0.5872707587089652
1981,ZC2-AMP,0.6422075631662353
1982,Total,-0.8156345969335762
1982,ZC2-AMP,-0.7878451073237865
1983,Total,1.1017267742589179
1983,ZC2-AMP,0.8625849132308023
1984,Total,-0.1661231843475441
1984,ZC2-AMP,-0.15803350394058469
1985,Total,-0.22893835838596133
1985,ZC2-AMP,-0.5154776612938675
1986,Total,-0.8854549749454111
1986,ZC2-AMP,-0.9202453907904431
1987,Total,0.19135232325139537
1987,ZC2-AMP,0.48401418051884554
1988,Total,0.08062198126389628
1988,ZC2-AMP,0.4719153456918046
1989,Total,-0.992727997881469
1989,ZC2-AMP,-1.0143575935451374
1990,Total,-0.09141145568765473
1990,ZC2-AMP,-0.11296197673386157
1991,Total,-1.0699023729437818
1991,ZC2-AMP,-1.3872069326087064
1992,Total,2.2153001961655865
1992,ZC2-AMP,2.104497772595135
1993,Total,-0.2374595830903116
1993,ZC2-AMP,-0.05299025298980871
1994,Total,1.045627599490375
1994,ZC2-AMP,1.2860980632513104
1995,Total,0.20249849806122266
1995,ZC2-AMP,-0.04838869910013143
1996,Total,-0.7960438925829334
1996,ZC2-AMP,-0.8408725703366562
1997,Total,-1.090430502722297
1997,ZC2-AMP,-1.05331251650041
1998,Total,1.2508222189438991
1998,ZC2-AMP,1.0228705946965242
1999,Total,-0.8689232981595969
1999,ZC2-AMP,-0.7144403907656456
2000,Total,0.24789067318457397
2000,ZC2-AMP,0.2433130467634476
2001,Total,0.38704927764063835
2001,ZC2-AMP,0.28860615312856874
2002,Total,-0.8243751534952671
2002,ZC2-AMP,-0.8677750457904133
2003,Total,1.044863063643063
2003,ZC2-AMP,1.5806650971232825
2004,Total,1.4222256911909592
2004,ZC2-AMP,1.2391873374116986
2005,Total,0.8680387420280782
2005,ZC2-AMP,0.7140456388713743
2006,Total,-0.28209628205253195
2006,ZC2-AMP,-0.3824313761392215
2007,Total,-0.8817381876781482
2007,ZC2-AMP,-0.3644708540942022
2008,Total,-0.9121091898559551
2008,ZC2-AMP,-0.9901439167696918
2009,Total,-0.7033497103818903
2009,ZC2-AMP,-0.7249159751741417
2010,Total,0.5678531667887554
2010,ZC2-AMP,0.25414838001918577
2011,Total,-1.673264715008773
2011,ZC2-AMP,-1.4141109871530868
2012,Total,-1.1704153798543224
2012,ZC2-AMP,-1.23941101658946
2013,Total,0.08091425859725773
2013,ZC2-AMP,-0.12076145813674784
2014,Total,0.4152473741162872
2014,ZC2-AMP,0.4812941932232351
2015,Total,2.030782610106808
2015,ZC2-AMP,1.948948179105838
2016,Total,1.9687360900554096
2016,ZC2-AMP,2.0913077159159785
2017,Total,-1.6744210627180274
2017,ZC2-AMP,-1.6876820292717656
2018,Total,-0.09051875747713563
2018,ZC2-AMP,0.012906905180919295
