assessment,scale,aggregation,season,group,N,obs_mean,mod_mean,obs_std,mod_std,MB,MAE,RMSE,r,WSS
station,log10,station_year_season_region,All,ZC1-EUP,410,-0.34,-0.27,0.81,0.43,0.06034408406391886,0.57,0.79,0.26,0.45
station,log10,station_year_season_region,Winter,ZC1-EUP,62,-0.88,-0.53,0.87,0.32,0.33902703758967156,0.67,0.91,0.26,0.48
station,log10,station_year_season_region,Spring,ZC1-EUP,107,-0.48,-0.36,0.69,0.25,0.12073820607198651,0.44,0.64,0.42,0.46
station,log10,station_year_season_region,Summer,ZC1-EUP,132,-0.1,-0.15,0.72,0.49,-0.06250015179163314,0.6,0.81,-0.1,0.13
station,log10,station_year_season_region,Fall,ZC1-EUP,109,-0.17,-0.18,0.82,0.46,-0.008693301628989819,0.59,0.84,0.23,0.4
station,log10,station_year_season_region,All,ZC2-AMP,422,-0.11,-0.09,0.49,0.24,0.011503220500055958,0.34,0.47,0.31,0.47
station,log10,station_year_season_region,Winter,ZC2-AMP,67,-0.45,-0.24,0.38,0.14,0.2087791572615243,0.3,0.43,0.21,0.45
station,log10,station_year_season_region,Spring,ZC2-AMP,108,-0.27,-0.25,0.43,0.08,0.012534121299390136,0.32,0.41,0.27,0.28
station,log10,station_year_season_region,Summer,ZC2-AMP,135,0.12,0.02,0.46,0.25,-0.1215748665697398,0.35,0.49,0.08,0.27
station,log10,station_year_season_region,Fall,ZC2-AMP,112,-0.02,0.03,0.48,0.24,0.052902476795377074,0.36,0.52,0.09,0.28
station,log10,station_year_season_region,All,ZC3-DEC,410,-0.93,-0.84,0.64,0.33,0.08488399689873247,0.56,0.74,-0.03,0.28
station,log10,station_year_season_region,Winter,ZC3-DEC,65,-1.18,-1.09,0.62,0.26,0.09094304608811267,0.55,0.72,-0.14,0.18
station,log10,station_year_season_region,Spring,ZC3-DEC,107,-0.63,-0.95,0.59,0.16,-0.3178978581126203,0.53,0.63,0.4,0.47
station,log10,station_year_season_region,Summer,ZC3-DEC,134,-0.78,-0.73,0.52,0.34,0.0431661174768285,0.45,0.62,-0.02,0.21
