assessment,scale,aggregation,group,season,N,obs_mean,mod_mean,obs_std,mod_std,MAE,RMSE,r,WSS
station,raw,station_year_season_region,ZC1-EUP,All,391,1.48,0.67,3.27,0.31,1.23,3.35,0.12,0.19
station,raw,station_year_season_region,ZC1-EUP,Winter,58,0.56,0.33,1.14,0.12,0.55,1.14,0.18,0.2
station,raw,station_year_season_region,ZC1-EUP,Spring,101,1.0,0.5,2.31,0.22,0.75,2.33,0.21,0.18
station,raw,station_year_season_region,ZC1-EUP,Summer,126,1.8,0.86,2.42,0.28,1.53,2.64,-0.13,0.29
station,raw,station_year_season_region,ZC1-EUP,Fall,106,2.06,0.78,5.05,0.24,1.72,5.21,0.02,0.17
station,raw,station_year_season_region,ZC2-AMP,All,402,1.23,0.9,1.11,0.32,0.71,1.08,0.4,0.42
station,raw,station_year_season_region,ZC2-AMP,Winter,62,0.44,0.59,0.27,0.11,0.27,0.31,0.14,0.43
station,raw,station_year_season_region,ZC2-AMP,Spring,102,0.77,0.57,0.59,0.11,0.42,0.6,0.37,0.38
station,raw,station_year_season_region,ZC2-AMP,Summer,129,1.8,1.11,1.21,0.21,1.01,1.4,0.08,0.42
station,raw,station_year_season_region,ZC2-AMP,Fall,109,1.44,1.15,1.21,0.21,0.87,1.26,0.04,0.26
station,raw,station_year_season_region,ZC3-DEC,All,392,0.26,0.17,0.31,0.06,0.21,0.33,0.02,0.28
station,raw,station_year_season_region,ZC3-DEC,Winter,61,0.16,0.09,0.2,0.02,0.13,0.22,-0.12,0.28
station,raw,station_year_season_region,ZC3-DEC,Spring,101,0.44,0.12,0.4,0.04,0.34,0.49,0.53,0.47
station,raw,station_year_season_region,ZC3-DEC,Summer,128,0.29,0.2,0.3,0.04,0.21,0.31,0.14,0.29
station,raw,station_year_season_region,ZC3-DEC,Fall,102,0.11,0.21,0.11,0.04,0.15,0.16,-0.17,0.4
station,raw,station_year_season_region,ZC4-CLG,All,402,1.25,0.65,1.6,0.25,0.98,1.7,0.15,0.32
station,raw,station_year_season_region,ZC4-CLG,Winter,62,0.54,0.31,0.47,0.06,0.36,0.52,0.14,0.4
station,raw,station_year_season_region,ZC4-CLG,Spring,102,1.4,0.53,1.89,0.2,0.99,2.04,0.27,0.33
station,raw,station_year_season_region,ZC4-CLG,Summer,129,1.4,0.85,1.5,0.18,1.16,1.6,0.06,0.35
station,raw,station_year_season_region,ZC4-CLG,Fall,109,1.32,0.7,1.74,0.16,1.11,1.89,-0.2,0.29
station,raw,station_year_season_region,ZC5-CSM,All,402,1.16,0.72,0.85,0.23,0.67,0.93,0.26,0.43
station,raw,station_year_season_region,ZC5-CSM,Winter,62,0.58,0.39,0.35,0.06,0.3,0.41,0.06,0.4
station,raw,station_year_season_region,ZC5-CSM,Spring,102,1.12,0.62,0.63,0.19,0.62,0.78,0.3,0.49
station,raw,station_year_season_region,ZC5-CSM,Summer,129,1.42,0.89,0.96,0.14,0.8,1.11,0.01,0.4
station,raw,station_year_season_region,ZC5-CSM,Fall,109,1.21,0.81,0.93,0.13,0.77,1.04,-0.17,0.33
station,raw,station_year_season_region,ZS2-CTH,All,401,0.1,0.06,0.11,0.03,0.07,0.11,0.24,0.39
station,raw,station_year_season_region,ZS2-CTH,Winter,62,0.03,0.01,0.03,0.0,0.03,0.04,0.13,0.44
station,raw,station_year_season_region,ZS2-CTH,Spring,102,0.13,0.03,0.13,0.02,0.1,0.16,0.62,0.49
station,raw,station_year_season_region,ZS2-CTH,Summer,128,0.14,0.09,0.12,0.02,0.1,0.14,-0.04,0.35
station,raw,station_year_season_region,ZS2-CTH,Fall,109,0.05,0.07,0.05,0.02,0.05,0.05,0.14,0.41
station,raw,station_year_season_region,ZS3-CHA,All,402,0.62,0.16,0.57,0.04,0.49,0.73,0.0,0.42
station,raw,station_year_season_region,ZS3-CHA,Winter,62,0.23,0.16,0.16,0.03,0.13,0.18,-0.12,0.36
station,raw,station_year_season_region,ZS3-CHA,Spring,102,0.7,0.16,0.63,0.02,0.57,0.83,-0.04,0.4
station,raw,station_year_season_region,ZS3-CHA,Summer,129,0.81,0.18,0.62,0.04,0.64,0.88,-0.04,0.45
station,raw,station_year_season_region,ZS3-CHA,Fall,109,0.54,0.15,0.45,0.04,0.43,0.61,-0.23,0.41
station,raw,station_year_season_region,ZS4-LAR,All,371,0.12,0.04,0.25,0.01,0.1,0.26,0.23,0.24
station,raw,station_year_season_region,ZS4-LAR,Winter,60,0.02,0.02,0.02,0.01,0.01,0.02,0.12,0.36
station,raw,station_year_season_region,ZS4-LAR,Spring,102,0.14,0.05,0.21,0.01,0.12,0.23,0.15,0.33
station,raw,station_year_season_region,ZS4-LAR,Summer,111,0.1,0.04,0.24,0.01,0.09,0.25,0.06,0.18
station,raw,station_year_season_region,ZS4-LAR,Fall,98,0.17,0.05,0.34,0.01,0.16,0.35,0.2,0.28
station,raw,station_year_season_region,ZF1-ICT,All,274,0.11,0.02,0.31,0.01,0.1,0.32,-0.13,0.16
station,raw,station_year_season_region,ZF1-ICT,Winter,54,0.02,0.02,0.02,0.01,0.02,0.02,-0.22,0.21
station,raw,station_year_season_region,ZF1-ICT,Spring,102,0.21,0.02,0.47,0.01,0.19,0.51,-0.21,0.21
station,raw,station_year_season_region,ZF1-ICT,Summer,83,0.07,0.02,0.15,0.01,0.07,0.16,0.02,0.24
station,raw,station_year_season_region,ZF1-ICT,Fall,35,0.03,0.02,0.05,0.01,0.03,0.05,-0.0,0.19
station,raw,station_year_season_region,TOT,All,403,6.22,3.37,5.08,1.15,3.57,5.59,0.34,0.44
station,raw,station_year_season_region,TOT,Winter,62,2.54,1.91,1.74,0.37,1.3,1.84,0.15,0.36
station,raw,station_year_season_region,TOT,Spring,102,5.9,2.59,5.03,0.76,3.61,5.8,0.42,0.42
station,raw,station_year_season_region,TOT,Summer,130,7.74,4.22,4.14,0.82,4.21,5.37,0.21,0.47
station,raw,station_year_season_region,TOT,Fall,109,6.82,3.93,6.22,0.75,4.06,6.92,-0.03,0.33
station,raw,station_year_season_region,TOT_ZC,All,403,5.33,3.09,4.7,1.09,3.03,4.98,0.34,0.42
station,raw,station_year_season_region,TOT_ZC,Winter,62,2.24,1.7,1.64,0.35,1.17,1.7,0.17,0.34
station,raw,station_year_season_region,TOT_ZC,Spring,102,4.72,2.34,4.36,0.72,2.7,4.77,0.39,0.4
station,raw,station_year_season_region,TOT_ZC,Summer,130,6.67,3.89,3.78,0.76,3.6,4.63,0.21,0.46
