group,season,n,bias,obs std,mod std,MAE,RMSE,r,WSS
Total,All,715,-0.19,0.38,0.19,0.32,0.4,0.42,0.54
Total,Winter,71,-0.01,0.32,0.12,0.26,0.32,0.21,0.36
Total,Spring,262,-0.24,0.38,0.16,0.34,0.42,0.46,0.53
Total,Summer,225,-0.22,0.32,0.14,0.33,0.39,0.15,0.43
Total,Fall,157,-0.14,0.35,0.16,0.32,0.4,0.06,0.36
ZC1-EUP,All,691,0.22,0.83,0.36,0.62,0.84,0.26,0.44
ZC1-EUP,Winter,63,0.38,0.87,0.33,0.69,0.94,0.23,0.47
ZC1-EUP,Spring,259,0.25,0.81,0.26,0.55,0.78,0.46,0.48
ZC1-EUP,Summer,219,0.17,0.73,0.37,0.65,0.86,-0.06,0.26
ZC1-EUP,Fall,150,0.16,0.85,0.4,0.67,0.89,0.15,0.38
ZC2-AMP,All,714,-0.0,0.5,0.22,0.35,0.47,0.36,0.48
ZC2-AMP,Winter,71,0.24,0.37,0.14,0.31,0.44,0.19,0.45
ZC2-AMP,Spring,261,0.02,0.48,0.11,0.34,0.46,0.29,0.31
ZC2-AMP,Summer,225,-0.12,0.43,0.2,0.35,0.47,0.08,0.27
ZC2-AMP,Fall,157,0.02,0.47,0.2,0.35,0.49,0.09,0.22
ZC3-DEC,All,694,0.02,0.66,0.29,0.57,0.72,-0.02,0.25
ZC3-DEC,Winter,65,0.11,0.65,0.27,0.58,0.74,-0.13,0.21
ZC3-DEC,Spring,261,-0.37,0.55,0.18,0.55,0.64,0.3,0.47
ZC3-DEC,Summer,223,0.05,0.54,0.27,0.46,0.6,0.02,0.2
ZC3-DEC,Fall,145,0.61,0.64,0.33,0.79,0.98,-0.14,0.41
ZC4-CLG,All,714,-0.1,0.56,0.21,0.45,0.56,0.23,0.39
ZC4-CLG,Winter,71,-0.07,0.45,0.12,0.36,0.45,0.21,0.33
ZC4-CLG,Spring,261,-0.19,0.49,0.21,0.38,0.5,0.36,0.5
ZC4-CLG,Summer,225,-0.05,0.59,0.16,0.5,0.59,0.12,0.24
ZC4-CLG,Fall,157,-0.02,0.62,0.17,0.52,0.65,-0.07,0.14
ZC5-CSM,All,715,-0.13,0.4,0.17,0.33,0.42,0.26,0.42
ZC5-CSM,Winter,71,-0.07,0.33,0.09,0.29,0.34,0.08,0.3
ZC5-CSM,Spring,262,-0.16,0.43,0.17,0.35,0.46,0.19,0.37
ZC5-CSM,Summer,225,-0.16,0.33,0.09,0.32,0.38,0.03,0.39
ZC5-CSM,Fall,157,-0.08,0.39,0.1,0.35,0.42,-0.11,0.2
ZF1-ICT,All,496,-0.49,0.86,0.39,0.9,1.09,-0.07,0.33
ZF1-ICT,Winter,57,0.18,0.66,0.39,0.67,0.85,-0.2,0.29
ZF1-ICT,Spring,257,-0.86,0.64,0.39,1.01,1.18,-0.15,0.35
ZF1-ICT,Summer,146,-0.29,0.84,0.39,0.76,0.95,0.07,0.36
ZF1-ICT,Fall,36,0.34,1.15,0.4,1.0,1.3,-0.1,0.32
ZS2-CTH,All,705,-0.19,0.62,0.44,0.51,0.63,0.39,0.59
ZS2-CTH,Winter,70,-0.39,0.47,0.19,0.5,0.6,0.21,0.47
ZS2-CTH,Spring,261,-0.5,0.67,0.41,0.63,0.74,0.57,0.62
ZS2-CTH,Summer,220,-0.1,0.5,0.08,0.42,0.51,0.18,0.27
ZS2-CTH,Fall,154,0.31,0.51,0.07,0.46,0.6,0.01,0.42
ZS3-CHA,All,714,-0.49,0.47,0.12,0.59,0.68,0.03,0.43
ZS3-CHA,Winter,71,-0.03,0.37,0.09,0.31,0.38,0.04,0.24
ZS3-CHA,Spring,261,-0.52,0.46,0.07,0.61,0.7,0.03,0.43
ZS3-CHA,Summer,225,-0.59,0.44,0.14,0.65,0.74,0.1,0.43
ZS3-CHA,Fall,157,-0.47,0.41,0.15,0.57,0.67,-0.26,0.37
ZS4-LAR,All,663,0.12,0.71,0.17,0.55,0.68,0.31,0.38
ZS4-LAR,Winter,66,0.3,0.47,0.13,0.43,0.56,0.11,0.43
ZS4-LAR,Spring,253,-0.03,0.68,0.13,0.51,0.64,0.38,0.31
ZS4-LAR,Summer,201,0.18,0.71,0.13,0.6,0.73,0.11,0.32
ZS4-LAR,Fall,143,0.2,0.7,0.15,0.6,0.73,0.06,0.34
