year,group,obs_anom,model_anom
2000,Total,0.236721893526246,0.1955144807413799
2000,ZC1-EUP,0.7035140494320231,0.9087967825302409
2000,ZC2-AMP,0.10088273162775531,1.309842020101582
2000,ZC3-DEC,-0.013847673234991358,0.7537819729890585
2000,ZC4-CLG,0.08750914784228708,0.2689340964359229
2000,ZC5-CSM,-0.1162365087341778,-1.0485182207660402
2001,Total,-0.08905515787335404,0.7783713309348412
2001,ZC1-EUP,0.37976179664671317,1.124903424287317
2001,ZC2-AMP,0.11347850677137412,1.3180418903142805
2001,ZC3-DEC,0.10822917152562016,1.1296689168831968
2001,ZC4-CLG,-0.20031092044387902,0.8340236657125445
2001,ZC5-CSM,-0.37100835101378377,-0.4048040975001889
2003,Total,0.36861546178420823,0.48166262638013335
2003,ZC1-EUP,-0.35559716117098966,1.144450906963794
2003,ZC2-AMP,0.7704542764418245,1.5635919128372324
2003,ZC3-DEC,-2.4919529867727186,1.063929485752787
2003,ZC4-CLG,0.36050460624853514,0.5277258700340879
2003,ZC5-CSM,0.986153760000328,-1.023658234068882
2004,Total,-1.2616072172982473,1.0241065022823546
2004,ZC1-EUP,-1.3847775022045952,1.260333032892386
2004,ZC2-AMP,-0.6096994937966578,0.9293373743200896
2004,ZC3-DEC,-0.7293636284478716,1.0067296793329048
2004,ZC4-CLG,-0.47991923927482016,0.9878985568372425
2004,ZC5-CSM,-1.0205969017030125,-0.006781818312429373
2005,Total,-0.9729231991461662,1.6159739047092347
2005,ZC1-EUP,-0.7003781544533817,1.3440955568044104
2005,ZC2-AMP,-0.09935480293003293,0.26455770005061907
2005,ZC3-DEC,-0.7953117095813107,1.287517903676472
2005,ZC4-CLG,-0.5201946442862944,1.5032833879791132
2005,ZC5-CSM,-0.7712045706206723,1.1125131851437953
2007,Total,0.5563984642636679,0.9830901745331574
2007,ZC1-EUP,-1.0129323123435452,0.7679650476050734
2007,ZC2-AMP,0.18720828578577137,-0.20474157601025433
2007,ZC3-DEC,0.5580820208853055,0.3663580069424333
2007,ZC4-CLG,0.45070370574812696,0.9383021246401962
2007,ZC5-CSM,1.7450170772944698,0.9112832336581693
2008,Total,0.11093811651100717,0.6289760505120497
2008,ZC1-EUP,0.9881986505768989,0.21368092802099045
2008,ZC2-AMP,-0.37321706743610367,-0.6133358474156073
2008,ZC3-DEC,-0.1557244011926904,-0.130552655793674
2008,ZC4-CLG,-1.897742508772138,0.4955760789054997
2008,ZC5-CSM,-0.5005458727276139,1.004077346920956
2009,Total,-0.6841668348532193,0.17573726490210687
2009,ZC1-EUP,0.05498647471290598,-0.0869596686066656
2009,ZC2-AMP,-0.6599930346756401,-0.20919232235164578
2009,ZC3-DEC,-0.35003609036120964,-0.5652316561465703
2009,ZC4-CLG,-1.0671355458495502,0.0626038217608481
2009,ZC5-CSM,-0.14916315980583167,0.5579345549861924
2010,Total,-0.38736487468896297,0.8036470097063297
2010,ZC1-EUP,0.2814590931361656,0.15874861643561763
2010,ZC2-AMP,-1.2243276869560062,-0.41599327671493597
2010,ZC3-DEC,0.06292508693197292,0.6341241367280459
2010,ZC4-CLG,-0.6880617804005236,0.6986548432475019
