year,group,obs_anom,model_anom
2000,Total,1.3382570669952667,1.2531222433299505
2000,ZC1-EUP,1.0479423565744423,1.0294938942623522
2000,ZC2-AMP,1.2218823406241506,0.26644797424173944
2000,ZC3-DEC,0.16061085229941932,1.1261001922505225
2000,ZC4-CLG,1.6182721494370522,1.2110755695242736
2000,ZC5-CSM,0.7356959204522324,1.3307250377092497
2001,Total,0.03619663704141163,-0.8198506335873785
2001,ZC1-EUP,0.05462897891749554,-0.9314152111835923
2001,ZC2-AMP,-0.38051345673665987,-0.33866485631385257
2001,ZC3-DEC,-0.624099062415126,-0.9144790285816871
2001,ZC4-CLG,0.37001332088832417,-0.8787659670483907
2001,ZC5-CSM,0.28228495931857883,-0.5951173750089209
2002,Total,-0.5198371364031994,-1.2084534143542225
2002,ZC1-EUP,0.07666087231726272,-0.9272228532186754
2002,ZC2-AMP,-0.11139862709915653,-0.33251480159424135
2002,ZC3-DEC,-0.3082643473474615,-1.4004583580554646
2002,ZC4-CLG,-0.03562046832087954,-1.297741841938798
2002,ZC5-CSM,-0.7253597418927646,-1.329837942730815
2003,Total,-0.5151928690494392,-0.20261654841138757
2003,ZC1-EUP,-0.8295015044319025,-0.29928641932736305
2003,ZC2-AMP,0.4345109456938609,0.5721707608388183
2003,ZC3-DEC,-0.8431866406346941,-0.12422407797726831
2003,ZC4-CLG,-0.6280597413489931,-0.2167769875937417
2003,ZC5-CSM,-0.1467935605581474,-0.15510063572730065
2004,Total,-0.4433667136437812,-0.4177815312258374
2004,ZC1-EUP,-0.5989933255870578,-0.1378395004317063
2004,ZC2-AMP,-0.08720373292208643,0.7708237071166483
2004,ZC3-DEC,-0.6361597504922345,-0.501136558929187
2004,ZC4-CLG,-0.5109348328420106,-0.4840888996349446
2004,ZC5-CSM,-0.324292125781556,-0.744734862781437
2005,Total,-0.5792180124447762,-0.11664739957916448
2005,ZC1-EUP,-0.6143458154869124,-0.05341370539202306
2005,ZC2-AMP,-0.46853015298451167,0.2869839432204062
2005,ZC3-DEC,-0.5154646908739577,-0.1315027268754983
2005,ZC4-CLG,-0.3910494358717631,-0.1422483987232469
2005,ZC5-CSM,-0.16812346623913654,-0.1925384390129476
2006,Total,-0.45031028574314635,-0.6699275424826909
2006,ZC1-EUP,-0.3636151332751931,-1.0752308811928184
2006,ZC2-AMP,0.05923770344903927,-1.0747331209378734
2006,ZC3-DEC,-0.8669937688589096,-0.6675147509413495
2006,ZC4-CLG,-0.677494601396346,-0.6710345757833917
2006,ZC5-CSM,-0.05723148270851377,-0.20292844701205626
2007,Total,0.5314668552739968,0.1997362395305038
2007,ZC1-EUP,0.16957020579522128,-0.06982201407178719
2007,ZC2-AMP,0.6604166180486986,-0.2026517273041278
2007,ZC3-DEC,0.2652271731725257,0.08759462416033743
2007,ZC4-CLG,0.30339208766033204,0.18367966762647228
2007,ZC5-CSM,0.7772550274261237,0.4569276367517708
2008,Total,-0.9974320812711943,-0.5008484917409548
2008,ZC1-EUP,-1.1540341413772934,-0.12433182691726638
2008,ZC2-AMP,-1.1192242298222583,0.38383430569763866
2008,ZC3-DEC,-1.0016824606999344,-0.7842985466953778
2008,ZC4-CLG,-1.3515005747185063,-0.6237602613014035
2008,ZC5-CSM,-0.27415417133779935,-0.9236796848396617
2009,Total,-0.1441574897957676,-0.13058577214321876
2009,ZC1-EUP,0.3046094469571863,-0.5010932184735862
2009,ZC2-AMP,-0.14715437903373307,-0.6718389059995498
2009,ZC3-DEC,-0.8128313088473589,-0.4381346979284155
2009,ZC4-CLG,-0.24121344042426407,-0.24175807185521422
2009,ZC5-CSM,0.3517399937485688,0.302741467308316
2012,Total,1.2678009345472034,0.6431374640017367
2012,ZC1-EUP,1.2249411177572067,0.01880520870084655
2012,ZC2-AMP,0.8535966678402355,-1.1820773459370912
2012,ZC3-DEC,0.6157302120090826,0.4149486687477984
2012,ZC4-CLG,1.0404232440383907,0.6078226936436391
2012,ZC5-CSM,0.7502019373472493,1.097398389189537
2013,Total,-0.37988118442663493,-0.933465687825149
2013,ZC1-EUP,-0.24559792580905324,-0.7975845118480437
2013,ZC2-AMP,-0.4408263018414961,-0.5201310682180622
2013,ZC3-DEC,-0.7744494150659468,-0.9640704500241406
2013,ZC4-CLG,0.05160257644080941,-0.9327346766535408
2013,ZC5-CSM,-0.3366653343063382,-0.9914339606531256
2014,Total,-0.8804163524615394,-0.7632002032913227
2014,ZC1-EUP,-0.4421134915286568,-0.9456974013103655
2014,ZC2-AMP,-0.6011393079797154,-0.5125069298858094
2014,ZC3-DEC,-1.4125342212200964,-0.816408577473354
2014,ZC4-CLG,-1.0879281487694834,-0.7909378420493237
2014,ZC5-CSM,-0.3396874482771975,-0.5043231095664612
2015,Total,0.24589947423118566,0.5328331609109381
2015,ZC1-EUP,0.2874838065921097,0.5828178868745327
2015,ZC2-AMP,0.12844022572181407,0.526154316639444
2015,ZC3-DEC,0.008075023791880489,0.6842401794294825
2015,ZC4-CLG,0.29985224192408144,0.5839210059200524
2015,ZC5-CSM,0.12882032802560026,0.4118411017154352
2016,Total,0.16442588628985683,0.5889460852539804
2016,ZC1-EUP,0.09515590916269291,0.6847269636502905
2016,ZC2-AMP,0.17201844072427339,0.7061734337576511
2016,ZC3-DEC,0.7224158384415494,0.6277214342997681
2016,ZC4-CLG,-0.025741738315519243,0.6005046104614136
2016,ZC5-CSM,0.13024415914517948,0.4450769047239454
2017,Total,-0.2862249367934707,-0.8458919625794956
2017,ZC1-EUP,-0.2941644470392919,-0.9332611868448716
